Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sex Etiquette","Arch Valley > de Pakhuys > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/108875649/sex-etiquette,3.9,-1,Boulder,V5,1,,-32.1151,19.06741
"The Rhino","Rhino Boulders > The Pass > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/108881466/the-rhino,4.0,-1,Boulder,V8+,1,18,-32.1569,19.03569
"Girl On Our Mind","Poison Dwarf Boulder > Close Plateau > de Pakhuys > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/108880168/girl-on-our-mind,3.5,-1,Boulder,V4,1,15,-32.10889,19.06789
Minki,"Far Plateau > de Pakhuys > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/112021979/minki,3.8,-1,Boulder,V8-,1,15,-32.10882,19.07097
Springbok,"Ongo Boulder > Sassies > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/112021663/springbok,3.9,-1,Boulder,"V7 PG13",1,25,-32.04961,19.0209
Zanzibar,"Zanzibar Boulder > Close Plateau > de Pakhuys > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/112041362/zanzibar,4.0,-1,Boulder,V6,1,15,-32.11568,19.06809
"Hole in One","Arch Valley > de Pakhuys > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/108875453/hole-in-one,4.0,-1,Boulder,V9-10,1,17,-32.1151,19.06741
"Tiger Claw","Rhino Boulders > The Pass > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/112022819/tiger-claw,3.9,-1,Boulder,V4,1,20,-32.1569,19.03569
Esoterrorist,"Arch Valley > de Pakhuys > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/108893766/esoterrorist,3.6,-1,Boulder,V6,1,10,-32.1151,19.06741
"John Denver","Kliphuis Campground > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/113477955/john-denver,4.0,-1,Boulder,V6,1,25,-32.13979,19.01349
"Orange Heart","Road Crew > The Pass > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/113478078/orange-heart,3.9,-1,Boulder,V4,1,,-32.16249,19.03053
Caroline,"Roadside > The Pass > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/109406967/caroline,4.0,-1,Boulder,V10,1,12,-32.16413,19.03658
"Vlad the Impaler","Ian's Roof > 8 Day Rain > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/116116217/vlad-the-impaler,4.0,-1,Boulder,V9,1,25,-32.08228,19.05593
Pinotage,"Ongo Boulder > Sassies > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/113477945/pinotage,4.0,-1,Boulder,V8,1,,-32.04961,19.0209
