Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Bumboy,"Supa Coola Area/ Millipede Boulder > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107418517/bumboy,3.6,-1,Boulder,V3,1,8,33.92053,-86.30898
"Earth Wind & Fire","Deck Area/Front Slabs > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106293533/earth-wind-fire,3.6,-1,Boulder,V3,1,,33.9294,-86.249
Hammerhead,"Deck Area/Front Slabs > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106286713/hammerhead,3.5,-1,Boulder,V5,1,,33.9294,-86.249
Genesis,"Temp HP40 > Alabama",https://www.mountainproject.com/route/106278634/genesis,3.3,-1,Boulder,V3,1,10,33.92202,-86.30801
"The Stranger","Spirit Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106273173/the-stranger,2.9,-1,Boulder,V2,1,10,33.92092,-86.30788
"Copa Cabana","Ten Pins Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106594114/copa-cabana,2.9,-1,Boulder,V2-3,1,,33.92116,-86.30755
Lowdown,"Mulletino Boulder. > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106294969/lowdown,3.2,-1,Boulder,V4,1,20,33.92089,-86.30755
"Spirit Problem","Spirit Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106297196/spirit-problem,3.1,-1,Boulder,V3,1,,33.92092,-86.30788
Popeye,"Ten Pins Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106329212/popeye,3.5,-1,Boulder,V5,1,10,33.92116,-86.30755
"Panty Shields","Turtle Rock Area/ Panty Shields Boulder > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107387257/panty-shields,3.0,-1,Boulder,V3,1,6,33.92096,-86.30899
"Night Fever","Deck Area/Front Slabs > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106297201/night-fever,3.3,-1,Boulder,V1+,1,,33.9294,-86.249
Merlin,"Temp HP40 > Alabama",https://www.mountainproject.com/route/106295580/merlin,3.3,-1,Boulder,V1,1,20,33.92202,-86.30801
Grooverider,"Turtle Rock/ Natural Boulder > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107380374/grooverider,3.8,-1,Boulder,V3,1,15,33.92097,-86.30889
"The Beach","Ten Pins Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106302788/the-beach,3.1,-1,Boulder,V4,1,,33.92116,-86.30755
Wasp,"Temp HP40 > Alabama",https://www.mountainproject.com/route/106273064/wasp,3.0,-1,Boulder,V2,1,18,33.92202,-86.30801
Centerpede,"Supa Coola Area/ Millipede Boulder > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107418526/centerpede,3.4,-1,Boulder,V4,1,8,33.92053,-86.30898
"Cuts Like a Knife","The Slider Boulder > Slider Boulders > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/108029344/cuts-like-a-knife,3.6,-1,Boulder,V5-,1,15,33.93994,-86.23849
Millipede,"Supa Coola Area/ Millipede Boulder > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107418532/millipede,3.7,-1,Boulder,V5-6,1,8,33.92053,-86.30898
Silky,"Ten Pins Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106890318/silky,2.6,-1,Boulder,V0,1,,33.92116,-86.30755
"Man With The Slow Hand","Temp HP40 > Alabama",https://www.mountainproject.com/route/106094976/man-with-the-slow-hand,3.6,-1,Boulder,V4,1,,33.92202,-86.30801
"Red Arrow","Temp HP40 > Alabama",https://www.mountainproject.com/route/106094872/red-arrow,3.5,-1,Boulder,V4-,1,,33.92202,-86.30801
"The Crown","Temp HP40 > Alabama",https://www.mountainproject.com/route/106278559/the-crown,3.0,-1,Boulder,V3,1,14,33.92202,-86.30801
Mulletino,"Mulletino Boulder. > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106286530/mulletino,3.7,-1,Boulder,V6,1,,33.92089,-86.30755
"Cuts Like a Knife","Temp HP40 > Alabama",https://www.mountainproject.com/route/106955221/cuts-like-a-knife,3.4,-1,Boulder,V5,1,20,33.92202,-86.30801
Redneck,"Point Boulders (Redneck Boulder) > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/111663600/redneck,3.8,-1,Boulder,V6,1,10,33.9199,-86.31115
"Ring My Bell","Deck Area/Front Slabs > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106293538/ring-my-bell,2.7,-1,Boulder,V2,1,,33.9294,-86.249
Dope,"Supa Coola Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107418746/dope,2.9,-1,Boulder,V2,1,10,33.9294,-86.249
"Mortal Combat","Mortal Combat Area/ Mortal Combat boulders > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107371562/mortal-combat,3.9,-1,Boulder,V4,1,20,33.9294,-86.249
Swirls,"Kiss boulders > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107370108/swirls,3.1,-1,Boulder,V4,1,8,33.9294,-86.249
Redneck,"Temp HP40 > Alabama",https://www.mountainproject.com/route/106285872/redneck,3.6,-1,Boulder,V6,1,,33.92202,-86.30801
"Eight Ball","Temp HP40 > Alabama",https://www.mountainproject.com/route/106274146/eight-ball,2.4,-1,Boulder,V2,1,10,33.92202,-86.30801
"Slush Puppy","Turtle Rock Area/ Slabolicious Block > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/106297945/slush-puppy,3.1,-1,Boulder,V4,1,,33.9294,-86.249
Uniball,"Temp HP40 > Alabama",https://www.mountainproject.com/route/106589789/uniball,3.1,-1,Boulder,V4,1,15,33.92202,-86.30801
"Honkey Tonkin'","Temp HP40 > Alabama",https://www.mountainproject.com/route/107947627/honkey-tonkin,3.8,-1,Boulder,V4,1,,33.92202,-86.30801
"Long Shot","Ozzy Area > Moss Rock Preserve > Alabama",https://www.mountainproject.com/route/106041305/long-shot,3.4,-1,Boulder,V2,1,10,33.38165,-86.84214
"Lady Slipper","The Lady Slipper Boulder > Slider Boulders > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/108029427/lady-slipper,3.1,-1,Boulder,V2,1,,33.93994,-86.23849
"Cheese is Good","Ozzy Area > Moss Rock Preserve > Alabama",https://www.mountainproject.com/route/106102053/cheese-is-good,2.7,-1,Boulder,V2,1,15,33.38165,-86.84214
"Slippery When Wet","Barn Area > Hospital Boulders > Alabama",https://www.mountainproject.com/route/111392053/slippery-when-wet,3.5,-1,Boulder,V2,1,,34.07677,-86.01818
Mystified,"Eddie Area > Hospital Boulders > Alabama",https://www.mountainproject.com/route/108659750/mystified,3.6,-1,Boulder,V5,1,18,34.07685,-86.01774
"Double Groove","Supa Coola Area > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/107418723/double-groove,2.9,-1,Boulder,V3,1,10,33.9294,-86.249
Merlin,"Skywalker Area > The Middle > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/116248571/merlin,3.6,-1,Boulder,V1,1,15,33.92051,-86.30913
Uniball,"Uniball Area > Slider Boulders > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/111663643/uniball,3.1,-1,Boulder,V4,1,10,33.91979,-86.31074
"The Crown","Point Boulders (Crown Boulder) > Horse Pens 40 > Alabama",https://www.mountainproject.com/route/111400235/the-crown,3.0,-1,Boulder,V3,1,14,33.9198,-86.31089
