Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Half Mile High","Main Wall > Mile High Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/117390795/half-mile-high,4.0,-1,"Trad, Boulder, Alpine","5.12- V4",4,300,61.84498,-149.18451
"Indian Head Arete","Indian Head Boulder > Archangel Bouldering > Archangel Valley Bouldering - Diamond, Fairangel, Monolith, Roadside, Indianhead > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109091846/indian-head-arete,4.0,-1,Boulder,V2,1,15,61.8134,-149.2328
"Mr Furious","Welcome Boulder > Tatlanika > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/106587850/mr-furious,4.0,-1,Boulder,V8,1,18,64.1702,-149.29871
"Poetry In Motion","Poetry Boulder > Snowbird Slab Talus > Lower Reed Valley Bouldering > Reed Lakes Bouldering > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110651962/poetry-in-motion,3.0,-1,Boulder,V8,1,14,61.82552,-149.18156
"Dr. Horrible","Captain Kaboom Boulders > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108216630/dr-horrible,3.8,-1,"Boulder, Alpine",V2,1,15,61.83738,-149.27022
"Scareball Masterpiece","Lost World > Archangel Bouldering > Archangel Valley Bouldering - Diamond, Fairangel, Monolith, Roadside, Indianhead > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109039811/scareball-masterpiece,4.0,-1,"TR, Boulder","V5 R",1,20,61.81012,-149.22932
"Captain Kaboom","Captain Kaboom Boulders > Independence Mine Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108216599/captain-kaboom,4.0,-1,"Boulder, Alpine",V6,1,17,61.83738,-149.27022
"Various boulders","Deep Water Bay > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110563161/various-boulders,4.0,-1,"Boulder, Alpine",V6,1,15,60.4827,-148.38633
"Long way home","Welcome Boulder > Tatlanika > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/106587843/long-way-home,4.0,-1,Boulder,V0,1,18,64.1702,-149.29871
"The S.E.A.N.","The Shield > Mile High Wall > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/115333153/the-sean,4.0,-1,"Trad, Boulder, Alpine","5.11+ V3-4",2,220,61.83445,-149.1812
"Riddles in the Dark","The Trolls > Byron Glacier Bouldering > Portage > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/117619784/riddles-in-the-dark,4.0,-1,Boulder,V3,1,8,60.76251,-148.84563
"King Line","Main Boulders > Bird Creek Boulders > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/117276424/king-line,4.0,-1,Boulder,V8-9,1,18,60.97381,-149.46895
