oute,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Bat Cave","The Bat Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/105945102/the-bat-cave,3.6,-1,Boulder,V3+,1,12,35.08198,-111.60998
"The Fin","The Bat Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106030611/the-fin,3.1,-1,Boulder,V1-2,1,12,35.08198,-111.60998
"Anorexic Sacrifice","Anorexic Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106053236/anorexic-sacrifice,3.6,-1,Boulder,V6,1,12,35.08062,-111.61267
"The Wave","The Wave Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105962630/the-wave,3.1,-1,Boulder,V0+,1,10,34.46757,-112.43804
"The Coffin","Coffin Roof > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106158204/the-coffin,3.1,-1,Boulder,V3,1,10,35.08101,-111.60639
"Bad Ass","Bad Ass Roof > Howard Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106132849/bad-ass,3.7,-1,Boulder,V5,1,12,35.0816,-111.5995
"Left Arete","Welcome Boulder A.K.A. Triangle Boulder > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106047275/left-arete,2.8,-1,Boulder,V0,1,16,35.08202,-111.59841
Moonstone,"Moonstone, Leg Lock Rock, Bolt Rock Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105960200/moonstone,3.6,-1,Boulder,V6,1,10,34.46766,-112.43789
Facelift,"The Island (Facelift Area) > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/106268074/facelift,3.4,-1,Boulder,V4,1,12,34.46593,-112.43992
"Puffer Fish","Puzzle Box > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/107010455/puffer-fish,3.1,-1,Boulder,V6,1,12,35.0819,-111.601
