Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Le Beak","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/106666706/le-beak,3.9,-1,Boulder,V4,1,,35.8786,-93.121
"Dig Dug","Loaf Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106356523/dig-dug,3.5,-1,Boulder,V4,1,20,36.0027,-93.2937
"Rings of Uranus","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/106666714/rings-of-uranus,3.5,-1,Boulder,V3,1,12,35.8786,-93.121
Warbonnet,"The Crescent Area > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107285980/warbonnet,3.7,-1,Boulder,V5,1,,36.00075,-93.29296
"The Crescent","The Crescent Area > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107285990/the-crescent,3.4,-1,Boulder,V3,1,,36.00075,-93.29296
"Old English","Warm-Up Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107285691/old-english,3.7,-1,Boulder,V3,1,,36.0027,-93.2937
Momento,"Warm-Up Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107285677/momento,3.8,-1,Boulder,V5,1,,36.0027,-93.2937
"Planet Earth","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/107028262/planet-earth,2.9,-1,Boulder,V5,1,15,35.8786,-93.121
"Hang Ten (aka Undertow Direct or Pee Wave)","Undertow Boulder > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106736813/hang-ten-aka-undertow-direct-or-pee-wave,3.6,-1,Boulder,V7,1,,36.0118,-93.2922
"The Crescent","South Idaho's > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107094005/the-crescent,3.4,-1,Boulder,V3,1,12,36.0027,-93.2937
"Make you Cuss","Make You Cuss > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107113302/make-you-cuss,3.2,-1,Boulder,V2,1,15,36.0027,-93.2937
"Bottoms Up","Loaf Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106342166/bottoms-up,2.4,-1,Boulder,V2,1,20,36.0027,-93.2937
"Kung Fu","Moondye Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106733548/kung-fu,3.9,-1,Boulder,V8,1,10,36.0027,-93.2937
"The Donkey Show","North Forty Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107287568/the-donkey-show,3.4,-1,Boulder,"V0 R",1,,36.00544,-93.29552
"Orbital Mechanics","North Forty Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107048789/orbital-mechanics,3.6,-1,Boulder,V8,1,15,36.00544,-93.29552
"Dig Dug","South Idaho's > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107477021/dig-dug,3.4,-1,Boulder,V4,1,,36.0027,-93.2937
Electralica,"Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/110971403/electralica,3.4,-1,Boulder,V6,1,12,35.8786,-93.121
"Quite Time","Loaf Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107285959/quite-time,2.7,-1,Boulder,V1,1,,36.0027,-93.2937
"Orb Weaver","North Forty Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106356538/orb-weaver,3.2,-1,Boulder,V7,1,12,36.00544,-93.29552
"Crack Ho","North Forty Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106356547/crack-ho,2.5,-1,Boulder,V2,1,15,36.00544,-93.29552
"Jeff's Prow","Middle East Bouldering > Middle East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107048832/jeffs-prow,3.8,-1,Boulder,V9-,1,10,36.0071,-93.2875
Leatherface,"North Forty Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107287594/leatherface,3.2,-1,Boulder,V7,1,,36.00544,-93.29552
"Glass Bowl","Glass Bowl Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107048805/glass-bowl,4.0,-1,Boulder,V10,1,12,36.0027,-93.2937
"Left Spooge","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/107028030/left-spooge,3.0,-1,Boulder,V1,1,12,35.8786,-93.121
"Ab Lounge","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/107795726/ab-lounge,4.0,-1,Boulder,V9,1,15,35.8786,-93.121
"The Fin","Main Wall > Area 74 > Arkansas",https://www.mountainproject.com/route/106737087/the-fin,3.8,-1,Boulder,V4,1,,36.0364,-93.6763
"Separate But Equal","Miho Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107285631/separate-but-equal,3.6,-1,Boulder,V6-,1,20,36.0027,-93.2937
PJ,"Dam Boulders > Lake Lincoln > Arkansas",https://www.mountainproject.com/route/115829088/pj,4.0,-1,Boulder,V3,1,,36.00163,-94.41791
"Off the Rails","Dub's Cave > Cowell Area > Arkansas",https://www.mountainproject.com/route/110971480/off-the-rails,4.0,-1,Boulder,V9,1,15,35.875,-93.13102
"Top Hat","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/107028249/top-hat,2.7,-1,Boulder,V3,1,20,35.8786,-93.121
"Moondye Stand","Moondye Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106733567/moondye-stand,2.9,-1,Boulder,V5,1,,36.0027,-93.2937
"Grand Dragon","Glass Bowl Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/112847774/grand-dragon,4.0,-1,Boulder,"V7 PG13",1,,36.0027,-93.2937
"(Super Charismatic) Mega Fauna","North Side > Hurricane Creek > Arkansas",https://www.mountainproject.com/route/111679830/super-charismatic-mega-fauna,4.0,-1,Boulder,V5,1,,35.73315,-93.13541
"Lost and Found","North Side > Hurricane Creek > Arkansas",https://www.mountainproject.com/route/112316370/lost-and-found,4.0,-1,Boulder,V2,1,,35.73315,-93.13541
"The Wasp","Heaven Boulders > Richland Creek Area > Arkansas",https://www.mountainproject.com/route/112392933/the-wasp,4.0,-1,Boulder,V6-7,1,14,35.84545,-92.96753
Udaho,"Miho Boulder > Idaho Boulders > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107113267/udaho,2.6,-1,Boulder,V3,1,8,36.0027,-93.2937
"Strickland Dyno","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/110971502/strickland-dyno,3.8,-1,Boulder,V7,1,5,35.8786,-93.121
"Fred's Roof","Fred's Cave Area > Cowell Area > Arkansas",https://www.mountainproject.com/route/107936970/freds-roof,4.0,-1,Boulder,V11-,1,,35.8786,-93.121
"Mother Leopard","Wishing Well Boulder and Surrounding > Cowell Area > Arkansas",https://www.mountainproject.com/route/114607488/mother-leopard,4.0,-1,Boulder,"V5+ R",1,35,35.8376,-93.13339
"Inverse Tangent","The Roof > Jamestown Crag > Arkansas",https://www.mountainproject.com/route/111641636/inverse-tangent,3.8,-1,Boulder,"V3+ PG13",1,17,35.66035,-91.75402
"Relationship of Command","Wishing Well Boulder and Surrounding > Cowell Area > Arkansas",https://www.mountainproject.com/route/114607506/relationship-of-command,4.0,-1,Boulder,"V8 R",1,35,35.8376,-93.13339
"A dream come true","Fountain Red > Cowell Area > Arkansas",https://www.mountainproject.com/route/112391897/a-dream-come-true,4.0,-1,Boulder,V6-,1,17,35.8786,-93.121
