Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Ninja Gaeshi","Mitake > Tokyo Prefecture > Japan > Asia > International",https://www.mountainproject.com/route/106672481/ninja-gaeshi,3.8,-1,Boulder,V5-6,1,20,35.8017,139.1803
"Mountain Sunset","Mitake > Tokyo Prefecture > Japan > Asia > International",https://www.mountainproject.com/route/106672487/mountain-sunset,4.0,-1,Boulder,V5-6,1,20,35.8017,139.1803
"Crystal Blue Temptation","(2) Clocktower > Long Dong (Dragon Cave) > Taiwan > Asia > International",https://www.mountainproject.com/route/108330150/crystal-blue-temptation,4.0,-1,Boulder,V0,1,20,25.11126,121.92272
"Dana's Blood","The Cube Area > Jebel Jais Bouldering > Ras Al Khaimah (RAK) > United Arab Emirates > Asia > International",https://www.mountainproject.com/route/116554466/danas-blood,4.0,-1,Boulder,"V2 X",1,14,25.88697,56.10575
Stiches,"Seseko Beach > Okinawa > Okinawa Prefecture > Japan > Asia > International",https://www.mountainproject.com/route/116714723/stiches,4.0,-1,Boulder,V2,1,,26.65119,127.8579
"Cpt. Ahab","Moby Dick Area > Ogawayama > Nagano Prefecture > Japan > Asia > International",https://www.mountainproject.com/route/107002376/cpt-ahab,4.0,-1,Boulder,V5,1,15,35.8996,138.6272
"Brotha Man","Three Brothers > Lan Ha Bay > Vietnam > Asia > International",https://www.mountainproject.com/route/111902216/brotha-man,4.0,-1,Boulder,V3,1,53,20.77683,107.07609
"Pinker Tips","T-Rex > Lower Meadow > Northeast - Around Khon Kaen > Thailand > Asia > International",https://www.mountainproject.com/route/112818199/pinker-tips,4.0,-1,Boulder,V6-,1,,16.64584,102.60183
Kokoko,"Chiatura > Georgia > Asia > International",https://www.mountainproject.com/route/112519021/kokoko,4.0,-1,"Sport, Aid, Boulder, Mixed, Ice, Snow","5.15a/b V15- AI2 M12- C5+ Mod. Snow X",9,25,42.2876,43.2157
"The Kung Fu Method","Old School > Yerevan (Hrazdan Gorge) > Armenia > Asia > International",https://www.mountainproject.com/route/117688781/the-kung-fu-method,4.0,-1,Boulder,V5,1,15,40.2094,44.4894
Deadend,"Mitake > Tokyo Prefecture > Japan > Asia > International",https://www.mountainproject.com/route/106949703/deadend,3.8,-1,Boulder,V5-6,1,12,35.8017,139.1803
"To the South and Back","Peninsula > Yerevan (Hrazdan Gorge) > Armenia > Asia > International",https://www.mountainproject.com/route/116962927/to-the-south-and-back,4.0,-1,Boulder,V4,1,100,40.20909,44.48888
"Seseko's Secret","Seseko Beach > Okinawa > Okinawa Prefecture > Japan > Asia > International",https://www.mountainproject.com/route/116721052/sesekos-secret,4.0,-1,Boulder,V4,1,,26.65119,127.8579
"Sex on the Moon","Metamora > Jebel Jais Bouldering > Ras Al Khaimah (RAK) > United Arab Emirates > Asia > International",https://www.mountainproject.com/route/116521478/sex-on-the-moon,4.0,-1,Boulder,V4-5,1,,25.91543,56.13004
"And The Tape","Seseko Beach > Okinawa > Okinawa Prefecture > Japan > Asia > International",https://www.mountainproject.com/route/116840563/and-the-tape,4.0,-1,Boulder,V2-,1,,26.65119,127.8579
