Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Zig Zag Railway","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525438/zig-zag-railway,4.0,-1,Boulder,V4,1,,-27.69883,152.85043
"The Flying Scotsman","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525461/the-flying-scotsman,4.0,-1,Boulder,V5,1,,-27.69883,152.85043
"Supa Chief","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525444/supa-chief,4.0,-1,Boulder,V6-,1,,-27.69883,152.85043
"The Flying Frenchwoman","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525455/the-flying-frenchwoman,4.0,-1,Boulder,V5+,1,,-27.69883,152.85043
"Rocky Mountaineer","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525433/rocky-mountaineer,4.0,-1,Boulder,V6-,1,,-27.69883,152.85043
"Never Enough Thunder","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525419/never-enough-thunder,4.0,-1,Boulder,V5+,1,,-27.69883,152.85043
Lazarus,"The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525481/lazarus,4.0,-1,Boulder,V2,1,,-27.69883,152.85043
Aiokiasof,"The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525424/aiokiasof,4.0,-1,Boulder,V4-5,1,,-27.69883,152.85043
Shinkansen,"The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525490/shinkansen,4.0,-1,Boulder,V6,1,,-27.69883,152.85043
Trans-Siberian,"The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525447/trans-siberian,4.0,-1,Boulder,V4,1,,-27.69883,152.85043
"The Peisker Overhang","Queens Park > Sydney > Australia > International",https://www.mountainproject.com/route/109539875/the-peisker-overhang,4.0,-1,Boulder,V4,1,12,-33.90084,151.25104
"The Quickening","Quickening Boulder > The Bleachers Bouldering > The Grampians > Australia > International",https://www.mountainproject.com/route/117550531/the-quickening,4.0,-1,Boulder,V9,1,20,-37.18475,142.52105
"Anonymous Arete","Magic Daddy > The Bleachers Bouldering > The Grampians > Australia > International",https://www.mountainproject.com/route/116694105/anonymous-arete,3.0,-1,Boulder,V5,1,12,-37.18482,142.52212
Copperhead,"Ceramics Boulder > Venus Baths > The Grampians > Australia > International",https://www.mountainproject.com/route/117550706/copperhead,3.0,-1,Boulder,V7,1,20,-37.13829,142.51449
"Overhang Traverse","Palm Beach Boulders > Sydney > Australia > International",https://www.mountainproject.com/route/109552201/overhang-traverse,3.0,-1,Boulder,V2,1,30,-33.59561,151.32449
"As the Crow Flies","Bad Cliche Boulder > Andersens Bouldering > Hollow Mountain > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/116684280/as-the-crow-flies,3.0,-1,Boulder,V6,1,10,-36.89109,142.38017
"Too Soft","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525472/too-soft,3.0,-1,Boulder,V1,1,,-27.69883,152.85043
Iliad,"Iliad Boulder > Andersens Bouldering > Hollow Mountain > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/116684264/iliad,3.0,-1,Boulder,V5,1,10,-36.89103,142.38097
"Via Rail","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525451/via-rail,3.0,-1,Boulder,V8-,1,,-27.69883,152.85043
"Beige is All the Rage","Beige Boulder > The Bleachers Bouldering > The Grampians > Australia > International",https://www.mountainproject.com/route/117550496/beige-is-all-the-rage,3.0,-1,Boulder,V8,1,12,-37.18461,142.5213
"And Then There Was Red","Stoplight Arete > Venus Baths > The Grampians > Australia > International",https://www.mountainproject.com/route/117550765/and-then-there-was-red,3.0,-1,Boulder,V4,1,16,-37.13813,142.51388
"Slapper's Arete","Slappers Boulder > The Bleachers Bouldering > The Grampians > Australia > International",https://www.mountainproject.com/route/117550611/slappers-arete,3.0,-1,Boulder,V4,1,12,-37.18483,142.52211
"The Half Nielsen","Nielsen Park > Sydney > Australia > International",https://www.mountainproject.com/route/109456772/the-half-nielsen,3.0,-1,Boulder,V2,1,,-33.85069,151.26671
"Juggy Arete","Palm Beach Boulders > Sydney > Australia > International",https://www.mountainproject.com/route/109552102/juggy-arete,3.0,-1,Boulder,V0,1,,-33.59561,151.32449
"This is Australia","Mrs. Macquarie's Chair > Sydney > Australia > International",https://www.mountainproject.com/route/109620684/this-is-australia,2.5,-1,Boulder,V3,1,,-33.8595,151.22213
"Waverly Traverse","Queens Park > Sydney > Australia > International",https://www.mountainproject.com/route/109450569/waverly-traverse,2.0,-1,Boulder,V4,1,,-33.90084,151.25104
"The North Face","Palm Beach Boulders > Sydney > Australia > International",https://www.mountainproject.com/route/109552206/the-north-face,2.0,-1,Boulder,V0+,1,,-33.59561,151.32449
2/3,"Queens Park > Sydney > Australia > International",https://www.mountainproject.com/route/109453742/23,2.0,-1,Boulder,V3,1,,-33.90084,151.25104
"Highball flake","Alma bay > Magnetic Island > Queensland > Australia > International",https://www.mountainproject.com/route/117093829/highball-flake,2.0,-1,Boulder,V0,1,18,-19.14824,146.86909
"Klingon Death Rays","New Zealand buttress > Castle Hill > Queensland > Australia > International",https://www.mountainproject.com/route/117093534/klingon-death-rays,2.0,-1,Boulder,V2,1,40,-19.25867,146.80623
"Crimpy Traverse","Alma bay > Magnetic Island > Queensland > Australia > International",https://www.mountainproject.com/route/117093904/crimpy-traverse,2.0,-1,Boulder,V0+,1,15,-19.14824,146.86909
Tang,"Alma bay > Magnetic Island > Queensland > Australia > International",https://www.mountainproject.com/route/117093791/tang,2.0,-1,Boulder,V3,1,15,-19.14824,146.86909
"Once Removed","Alma bay > Magnetic Island > Queensland > Australia > International",https://www.mountainproject.com/route/117093938/once-removed,2.0,-1,Boulder,V2,1,,-19.14824,146.86909
"Polar Express","The Underground > White Rock / Redbank Plain Boulders > SE Qld > Queensland > Australia > International",https://www.mountainproject.com/route/116525467/polar-express,2.0,-1,Boulder,V3,1,,-27.69883,152.85043
"The Nielsen","Nielsen Park > Sydney > Australia > International",https://www.mountainproject.com/route/109454934/the-nielsen,2.0,-1,Boulder,V2,1,,-33.85069,151.26671
Gazzoni,"Nielsen Park > Sydney > Australia > International",https://www.mountainproject.com/route/109454950/gazzoni,2.0,-1,Boulder,V1+,1,,-33.85069,151.26671
Rebirthed,"Queens Park > Sydney > Australia > International",https://www.mountainproject.com/route/109539857/rebirthed,2.0,-1,Boulder,V4,1,9,-33.90084,151.25104
