Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"White Rastafarian","White Rastafarian Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722593/white-rastafarian,3.9,-1,Boulder,"V2 R",1,20,34.02073,-116.16212
"High Plains Drifter","Drifter/Smoking Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105908128/high-plains-drifter,3.9,-1,Boulder,V7,1,35,37.32888,-118.57484
"Bachar Cracker","Bachar Cracker Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107094498/bachar-cracker,3.9,-1,Boulder,V4,1,,37.74317,-119.60292
"Seven Spanish Angels (aka The Ruckus)","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106070976/seven-spanish-angels-aka-the-ruckus,3.9,-1,Boulder,V6,1,14,37.3388,-118.5776
"Jedi Mind Tricks","Jedi Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106464345/jedi-mind-tricks,3.9,-1,Boulder,"V4 PG13",1,25,37.3366,-118.5703
Slashface,"Slash Boulder > Western Belt > Geology Tour Road Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722755/slashface,3.9,-1,Boulder,"V3 R",1,25,33.95344,-116.08706
JBMFP,"JBMF Boulder > JBMF Boulders > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725464/jbmfp,3.9,-1,Boulder,V5,1,16,34.0152,-116.16631
Saigon,"Saigon Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106022301/saigon,3.9,-1,Boulder,V6,1,22,37.32944,-118.57548
Pigpen,"Pigpen Boulder > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722992/pigpen,3.9,-1,Boulder,V4,1,10,34.0153,-116.15811
"Strength in Numbers (Original SIN)","Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068943/strength-in-numbers-original-sin,3.8,-1,Boulder,V5,1,18,37.42207,-118.43344
Gunsmoke,"Gunsmoke Wall > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722350/gunsmoke,3.7,-1,Boulder,V3,1,80,34.02858,-116.14508
"The Hunk","The Hunk > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106382086/the-hunk,3.7,-1,Boulder,V2,1,20,37.32886,-118.57512
"The Hulk","Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105988462/the-hulk,3.7,-1,Boulder,V6,1,15,37.41747,-118.45136
"Stem Gem","Stem Gem Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722608/stem-gem,3.7,-1,Boulder,V4,1,20,34.01716,-116.16368
"Black Magic","Black Magic Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106996981/black-magic,3.7,-1,Boulder,"V3 R",1,20,37.41675,-118.44942
"Soul Slinger","Soul Slinger Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105908345/soul-slinger,3.7,-1,Boulder,V9,1,14,37.32868,-118.57635
"Heavenly Path","Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105996532/heavenly-path,3.6,-1,Boulder,"V1 PG13",1,25,37.41718,-118.45095
"Fry Problem","Fry Boulder > Fry Boulders > Stonehenge and Fry Boulders > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106039374/fry-problem,3.7,-1,Boulder,V2,1,15,33.98831,-116.15795
"Circuit Breaker","Circuit Breaker > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105979654/circuit-breaker,3.7,-1,"TR, Boulder","5.11b V2",1,20,37.73578,-119.57543
"Iron Man Traverse","Iron Man Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936763/iron-man-traverse,3.6,-1,Boulder,V4,1,,37.33001,-118.57811
"Every Color You Are","Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106126755/every-color-you-are,3.6,-1,Boulder,V6,1,15,37.41698,-118.45133
"Bowling Pin","Bowling Pin Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936179/bowling-pin,3.6,-1,Boulder,V4,1,,37.32959,-118.5772
"False Up 20","False Up 20 Boulder > JBMF Boulders > Roadside Rocks Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725461/false-up-20,3.5,-1,Boulder,V0-,1,20,34.01513,-116.16605
"Mister Witty","Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106126733/mister-witty,3.6,-1,Boulder,"V6 PG13",1,15,37.41698,-118.45133
"Leary/Bard Arete","Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106351951/learybard-arete,3.8,-1,Boulder,V5,1,18,37.32909,-118.57791
"Buttermilk Stem","Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130698/buttermilk-stem,3.5,-1,Boulder,V1,1,15,37.32906,-118.5768
"Hero Roof","Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106094805/hero-roof,3.4,-1,Boulder,V0,1,14,37.33,-118.5782
"Ketron Classic","Savannah Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106054139/ketron-classic,3.5,-1,Boulder,V4,1,,37.418,-118.452
"Saturday Night Live","Saturday Night Live Boulder > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723517/saturday-night-live,3.5,-1,Boulder,V4,1,13,34.01167,-116.16855
Sheepherder,"The Loaf > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106279792/sheepherder,3.5,-1,Boulder,V2,1,,37.33022,-118.57882
"Lidija's Mouth","Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106589288/lidijas-mouth,3.5,-1,Boulder,V3,1,12,37.3377,-118.5701
"Bowling Pin Sit","Bowling Pin Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107419834/bowling-pin-sit,3.5,-1,Boulder,V6-,1,15,37.32959,-118.5772
Molly,"Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106094747/molly,3.4,-1,Boulder,V5,1,13,37.42075,-118.43391
Zorro,"Zorro Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106774200/zorro,3.4,-1,Boulder,V4,1,12,37.73744,-119.57605
"Lizards' Mouth Traverse","The Mouth > The Lizard's Mouth > * Santa Barbara Bouldering > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/105951786/lizards-mouth-traverse,3.5,-1,Boulder,V0+,1,40,34.50224,-119.86794
Jaws,"Jaws Boulder Area > Mount Woodson > North San Diego County > San Diego and Environs > California",https://www.mountainproject.com/route/105791650/jaws,3.4,-1,"Trad, Boulder","5.11a V1",1,15,33.0058,-116.96749
"The Chube","Chube Boulder > Gunsmoke Area > Barker Dam Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724441/the-chube,3.3,-1,Boulder,V2,1,15,34.02838,-116.14524
"The Pursuit of Wow","Tom Peter's Slab > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106273867/the-pursuit-of-wow,3.4,-1,Boulder,"V0 PG13",1,20,37.41587,-118.44899
Serengeti,"Serengeti Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106052564/serengeti,3.3,-1,Boulder,V5,1,15,37.41844,-118.45269
"Green Wall Center","Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106375359/green-wall-center,3.3,-1,Boulder,V6,1,18,37.32873,-118.57534
"Birthday Direct","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106027088/birthday-direct,3.3,-1,Boulder,V3,1,12,37.33004,-118.57901
"Corner Route","Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106100119/corner-route,3.3,-1,Boulder,V0+,1,18,37.41632,-118.44928
"King Tut","Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105972724/king-tut,3.3,-1,Boulder,V3,1,17,37.329,-118.5773
"The Fang","The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106731640/the-fang,3.3,-1,Boulder,V4,1,15,37.4217,-118.43308
"Robinson's Rubber Tester","Robinson's Rubber Tester Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936126/robinsons-rubber-tester,3.3,-1,Boulder,V0,1,,37.32867,-118.57681
"China Doll","Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106617251/china-doll,3.3,-1,Boulder,V0,1,18,37.42075,-118.43391
Solarium,"Solarium Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105943524/solarium,3.2,-1,Boulder,V4,1,15,37.41737,-118.45125
"Funky Tut","Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106077053/funky-tut,3.2,-1,Boulder,V3,1,15,37.329,-118.5773
"Charlotte's Web","Charlotte's Web Area > The Brickyard > * Santa Barbara Bouldering > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/106603327/charlottes-web,3.2,-1,Boulder,V3,1,20,34.49787,-119.8617
"Monkey Dihedral","Saigon Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106908986/monkey-dihedral,3.3,-1,Boulder,V2,1,17,37.32944,-118.57548
"Hobbit Hole Offwidth","Hobbit Hole Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106072721/hobbit-hole-offwidth,3.1,-1,Boulder,V0,1,12,34.0229,-116.16414
"Sloper Safari","Meadows Boulder > Hall of Horrors Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106329025/sloper-safari,3.1,-1,Boulder,V4,1,10,33.99418,-116.14301
"Good Morning Sunshine","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106094043/good-morning-sunshine,3.1,-1,Boulder,"V1 PG13",1,22,37.32859,-118.57516
"Green Wall Essential","Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936142/green-wall-essential,3.1,-1,Boulder,V2,1,20,37.32873,-118.57534
"Center Visor","Visor Boulder > NRA > The Summit > Black Mountain > San Jacinto Mountains > California",https://www.mountainproject.com/route/105991718/center-visor,3.4,-1,Boulder,V6,1,10,33.82161,-116.75728
Weekender,"Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105988476/weekender,3.1,-1,Boulder,V4,1,20,37.41624,-118.44938
"Illicit Sweetie","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105798054/illicit-sweetie,3.1,-1,Boulder,V0,1,18,33.99802,-116.15351
"Emerald City","Emerald City > The West Rim > Shangri-La Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107176656/emerald-city,3.8,-1,Boulder,"V0 PG13",1,20,33.81759,-116.64934
"Flyboy Arete","Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106070944/flyboy-arete,3.1,-1,Boulder,V5,1,,37.33057,-118.57834
Yeti,"Yeti Boulder > The Brickyard > * Santa Barbara Bouldering > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/106603322/yeti,3.8,-1,Boulder,V4,1,15,34.49764,-119.8617
"The Womb (Birthing Experience)","Womb Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107052779/the-womb-birthing-experience,3.0,-1,Boulder,V1,1,12,37.329,-118.57473
"Three Pigs","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105870999/three-pigs,3.0,-1,Boulder,V0,1,15,34.2698,-118.6056
