Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Tommy's Arete","The Automator Boulder > Lower Chaos Canyon > Chaos Canyon Bouldering > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/106390524/tommys-arete,3.9,-1,"Boulder, Alpine",V7,1,,40.30479,-105.66069
"Breashear's Crack II","The Cube Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105755113/breashears-crack-ii,3.9,-1,Boulder,V3,1,19,39.65112,-105.18653
"The Kind (originally In Your Face, then Standard Overhang - after the block was removed)","Emerald Lake > Tyndall Gorge > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/106443056/the-kind-originally-in-your-face-then-standard-overhang-after-the-block-was-remo,3.7,-1,"Boulder, Alpine",V5,1,12,40.30946,-105.66517
Autobot,"The Gobot Boulder > Lower Chaos Canyon > Chaos Canyon Bouldering > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/106244180/autobot,3.6,-1,"Boulder, Alpine",V5-,1,20,40.30479,-105.66069
"The Turning Point","BBC Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105752365/the-turning-point,3.6,-1,Boulder,V8,1,,39.98899,-105.29117
"The Ladder","Bierstadt Area > Area A > Mt. Evans Bouldering > Mt. Evans > Alpine Rock > Colorado",https://www.mountainproject.com/route/106497744/the-ladder,3.6,-1,"Boulder, Alpine",V2,1,10,39.6326,-105.6211
"Kahuna Roof","Kahuna Boulder > Carter Lake > Fort Collins > Colorado",https://www.mountainproject.com/route/105754081/kahuna-roof,3.8,-1,Boulder,V5-6,1,,40.32211,-105.21435
Resonated,"Water Rock > Eldorado Canyon Bouldering > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/106669318/resonated,3.8,-1,Boulder,V8,1,16,39.92981,-105.2881
"Squirming Coil","Squirming Coil Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106053362/squirming-coil,3.5,-1,Boulder,V5,1,15,39.65122,-105.18622
"The Monkey Traverse (aka Long Traverse)","Monkey Traverse > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105761538/the-monkey-traverse-aka-long-traverse,3.4,-1,Boulder,V4,1,10,40.00096,-105.29657
Helicopter,"The Black Hole > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105750883/helicopter,3.5,-1,Boulder,V5-6,1,,39.65276,-105.18641
"Double Arete","Squirming Coil Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106059274/double-arete,3.4,-1,Boulder,V5,1,16,39.65122,-105.18622
"Hagan's Wall","Cloud Shadow > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105749206/hagans-wall,3.3,-1,Boulder,V5,1,,40.00272,-105.29477
"First Overhang","First Overhang > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105759564/first-overhang,3.3,-1,Boulder,V6,1,10,40.00345,-105.29851
"The Millennium Falcon","Falcon Block > Main Area > Dynamite Shacks > Grand Junction Area > Colorado",https://www.mountainproject.com/route/106055084/the-millennium-falcon,3.7,-1,Boulder,V1,1,15,39.05158,-108.6059
