Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"New Speedway Boogie","King Boulder > West Side > Basin Area > Bald Rock Basin > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107793661/new-speedway-boogie,3.8,-1,Boulder,V3,1,12,41.34382,-73.40901
"Frankenstein's Lab","Frankenrock > Woodbridge Land Trust, Park Lane > CT Bouldering > Connecticut",https://www.mountainproject.com/route/106809514/frankensteins-lab,3.7,-1,Boulder,V7,1,18,41.3369,-72.9861
"Vultures in Paradise","Colossus Boulder > West Side > Basin Area > Bald Rock Basin > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107842621/vultures-in-paradise,4.0,-1,"TR, Boulder","V5 R",1,24,41.34316,-73.40799
Weathermen,"Chatfield Weather Caves > Killingworth > CT Bouldering > Connecticut",https://www.mountainproject.com/route/106652015/weathermen,4.0,-1,Boulder,V8,1,15,41.359,-72.5868
"Warm Welcome","Welcome Boulders > Hurd Park > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107170219/warm-welcome,4.0,-1,Boulder,V3-4,1,10,41.51958,-72.54168
"De Mak Mak","Fat Man's Squeeze > Killingworth > CT Bouldering > Connecticut",https://www.mountainproject.com/route/106646484/de-mak-mak,4.0,-1,Boulder,V8+,1,12,41.349,-72.5968
"Feel the Bern","Clinton Road Boulder > Naugatuck State Forest > CT Bouldering > Connecticut",https://www.mountainproject.com/route/111598793/feel-the-bern,3.8,-1,Boulder,V6,1,12,41.35996,-73.06593
"Flying Nimbus","Chatfield Weather Caves > Killingworth > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107977612/flying-nimbus,4.0,-1,Boulder,V10,1,20,41.359,-72.5868
"How Good is Your Pull-Out Game?","The Giving Boulder > Glastonbury > CT Bouldering > Connecticut",https://www.mountainproject.com/route/113912224/how-good-is-your-pull-out-game,4.0,-1,Boulder,V6-7,1,8,41.69683,-72.47942
"Always at Fight Weight","The Bunny Boulder > Bunny Boulder Area > Westwoods (Cockaponset State Forest) > CT Bouldering > Connecticut",https://www.mountainproject.com/route/110413579/always-at-fight-weight,4.0,-1,Boulder,V9,1,,41.26969,-72.73668
Birch,"Left Leg > Sleeping Giant > CT Bouldering > Connecticut",https://www.mountainproject.com/route/112348352/birch,4.0,-1,Boulder,V3,1,15,41.42386,-72.9027
"The Surgeon","Stoddard Hill State Park > Mystic Areas > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107682151/the-surgeon,4.0,-1,Boulder,V8-,1,12,41.36622,-72.01403
"Magical Thinking","Toni Harp Bloc > West Rock State Park > CT Bouldering > Connecticut",https://www.mountainproject.com/route/108836342/magical-thinking,4.0,-1,Boulder,"V7 R",1,20,41.33184,-72.95908
"Slap & Tickle","El Duque Wall > East Side > Basin Area > Bald Rock Basin > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107573340/slap-tickle,4.0,-1,Boulder,V4-5,1,18,41.34235,-73.40538
Kudu,"Blue Trail North > Killingworth > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107072107/kudu,4.0,-1,Boulder,V6-7,1,18,41.359,-72.5868
"Iron Galaxy","Iron Galaxy > Killingworth > CT Bouldering > Connecticut",https://www.mountainproject.com/route/107405256/iron-galaxy,4.0,-1,Boulder,V6-7,1,15,41.3609,-72.57897
