Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Hostage,"Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116662658/hostage,4.0,-1,Boulder,V3,1,16,39.76852,-75.57409
"Movin' to CDH","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118069468/movin-to-cdh,4.0,-1,Boulder,"V3-4 PG13",1,18,39.76826,-75.57481
"Blood Tax","Black Widow Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116607263/blood-tax,3.0,-1,Boulder,V3+,1,8,39.76835,-75.57419
"Grey Streak (or Temptation?)","Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/116634608/grey-streak-or-temptation,3.0,-1,"TR, Boulder","5.10d V2",1,20,39.7691,-75.5583
"Stache Traverse","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116547527/stache-traverse,3.0,-1,Boulder,V3,1,15,39.76826,-75.57481
Backboard,"Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118035008/backboard,3.0,-1,Boulder,V0,1,8,39.76831,-75.57451
"Winter Seasoning","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118034944/winter-seasoning,3.0,-1,Boulder,V1,1,12,39.76852,-75.57409
Powerball,"Makeout Cave Cluster > Rockford Park > Delaware",https://www.mountainproject.com/route/118048780/powerball,3.0,-1,Boulder,V2,1,12,39.76833,-75.57495
Flapper,"Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118118524/flapper,3.0,-1,Boulder,V3-4,1,10,39.76831,-75.57451
Spacklehead,"Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116547433/spacklehead,2.5,-1,Boulder,V2+,1,8,39.76826,-75.57481
"(warm up traverse)","Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/107483026/warm-up-traverse,2.3,-1,Boulder,V0+,1,,39.7691,-75.5583
Ransom,"Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116662687/ransom,2.0,-1,Boulder,V0,1,11,39.76852,-75.57409
"Positive Contact","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/116547493/positive-contact,2.0,-1,Boulder,V2+,1,8,39.76826,-75.57481
"Chim Chiminey","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342153/chim-chiminey,2.0,-1,Boulder,V0,1,25,39.76818,-75.5745
"Lithe Wire","Spearhead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118034973/lithe-wire,2.0,-1,Boulder,V2-,1,12,39.76852,-75.57409
"Air Delaware","Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118118649/air-delaware,2.0,-1,Boulder,V2-3,1,10,39.76831,-75.57451
"Heat Index 110","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342124/heat-index-110,1.0,-1,Boulder,V0,1,20,39.76818,-75.5745
"A Balance of Question","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342135/a-balance-of-question,1.0,-1,Boulder,V0+,1,25,39.76818,-75.5745
"Tree Route","Makeout Cave Cluster > Rockford Park > Delaware",https://www.mountainproject.com/route/118048848/tree-route,1.0,-1,Boulder,V0,1,8,39.76833,-75.57495
"Easy Street/downclimb","Spacklehead Boulder > Rockford Park > Delaware",https://www.mountainproject.com/route/118035034/easy-streetdownclimb,1.0,-1,Boulder,V0,1,12,39.76826,-75.57481
"Black Friday","Scattered Small Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/118049717/black-friday,1.0,-1,Boulder,V1,1,8,39.76831,-75.57451
"Paha Sapa","Heat Index Boulders > Rockford Park > Delaware",https://www.mountainproject.com/route/115342183/paha-sapa,0.0,-1,Boulder,V0+,1,8,39.76818,-75.5745
