Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Duroxomanie black 29","Cuvier Est (Bellevue) > Cuvier-Chatillon > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/113318928/duroxomanie-black-29,4.0,-1,Boulder,V5,1,,48.44591,2.64367
"Not To Be Taken Away","Plantation Bouldering > Stanage Edge > The Peak District > England > United Kingdom > Europe > International",https://www.mountainproject.com/route/106385883/not-to-be-taken-away,4.0,-1,Boulder,V4,1,20,53.35828,-1.64206
"Beatle juice","Franchard Cuisiniere > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/113316770/beatle-juice,4.0,-1,Boulder,V7,1,,48.41121,2.60959
"La Dalle à Poly (black n°40)","Éléphant > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/114543775/la-dalle-a-poly-black-n040,4.0,-1,Boulder,V2,1,,48.2942,2.59393
Deliverance,"Plantation Bouldering > Stanage Edge > The Peak District > England > United Kingdom > Europe > International",https://www.mountainproject.com/route/106377695/deliverance,4.0,-1,Boulder,V8,1,15,53.35828,-1.64206
"Crescent Arete","Plantation Bouldering > Stanage Edge > The Peak District > England > United Kingdom > Europe > International",https://www.mountainproject.com/route/106377717/crescent-arete,4.0,-1,Boulder,V2,1,24,53.35828,-1.64206
"The Green Traverse","Plantation Bouldering > Stanage Edge > The Peak District > England > United Kingdom > Europe > International",https://www.mountainproject.com/route/106377675/the-green-traverse,4.0,-1,Boulder,V6,1,18,53.35828,-1.64206
Helicoptere,"Bas Cuvier > Cuvier-Chatillon > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/114271940/helicoptere,4.0,-1,Boulder,V6,1,18,48.4474,2.6371
"Grit deluxe","Beach > Magic Wood > Switzerland > Europe > International",https://www.mountainproject.com/route/113368893/grit-deluxe,4.0,-1,Boulder,V8,1,,46.56576,9.43798
"L'angle du serac","Others > Franchard Isatis > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/114527214/langle-du-serac,4.0,-1,Boulder,V4+,1,,48.40133,2.6971
"Retour aux Sources","95.2 Ouest > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/113321655/retour-aux-sources,4.0,-1,Boulder,V6,1,,48.38556,2.52768
"La Dalle Fléaux","Éléphant > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/115792899/la-dalle-fleaux,4.0,-1,Boulder,V4,1,15,48.2942,2.59393
"Blue Sky of MIne","Kamel > Magic Wood > Switzerland > Europe > International",https://www.mountainproject.com/route/113456515/blue-sky-of-mine,4.0,-1,Boulder,V3,1,,46.56161,9.43763
"Blue 2 Sans calorie","Bois Rond > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/114585017/blue-2-sans-calorie,4.0,-1,Boulder,V3+,1,,48.391,2.55757
"Couleur feu","J.A. Martin > Fontainebleau > France > Europe > International",https://www.mountainproject.com/route/114533534/couleur-feu,4.0,-1,Boulder,V7+,1,,48.36037,2.53563
