Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Timmy's Tick","The Arch > Oahu > Hawaii",https://www.mountainproject.com/route/109284315/timmys-tick,3.9,-1,Boulder,"V4 PG13",1,,21.5694,-158.26947
"Hang'n Loose","The Backside > Maui > Hawaii",https://www.mountainproject.com/route/112239678/hangn-loose,4.0,-1,"TR, Boulder","5.10a/b V1+ PG13",1,30,20.92795,-156.69654
"Big Baby Buddha","The Arch > Oahu > Hawaii",https://www.mountainproject.com/route/109292335/big-baby-buddha,4.0,-1,Boulder,"V9 PG13",1,,21.5694,-158.26947
Shootz!,"Lowlands > Oahu > Hawaii",https://www.mountainproject.com/route/114122912/shootz,4.0,-1,Boulder,V2,1,15,21.43176,-157.99594
"The Dragon's Egg","Dragon's Breath Area Bouldering > Dragon's Breath > Kauai > Hawaii",https://www.mountainproject.com/route/114376075/the-dragons-egg,4.0,-1,Boulder,V0,1,12,22.22235,-159.42488
"Zeus' Lightning","Venus Pool > Maui > Hawaii",https://www.mountainproject.com/route/112242527/zeus-lightning,4.0,-1,"TR, Boulder","5.11c V3 PG13",1,28,20.70429,-155.99478
Ravestorm,"Lowlands > Oahu > Hawaii",https://www.mountainproject.com/route/114122863/ravestorm,4.0,-1,Boulder,V7,1,20,21.43176,-157.99594
Undine,"Turtle Cove > Kauai > Hawaii",https://www.mountainproject.com/route/114490012/undine,4.0,-1,Boulder,V4,1,10,22.22898,-159.48251
Wavestorm,"Lowlands > Oahu > Hawaii",https://www.mountainproject.com/route/114122855/wavestorm,4.0,-1,Boulder,V2,1,20,21.43176,-157.99594
"Mai Tai","Sacreds > Oahu > Hawaii",https://www.mountainproject.com/route/114194381/mai-tai,4.0,-1,Boulder,V2,1,15,21.63795,-158.06738
"Two Shadows Deep","Mokolea Point > Kauai > Hawaii",https://www.mountainproject.com/route/114804497/two-shadows-deep,4.0,-1,Boulder,V3,1,50,22.22433,-159.38322
"Bottom Rock","The Arch > Oahu > Hawaii",https://www.mountainproject.com/route/109288982/bottom-rock,4.0,-1,Boulder,"V10 PG13",1,,21.5694,-158.26947
Traverse,"Palolo Valley Crag > Oahu > Hawaii",https://www.mountainproject.com/route/107483256/traverse,4.0,-1,Boulder,V4+,1,80,21.3143,-157.7784
