Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Peanut Butter Prophecy","Propeller Area > Table Rock > West Idaho > Idaho",https://www.mountainproject.com/route/116072869/peanut-butter-prophecy,4.0,-1,Boulder,V3,1,12,43.593,-116.1458
"Sudden Meltdown","The Little Quarry > Table Rock > West Idaho > Idaho",https://www.mountainproject.com/route/108040530/sudden-meltdown,4.0,-1,Boulder,V4,1,40,43.5964,-116.1471
"Drop Knee Gorgeous","WaveWall > Pocatello Area Bouldering > East Idaho > Idaho",https://www.mountainproject.com/route/108041736/drop-knee-gorgeous,4.0,-1,Boulder,V7,1,12,42.80072,-112.36493
Surgery,"Black Slabbath Area > Swan Falls > West Idaho > Idaho",https://www.mountainproject.com/route/116809865/surgery,4.0,-1,Boulder,V7,1,15,43.26713,-116.40032
"The Smell","Taco Cave > Castle Rocks Bouldering > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113956700/the-smell,4.0,-1,Boulder,V7-8,1,20,42.13642,-113.66735
"Savoir Faire","Slabtastic (BDB cluster) > Teton Dam (Lower Teton River Canyon) > East Idaho > Idaho",https://www.mountainproject.com/route/107036733/savoir-faire,3.8,-1,Boulder,V7,1,15,43.9031,-111.5537
Agra,"The Taj  Mahal > Swan Falls > West Idaho > Idaho",https://www.mountainproject.com/route/108044651/agra,3.8,-1,Boulder,V5,1,12,43.2494,-116.3772
"Betty’s crack","Bedrock > Rock Creek (Croy) Bouldering > Central Idaho > Idaho",https://www.mountainproject.com/route/116122889/bettys-crack,4.0,-1,Boulder,V0,1,,43.46228,-114.35206
Eyerok,"Goomba Boulder > Massacre Rocks State Park > Pocatello Area Bouldering > East Idaho > Idaho",https://www.mountainproject.com/route/115340375/eyerok,4.0,-1,Boulder,V6,1,12,42.6762,-112.98937
"Oyster Bar","The North-East Face > Table Rock > West Idaho > Idaho",https://www.mountainproject.com/route/114466135/oyster-bar,4.0,-1,Boulder,V4,1,10,43.59601,-116.14292
Tony's,"Greenroom Area > Dierkes Lake Bouldering > Twin Falls and the Snake River Canyon > South Idaho > Idaho",https://www.mountainproject.com/route/111852844/tonys,4.0,-1,Boulder,V7,1,15,42.59619,-114.38964
"Achilles Heel","Trojan > Underworld Cluster > Garden of the Gods > Massacre Rocks State Park > Pocatello Area Bouldering > East Idaho > Idaho",https://www.mountainproject.com/route/115341181/achilles-heel,4.0,-1,Boulder,V5,1,15,42.68119,-112.98638
"Spice World Arete","Spice Girls Area > Swan Falls > West Idaho > Idaho",https://www.mountainproject.com/route/109875571/spice-world-arete,3.6,-1,Boulder,V6,1,,43.2494,-116.3772
"The Vulcan","WaveWall > Pocatello Area Bouldering > East Idaho > Idaho",https://www.mountainproject.com/route/108041693/the-vulcan,4.0,-1,Boulder,V9-10,1,12,42.80072,-112.36493
"Humble Sit","The Llama boulder > The Playground > Bogus Boulders > West Idaho > Idaho",https://www.mountainproject.com/route/113018411/humble-sit,4.0,-1,"Boulder, Alpine",V6,1,,43.73513,-116.13798
"The Flight","WaveWall > Pocatello Area Bouldering > East Idaho > Idaho",https://www.mountainproject.com/route/108041657/the-flight,4.0,-1,Boulder,V8+,1,20,42.80072,-112.36493
"Snake Eyes","Walrus > Teton Dam (Lower Teton River Canyon) > East Idaho > Idaho",https://www.mountainproject.com/route/107036131/snake-eyes,3.5,-1,Boulder,V4,1,20,43.9084,-111.5371
Akhenaten,"Egyptian > Ancient Cluster > Garden of the Gods > Massacre Rocks State Park > Pocatello Area Bouldering > East Idaho > Idaho",https://www.mountainproject.com/route/118133169/akhenaten,4.0,-1,Boulder,V6,1,10,42.68163,-112.98597
