Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Mollusk","Mollusk Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312136/the-mollusk,3.5,-1,Boulder,V2-3,1,10,37.61563,-89.41242
"Yosemite Slab","Z. Bouldering in the Canyon Proper > *Jackson Falls > Illinois",https://www.mountainproject.com/route/109933221/yosemite-slab,3.8,-1,Boulder,V0,1,40,37.50632,-88.68419
"Shadow of a Man","Shadow of a Man Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312154/shadow-of-a-man,3.8,-1,Boulder,V5,1,15,37.61583,-89.41048
Enlightenment,"Illuminati Boulders > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312247/enlightenment,3.7,-1,Boulder,V4,1,10,37.61707,-89.4111
KFC,"Shadow of a Man Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312256/kfc,2.9,-1,Boulder,V2-3,1,10,37.61583,-89.41048
Atlas,"Atlas Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/110027723/atlas,3.5,-1,Boulder,V4,1,,37.61452,-89.40935
Sukha,"Brown Cow Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408957/sukha,2.9,-1,Boulder,V3,1,,37.61524,-89.41119
"The Red Sea","Red Sea Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/110027897/the-red-sea,3.9,-1,Boulder,V6,1,,37.61327,-89.41019
"Tyler Durden","Tyler Durden Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108411073/tyler-durden,3.6,-1,Boulder,V5,1,15,37.61607,-89.41123
"Full Grain","Jump for Jesus Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/111359226/full-grain,3.7,-1,Boulder,V4,1,15,37.61824,-89.41327
Calypso,"Atlas Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/111767702/calypso,3.5,-1,Boulder,V6,1,10,37.61452,-89.40935
"Undercling King","Illuminati Boulders > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312271/undercling-king,3.6,-1,Boulder,V5-6,1,15,37.61707,-89.4111
"Jungle Book","Illuminati Boulders > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312336/jungle-book,3.8,-1,Boulder,V8,1,15,37.61707,-89.4111
"Embryo Stasis","Vultures Nest Boulders > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108601180/embryo-stasis,3.2,-1,Boulder,V4,1,8,37.61954,-89.41096
Helios,"Brown Cow Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408965/helios,2.7,-1,Boulder,V4,1,,37.61524,-89.41119
"Comfortably Numb","Shadow of a Man Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312228/comfortably-numb,3.0,-1,Boulder,V3+,1,15,37.61583,-89.41048
"Public Enemy","Public Enemy Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108412969/public-enemy,2.5,-1,Boulder,V1-2,1,,37.61837,-89.41272
"Robert Paulson","Tyler Durden Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108411106/robert-paulson,2.5,-1,Boulder,V2,1,7,37.61607,-89.41123
Tabernacle,"Jump for Jesus Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/112297553/tabernacle,3.6,-1,Boulder,V5,1,15,37.61824,-89.41327
"Open Gates","Open Gates Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/110192020/open-gates,3.4,-1,Boulder,V5,1,10,37.61992,-89.41143
"Your Body is a Wonderland","911 Aretes > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108577914/your-body-is-a-wonderland,3.2,-1,Boulder,V3-4,1,5,37.61557,-89.41025
"Leather Face","45 Degree Wall > The Graveyard > Illinois",https://www.mountainproject.com/route/109346102/leather-face,3.9,-1,Boulder,V7,1,,37.78206,-89.50903
"Sukha Sit","Brown Cow Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/111289342/sukha-sit,3.0,-1,Boulder,V5,1,,37.61524,-89.41119
"Tennis Shoe Arete","Shadow of a Man Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108412958/tennis-shoe-arete,2.5,-1,Boulder,V2,1,,37.61583,-89.41048
"Body Karate","Z. Bouldering in the Canyon Proper > *Jackson Falls > Illinois",https://www.mountainproject.com/route/108794943/body-karate,4.0,-1,Boulder,V8,1,,37.50632,-88.68419
"Sex on the Beach","A: Sex on the Beach > The Beach > Illinois",https://www.mountainproject.com/route/108344209/sex-on-the-beach,3.9,-1,Boulder,V5-6,1,12,37.66665,-89.51359
Standard,"A: Gill Roof > A: Devils Standtable > C: Park Bouldering > Giant City State Park > Illinois",https://www.mountainproject.com/route/108562427/standard,3.2,-1,Boulder,V3-4,1,,37.60038,-89.19304
Onyx,"Illuminati Boulders > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312298/onyx,3.3,-1,Boulder,V7,1,10,37.61707,-89.4111
"Brown Cow","Brown Cow Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408901/brown-cow,3.1,-1,Boulder,V6,1,,37.61524,-89.41119
"Giraffe's Hat","F: Gill Wall > A: Devils Standtable > C: Park Bouldering > Giant City State Park > Illinois",https://www.mountainproject.com/route/110057962/giraffes-hat,4.0,-1,Boulder,"V3 PG13",1,,37.59934,-89.19089
"Black Magic Woman","Ryan's Area > One Horse Gap > Illinois",https://www.mountainproject.com/route/112456240/black-magic-woman,4.0,-1,Boulder,V7,1,,37.51821,-88.4614
"Cain and Ankle","Red Sea Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/111872756/cain-and-ankle,3.5,-1,Boulder,V8,1,12,37.61327,-89.41019
"Have It","Jump for Jesus Area > The Holy Boulders > Illinois",https://www.mountainproject.com/route/112396906/have-it,4.0,-1,Boulder,V8,1,18,37.61824,-89.41327
"Return to Forever ""Classic""","B: Shelter 1 > C: Park Bouldering > Giant City State Park > Illinois",https://www.mountainproject.com/route/108973813/return-to-forever-classic,4.0,-1,Boulder,V3-4,1,,37.62645,-89.2012
Nimbus,"Nimbus Boulder > One Horse Gap > Illinois",https://www.mountainproject.com/route/111735056/nimbus,4.0,-1,Boulder,"V6-7 PG13",1,,37.51847,-88.45878
"Screaming Eagle","Lake Boulders > The Roost > Illinois",https://www.mountainproject.com/route/109348469/screaming-eagle,4.0,-1,Boulder,V6,1,,37.4975,-88.7187
"The New Zero","Illuminati Boulders > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312323/the-new-zero,4.0,-1,Boulder,V13,1,15,37.61707,-89.4111
"Pockets Full of Sunshine","North Park University > Chicago Buildering > Chicago Area > Illinois",https://www.mountainproject.com/route/116579705/pockets-full-of-sunshine,4.0,-1,Boulder,V1-2,1,18,41.97486,-87.71117
"Brown Recluse","Brown Recluse Boulder > The Holy Boulders > Illinois",https://www.mountainproject.com/route/108587351/brown-recluse,3.8,-1,Boulder,V9,1,18,37.61793,-89.41494
Bagpiper,"Z. Bouldering in the Canyon Proper > *Jackson Falls > Illinois",https://www.mountainproject.com/route/111143905/bagpiper,4.0,-1,Boulder,"V5 PG13",1,,37.50632,-88.68419
O.B.D.,"Z. Bouldering in the Canyon Proper > *Jackson Falls > Illinois",https://www.mountainproject.com/route/112484144/obd,4.0,-1,Boulder,V6,1,16,37.50632,-88.68419
"Praying Mantel","Z. Bouldering in the Canyon Proper > *Jackson Falls > Illinois",https://www.mountainproject.com/route/112484154/praying-mantel,4.0,-1,Boulder,V8,1,7,37.50632,-88.68419
"Zig Zag","Z. Bouldering in the Canyon Proper > *Jackson Falls > Illinois",https://www.mountainproject.com/route/112484131/zig-zag,4.0,-1,Boulder,V8,1,18,37.50632,-88.68419
