Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Red Hot Chili Pepper","Tangerine Wall > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/106169490/the-red-hot-chili-pepper,3.5,-1,Boulder,V6+,1,10,38.98752,-85.61927
Osiris,"Strawberry Fields > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/111593780/osiris,3.8,-1,Boulder,V6,1,12,38.9883,-85.61809
"Down by the River","Zeppelin Boulder > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/106169563/down-by-the-river,4.0,-1,Boulder,V4,1,,38.98748,-85.61911
"Splash Traverse","H Boulders > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/106169514/splash-traverse,3.4,-1,Boulder,V4,1,,38.9883,-85.61809
"Ball Buster","Unlikely Wall > Indiana",https://www.mountainproject.com/route/108336701/ball-buster,3.7,-1,Boulder,V4+,1,,39.02696,-86.5346
Kundilini,"Heinousness Wall > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/106169472/kundilini,3.0,-1,Boulder,V3,1,15,38.9883,-85.61809
"Rogue Dentistry","Tangerine Wall > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/106265582/rogue-dentistry,3.1,-1,Boulder,V8,1,15,38.98752,-85.61927
"The Incisor","Tangerine Wall > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/116116940/the-incisor,3.3,-1,Boulder,"V7 PG13",1,15,38.98752,-85.61927
"Kundilini Rising","Heinousness Wall > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/116569211/kundilini-rising,3.3,-1,Boulder,V4,1,20,38.9883,-85.61809
"The Politician","Heinousness Wall > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/108293852/the-politician,2.7,-1,Boulder,V2,1,,38.9883,-85.61809
"Hoosier Daddy","Strawberry Fields > Muscatatuck County Park > Indiana",https://www.mountainproject.com/route/106169594/hoosier-daddy,3.3,-1,Boulder,V6-7,1,,38.9883,-85.61809
