Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Oardeal of the Boats","Project boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/112166014/the-oardeal-of-the-boats,4.0,-1,Boulder,"V6+ PG13",1,18,42.07986,-90.75198
"The Spice Must Flow","The Waystation > Pictured Rocks > Iowa",https://www.mountainproject.com/route/112329147/the-spice-must-flow,4.0,-1,Boulder,V2,1,15,42.21523,-91.10119
"B - Adult Recess","Centennial Park > Iowa",https://www.mountainproject.com/route/117165038/b-adult-recess,4.0,-1,Boulder,V5-6,1,10,41.73703,-91.62431
"A - Labrum of Love","Centennial Park > Iowa",https://www.mountainproject.com/route/117211916/a-labrum-of-love,4.0,-1,Boulder,V3,1,,41.73703,-91.62431
"A - 006","Centennial Park > Iowa",https://www.mountainproject.com/route/117201925/a-006,4.0,-1,Boulder,V5,1,8,41.73703,-91.62431
"B - Bad Role Models","Centennial Park > Iowa",https://www.mountainproject.com/route/117157640/b-bad-role-models,4.0,-1,Boulder,V4,1,10,41.73703,-91.62431
"C - 009","Centennial Park > Iowa",https://www.mountainproject.com/route/117234917/c-009,4.0,-1,Boulder,V3,1,7,41.73703,-91.62431
"A - 003","Centennial Park > Iowa",https://www.mountainproject.com/route/117172879/a-003,4.0,-1,Boulder,V5,1,6,41.73703,-91.62431
"Field Trips and Drop Outs","Freshman Boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/114586441/field-trips-and-drop-outs,4.0,-1,Boulder,"V0 PG13",1,16,42.07986,-90.75198
"B - Gaston. Gastoff.","Centennial Park > Iowa",https://www.mountainproject.com/route/117290951/b-gaston-gastoff,4.0,-1,Boulder,V4-5,1,8,41.73703,-91.62431
"Benny Pump","Project boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/117331451/benny-pump,4.0,-1,Boulder,V6,1,15,42.07986,-90.75198
Entanglement,"Quantum Chromodynamics Area > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/113100332/entanglement,4.0,-1,Boulder,V3-4,1,10,42.08012,-90.75198
Jealous,"187 Crag > Ozark Wildlife Area > Iowa",https://www.mountainproject.com/route/113223161/jealous,3.5,-1,Boulder,V4+,1,20,42.19538,-90.8596
"Fire Escape","187 Crag > Ozark Wildlife Area > Iowa",https://www.mountainproject.com/route/113223327/fire-escape,3.3,-1,Boulder,V3,1,10,42.19538,-90.8596
"Entrance Exam","Freshman Boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/110576507/entrance-exam,3.2,-1,Boulder,V4,1,12,42.07986,-90.75198
"Hang Man","Bae Wall Boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/111213682/hang-man,3.3,-1,Boulder,V2,1,35,42.07986,-90.75198
"Side to Side","Razorblade Boulder > Pictured Rocks > Iowa",https://www.mountainproject.com/route/109664320/side-to-side,3.0,-1,Boulder,V2-3,1,15,42.2103,-91.10151
"Jack Lynx","Dip Boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/112304704/jack-lynx,3.0,-1,Boulder,V3,1,14,42.07991,-90.75205
"Speed Ascent of the Nose","Dip Boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/112304719/speed-ascent-of-the-nose,3.0,-1,Boulder,V2+,1,14,42.07991,-90.75205
"Unknown V3-4","Razorblade Boulder > Pictured Rocks > Iowa",https://www.mountainproject.com/route/108379109/unknown-v3-4,3.0,-1,Boulder,V3-4,1,10,42.2103,-91.10151
"Natural High","Morell boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/110561160/natural-high,3.0,-1,Boulder,V2,1,15,42.07986,-90.75198
"Adorned with thorns","Alcove boulder > Joinerville (bouldering only) > Iowa",https://www.mountainproject.com/route/110576323/adorned-with-thorns,3.0,-1,Boulder,V0,1,15,42.07986,-90.75198
