Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"White cracker","Rock City > Kansas",https://www.mountainproject.com/route/116675595/white-cracker,4.0,-1,Boulder,V0,1,10,39.09089,-97.73557
"A Crack House in Kansas","The crack house boulder > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/115165968/a-crack-house-in-kansas,4.0,-1,Boulder,"V5 PG13",1,18,37.27705,-95.77851
"the last puppy","rocky ridge > The Arboretum > Kansas",https://www.mountainproject.com/route/115144689/the-last-puppy,4.0,-1,Boulder,V3,1,10,38.79775,-94.6885
"I love you Saint Rose","West refuge wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114565578/i-love-you-saint-rose,4.0,-1,Boulder,V6+,1,35,38.23416,-94.94525
"The final line of this chapter...","A saints boulder > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567388/the-final-line-of-this-chapter,4.0,-1,Boulder,V6,1,25,38.2342,-94.94514
"“Old Homage”","Homage Wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114564970/old-homage,4.0,-1,Boulder,V6,1,18,38.2338,-94.94469
"President Chubby Direct","Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567269/president-chubby-direct,4.0,-1,Boulder,V3+,1,14,38.23408,-94.94565
"Double double undercling","Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567335/double-double-undercling,4.0,-1,Boulder,V3+,1,20,38.23408,-94.94565
"Juniors way","Juniors Slab > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114564628/juniors-way,4.0,-1,Boulder,V5+,1,18,38.23405,-94.94481
"Ticks, mosquitos, and snakes oh my","Homage Wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114565060/ticks-mosquitos-and-snakes-oh-my,4.0,-1,Boulder,V1+,1,28,38.2338,-94.94469
Jagged,"Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567303/jagged,4.0,-1,Boulder,V0,1,14,38.23408,-94.94565
Romage,"Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567288/romage,4.0,-1,Boulder,V0,1,14,38.23408,-94.94565
Chopstix,"Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567323/chopstix,4.0,-1,Boulder,V1+,1,20,38.23408,-94.94565
"Wheaties in the Wheat field","Killcreek > Kansas",https://www.mountainproject.com/route/114075804/wheaties-in-the-wheat-field,4.0,-1,Boulder,"V3-4 PG13",1,16,38.97762,-94.95652
"Dark alley rails","Dark alley > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114564528/dark-alley-rails,3.5,-1,Boulder,V2,1,18,38.23423,-94.94581
"Missourian Flake","Homage Wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114565030/missourian-flake,3.5,-1,Boulder,V0,1,8,38.2338,-94.94469
"Bouldering For Dummies","Bouldering for Dummies > The Arboretum > Kansas",https://www.mountainproject.com/route/115144290/bouldering-for-dummies,3.3,-1,Boulder,V2,1,13,38.79774,-94.6885
"I Hate Spiders","Southwest  Passage > The Arboretum > Kansas",https://www.mountainproject.com/route/115144578/i-hate-spiders,3.0,-1,Boulder,V2,1,18,38.79775,-94.6885
"Left Socket","Rock City > Kansas",https://www.mountainproject.com/route/116988794/left-socket,3.0,-1,Boulder,V1-2,1,12,39.09089,-97.73557
pho,"Southwest  Passage > The Arboretum > Kansas",https://www.mountainproject.com/route/115144698/pho,3.0,-1,Boulder,V4-,1,15,38.79775,-94.6885
"Golden Curry","Bouldering for Dummies > The Arboretum > Kansas",https://www.mountainproject.com/route/115144494/golden-curry,3.0,-1,Boulder,V2,1,13,38.79774,-94.6885
"Jam Boi","Bouldering for Dummies > The Arboretum > Kansas",https://www.mountainproject.com/route/115144339/jam-boi,3.0,-1,Boulder,V2,1,13,38.79774,-94.6885
Redemption,"rocky ridge > The Arboretum > Kansas",https://www.mountainproject.com/route/115144681/redemption,3.0,-1,Boulder,V3,1,12,38.79775,-94.6885
"Long legs and blonde hair...","Juniors Slab > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114564715/long-legs-and-blonde-hair,3.0,-1,Boulder,V3-,1,10,38.23405,-94.94481
"Farewell to Texas","West refuge wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567099/farewell-to-texas,3.0,-1,Boulder,V4+,1,18,38.23416,-94.94525
"Petpieve “nanny’s voice” talk through your mouth woman","Homage Wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114564856/petpieve-nannys-voice-talk-through-your-mouth-woman,3.0,-1,Boulder,V1,1,8,38.2338,-94.94469
"Homage of no understanding","Homage Wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114564884/homage-of-no-understanding,3.0,-1,Boulder,V3-4,1,11,38.2338,-94.94469
"New breath","A saints boulder > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567368/new-breath,3.0,-1,Boulder,V0,1,6,38.2342,-94.94514
"Top rail express","Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567342/top-rail-express,3.0,-1,Boulder,V1,1,20,38.23408,-94.94565
"An Indians indirect arete","Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567243/an-indians-indirect-arete,3.0,-1,Boulder,V1+,1,14,38.23408,-94.94565
"Of copper heads and brooms...","West refuge wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567040/of-copper-heads-and-brooms,3.0,-1,Boulder,V2,1,15,38.23416,-94.94525
"The strange gape...","West refuge wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114565660/the-strange-gape,3.0,-1,Boulder,V3,1,13,38.23416,-94.94525
"A rainy day gone good...","West refuge wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114565693/a-rainy-day-gone-good,3.0,-1,Boulder,V3+,1,16,38.23416,-94.94525
Traversified,"Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567212/traversified,3.0,-1,Boulder,V3+,1,18,38.23408,-94.94565
"Old gheezer","Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567313/old-gheezer,3.0,-1,Boulder,V1+,1,12,38.23408,-94.94565
"The Missourian","Homage Wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114565042/the-missourian,3.0,-1,Boulder,V1,1,12,38.2338,-94.94469
Scrutinies,"West refuge wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114565707/scrutinies,3.0,-1,Boulder,V3,1,12,38.23416,-94.94525
"Married in a month, say what?","West refuge wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567081/married-in-a-month-say-what,3.0,-1,Boulder,V1-2,1,14,38.23416,-94.94525
"Huevos Rancheros","Breakfast Boulder > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/118123683/huevos-rancheros,3.0,-1,Boulder,V1,1,8,37.27703,-95.77891
John-dito,"Lake Olathe > Kansas",https://www.mountainproject.com/route/115141018/john-dito,3.0,-1,Boulder,V4,1,10,38.88083,-94.87023
"Dodge City","Killcreek > Kansas",https://www.mountainproject.com/route/114075821/dodge-city,3.0,-1,Boulder,V5,1,15,38.97762,-94.95652
"Country Girls","Overlook Boulders > Cedar Bluff > Kansas",https://www.mountainproject.com/route/108093273/country-girls,3.0,-1,Boulder,V3,1,,38.7759,-99.8101
"Davey Jones' Mum","The Chossy Brice > Kansas",https://www.mountainproject.com/route/112443204/davey-jones-mum,3.0,-1,Boulder,"V0 PG13",1,20,38.97387,-95.23598
"lay down","The Reef > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/115192828/lay-down,3.0,-1,Boulder,V3,1,17,37.27755,-95.77877
"adiós mis dos dedos","the fall wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/115192892/adios-mis-dos-dedos,3.0,-1,Boulder,V4,1,19,37.27755,-95.77875
"Humble Beginnings","The Chossy Brice > Kansas",https://www.mountainproject.com/route/112443185/humble-beginnings,3.0,-1,Boulder,"V2- PG13",1,14,38.97387,-95.23598
Hidalgo,"Overlook Boulders > Cedar Bluff > Kansas",https://www.mountainproject.com/route/108093287/hidalgo,3.0,-1,Boulder,V2+,1,,38.7759,-99.8101
"The Cracken","My Orca Boulder > Elk City Lake North Shore Boulders > Kansas",https://www.mountainproject.com/route/112328572/the-cracken,3.0,-1,Boulder,V5,1,,37.26213,-95.81574
"The South Face","Central Riverside Park > Kansas",https://www.mountainproject.com/route/109956787/the-south-face,3.0,-1,Boulder,V4+,1,17,37.69811,-97.3466
"Toe Jam","Big Mac > Elk City Lake North Shore Boulders > Kansas",https://www.mountainproject.com/route/112329051/toe-jam,3.0,-1,Boulder,V3,1,,37.26179,-95.81455
"Better with Jam","Big Mac > Elk City Lake North Shore Boulders > Kansas",https://www.mountainproject.com/route/112329076/better-with-jam,3.0,-1,Boulder,V3,1,,37.26179,-95.81455
"Hookers to the Left","Broadway Boulder > Elk City Lake North Shore Boulders > Kansas",https://www.mountainproject.com/route/112329000/hookers-to-the-left,3.0,-1,Boulder,V3,1,,37.26204,-95.81531
"Son of a Beach","My Orca Boulder > Elk City Lake North Shore Boulders > Kansas",https://www.mountainproject.com/route/112328719/son-of-a-beach,3.0,-1,Boulder,V4,1,,37.26213,-95.81574
"Hookers to the Right","Broadway Boulder > Elk City Lake North Shore Boulders > Kansas",https://www.mountainproject.com/route/112329031/hookers-to-the-right,3.0,-1,Boulder,V3,1,,37.26204,-95.81531
Assent,"Rock City > Kansas",https://www.mountainproject.com/route/113627107/assent,2.6,-1,Boulder,V1,1,,39.09089,-97.73557
"Block Party","Bouldering for Dummies > The Arboretum > Kansas",https://www.mountainproject.com/route/115144217/block-party,2.8,-1,Boulder,V2,1,13,38.79774,-94.6885
"Chest Trap","Southwest  Passage > The Arboretum > Kansas",https://www.mountainproject.com/route/115144622/chest-trap,2.7,-1,Boulder,V3,1,20,38.79775,-94.6885
"I Like Turtles","Rock City > Kansas",https://www.mountainproject.com/route/110378459/i-like-turtles,2.4,-1,Boulder,V4,1,8,39.09089,-97.73557
"when i put my climbing shoes on i become like super man","Southwest  Passage > The Arboretum > Kansas",https://www.mountainproject.com/route/115144604/when-i-put-my-climbing-shoes-on-i-become-like-super-man,2.5,-1,Boulder,V3,1,20,38.79775,-94.6885
"A new chapter","A saints boulder > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567376/a-new-chapter,2.5,-1,Boulder,V0,1,8,38.2342,-94.94514
"Picking your big nose","Tall wall > St. Philippine Duchesne Park > Kansas",https://www.mountainproject.com/route/114567236/picking-your-big-nose,2.5,-1,Boulder,V3,1,8,38.23408,-94.94565
