Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"When Doves Cry","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107990173/when-doves-cry,3.8,-1,Boulder,V4,1,30,37.86342,-83.67403
Cyclops,"The Nest > River Bouldering > Kentucky",https://www.mountainproject.com/route/117133452/cyclops,4.0,-1,Boulder,V4,1,20,37.58309,-86.46238
"Stand and Deliver","Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/118133311/stand-and-deliver,4.0,-1,Boulder,V1-2,1,,37.09024,-86.61742
"Jack's Classic","Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/118133283/jacks-classic,4.0,-1,Boulder,V3-4,1,9,37.09024,-86.61742
"Edge of Infinity","Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/118133585/edge-of-infinity,4.0,-1,Boulder,"V5 PG13",1,13,37.09024,-86.61742
"Infinity Johnson","Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/118133559/infinity-johnson,4.0,-1,Boulder,V6,1,,37.09024,-86.61742
"Buck Shot","The Nest > River Bouldering > Kentucky",https://www.mountainproject.com/route/117243199/buck-shot,4.0,-1,Boulder,V2,1,10,37.58309,-86.46238
"Puppet Master","Manhattan > River Bouldering > Kentucky",https://www.mountainproject.com/route/117126024/puppet-master,4.0,-1,Boulder,V9-10,1,30,36.89573,-86.40585
"Full Moon","Manhattan > River Bouldering > Kentucky",https://www.mountainproject.com/route/117125980/full-moon,4.0,-1,Boulder,V5,1,20,36.89573,-86.40585
"I'm here, You're there","Manhattan > River Bouldering > Kentucky",https://www.mountainproject.com/route/117125995/im-here-youre-there,4.0,-1,Boulder,V4,1,25,36.89573,-86.40585
"Sugar High","The Heights > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105883494/sugar-high,4.0,-1,Boulder,V2,1,15,37.7967,-83.6573
Dreams,"Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868107/dreams,3.6,-1,Boulder,V3+,1,15,37.86342,-83.67403
Horsefly,"Shallow Boulder > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110993297/horsefly,3.5,-1,Boulder,"V2-3 PG13",1,25,37.8271,-83.59884
"The Jump","Pilot Rock > Western Kentucky > Kentucky",https://www.mountainproject.com/route/105869637/the-jump,3.5,-1,Boulder,"V-easy X",1,10,37.1056,-87.6566
Werewolf,"Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/117257156/werewolf,3.5,-1,Boulder,V7,1,13,37.09024,-86.61742
"Ghetto Methods","The Cove > Red River Gorge > Kentucky",https://www.mountainproject.com/route/118064022/ghetto-methods,3.5,-1,Boulder,V10,1,,37.81801,-83.67414
"Now I'm Nothing","Long Wall > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868029/now-im-nothing,3.1,-1,"Trad, TR, Boulder","5.11c V3 X",1,20,37.8446,-83.6686
"Maizy Mae","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106298809/maizy-mae,2.8,-1,"Sport, Boulder","5.13a V6",1,25,37.65292,-83.72495
"The Pearl","Eastern Sky Bridge Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106837482/the-pearl,3.0,-1,Boulder,V5,1,10,37.81596,-83.58104
"Ro Shamlo","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/112895232/ro-shamlo,3.0,-1,Boulder,V5-,1,8,37.7334,-83.6591
"Shark Tooth","The Nest > River Bouldering > Kentucky",https://www.mountainproject.com/route/117063243/shark-tooth,3.0,-1,Boulder,V3,1,10,37.58309,-86.46238
Introduction,"Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/118133404/introduction,3.0,-1,Boulder,V1-2,1,8,37.09024,-86.61742
"Ava's Sister","Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/118133380/avas-sister,3.0,-1,Boulder,V2,1,,37.09024,-86.61742
"Mini Truck Mobbin","Clifty Hollow > Western Kentucky > Kentucky",https://www.mountainproject.com/route/118133357/mini-truck-mobbin,3.0,-1,Boulder,V3-4,1,8,37.09024,-86.61742
"Covert Methods","The Cove > Red River Gorge > Kentucky",https://www.mountainproject.com/route/118064117/covert-methods,3.0,-1,Boulder,V10,1,,37.81801,-83.67414
"Cant Get Fooled Again","Global Village > Red River Gorge > Kentucky",https://www.mountainproject.com/route/117021831/cant-get-fooled-again,3.0,-1,Boulder,V4,1,15,37.75162,-83.65731
"Destruction Of My Ass","Solar Collector/Gold Coast > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114181716/destruction-of-my-ass,3.0,-1,Boulder,V1,1,,37.6775,-83.73409
"Shark Tooth Left","The Nest > River Bouldering > Kentucky",https://www.mountainproject.com/route/117063282/shark-tooth-left,3.0,-1,Boulder,V5,1,13,37.58309,-86.46238
