Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Prow (aka ""Shark's Tooth""- right and/or ""Lip Traverse""- right))","Canada Cliff Boulder > Canada Cliff > Acadia National Park > Maine",https://www.mountainproject.com/route/112103427/the-prow-aka-sharks-tooth-right-andor-lip-traverse-right,4.0,-1,Boulder,V4,1,10,44.31035,-68.33669
Purity,"Beech Cliff Bouldering > -MDI Bouldering > Acadia National Park > Maine",https://www.mountainproject.com/route/112134536/purity,3.7,-1,Boulder,V3-4,1,15,44.31553,-68.3438
Mammoth,"Canada Cliff Boulder > Canada Cliff > Acadia National Park > Maine",https://www.mountainproject.com/route/112135628/mammoth,4.0,-1,Boulder,"V5 R",1,22,44.31035,-68.33669
"Halfway Prince","Mt Philips > Belgrade Lakes Bouldering > g. Capital Region > Maine",https://www.mountainproject.com/route/108812341/halfway-prince,4.0,-1,Boulder,V5,1,12,44.58695,-69.88698
"Diamond Bollocks","The Lodestone > Bradbury Mountain State Park (CLOSED to Climbing Oct '17) > c. Greater Portland > Maine",https://www.mountainproject.com/route/106906511/diamond-bollocks,4.0,-1,Boulder,V8,1,20,43.90018,-70.1795
"Silence is the Question","Beech Cliff Bouldering > -MDI Bouldering > Acadia National Park > Maine",https://www.mountainproject.com/route/112134474/silence-is-the-question,4.0,-1,Boulder,V8-9,1,20,44.31553,-68.3438
"Margin Walker","Twitchell Pond > a. Western Mountains > Maine",https://www.mountainproject.com/route/107034438/margin-walker,4.0,-1,Boulder,V10,1,10,44.35723,-70.68142
Project,"Twitchell Pond > a. Western Mountains > Maine",https://www.mountainproject.com/route/107034442/project,4.0,-1,Boulder,V10-11,1,12,44.35723,-70.68142
SCTTB,"Mt Philips > Belgrade Lakes Bouldering > g. Capital Region > Maine",https://www.mountainproject.com/route/108812387/scttb,4.0,-1,Boulder,V5,1,15,44.58695,-69.88698
"What Happened to Shawn Kingston?","Hedge Hall > Bates College Campus > Lewiston-Auburn Buildering > g. Capital Region > Maine",https://www.mountainproject.com/route/111810190/what-happened-to-shawn-kingston,4.0,-1,Boulder,V4,1,15,44.10593,-70.20334
"Loose Lips","Pemaquid Point bouldering > d. Midcoast > Maine",https://www.mountainproject.com/route/110248077/loose-lips,4.0,-1,Boulder,V2,1,,43.85538,-69.44044
Vulcan,"Vulcan Area > Bradbury Mountain State Park (CLOSED to Climbing Oct '17) > c. Greater Portland > Maine",https://www.mountainproject.com/route/107325473/vulcan,4.0,-1,Boulder,V5+,1,12,43.90018,-70.1795
"With My Woes","Hedge Hall > Bates College Campus > Lewiston-Auburn Buildering > g. Capital Region > Maine",https://www.mountainproject.com/route/111810170/with-my-woes,4.0,-1,Boulder,V4,1,30,44.10593,-70.20334
"Skull Cap","The Hueco Boulder > Nubble Lighthouse > b. Southern Coast > Maine",https://www.mountainproject.com/route/106664038/skull-cap,4.0,-1,Boulder,V3,1,10,43.1649,-70.5932
"Stuck In The Ocean","Monument Cove > -MDI Bouldering > Acadia National Park > Maine",https://www.mountainproject.com/route/113394269/stuck-in-the-ocean,3.8,-1,Boulder,V6,1,10,44.31795,-68.19002
Heaven,"The Cornerstone > Bradbury Mountain State Park (CLOSED to Climbing Oct '17) > c. Greater Portland > Maine",https://www.mountainproject.com/route/106838229/heaven,4.0,-1,Boulder,"V3-4 PG13",1,20,43.90018,-70.1795
"Shattered Glass","Boulder Field > Bear Mountain Cliff > a. Western Mountains > Maine",https://www.mountainproject.com/route/114432912/shattered-glass,4.0,-1,Boulder,V7,1,12,44.1552,-70.71235
"Seams Easy","Talus Field > French Mountain > Belgrade Lakes Bouldering > g. Capital Region > Maine",https://www.mountainproject.com/route/116985305/seams-easy,4.0,-1,Boulder,V5-6,1,14,44.57186,-69.9161
"The Coffin","Coffin Boulder Sector > South Freeport Boulders > c. Greater Portland > Maine",https://www.mountainproject.com/route/117562783/the-coffin,4.0,-1,Boulder,"V7 PG13",1,9,43.82521,-70.11292
"Grimas De Oro","Shagg Crag > Maine",https://www.mountainproject.com/route/107399177/grimas-de-oro,4.0,-1,Boulder,V8,1,15,44.4237,-70.5309
