Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Belly","Cliff Trail Boulders > Cunningham Falls State Park > Maryland",https://www.mountainproject.com/route/112364748/the-belly,3.7,-1,Boulder,V5,1,,39.62949,-77.46808
Vasectomy,"Cliff Trail Boulders > Cunningham Falls State Park > Maryland",https://www.mountainproject.com/route/112364775/vasectomy,3.6,-1,Boulder,V3,1,,39.62949,-77.46808
"Big Dipper","Highlands > Harper's Ferry > Maryland",https://www.mountainproject.com/route/109745409/big-dipper,3.7,-1,Boulder,V3,1,20,39.32602,-77.7205
"The Iron Pickle","Highlands > Harper's Ferry > Maryland",https://www.mountainproject.com/route/109745476/the-iron-pickle,4.0,-1,Boulder,"V4 R",1,25,39.32602,-77.7205
"Underground Railroad","Underground Railroad Overhang > Harper's Ferry > Maryland",https://www.mountainproject.com/route/108863269/underground-railroad,4.0,-1,Boulder,V7,1,25,39.32477,-77.7228
"Dirty Hooker","Balcony Rock Boulders > Harper's Ferry > Maryland",https://www.mountainproject.com/route/108860521/dirty-hooker,3.8,-1,Boulder,V4-,1,10,39.32488,-77.71774
"Crystal Crusade","Streamside > Morgan Run NEA > Maryland",https://www.mountainproject.com/route/112400396/crystal-crusade,4.0,-1,Boulder,V7,1,,39.46695,-76.96996
"Isaac Smith Arete","The Tiers > Harper's Ferry > Maryland",https://www.mountainproject.com/route/108891411/isaac-smith-arete,4.0,-1,Boulder,"V2-3 R",1,15,39.3245,-77.7204
"A Walnuts Journey","Giggling Boulders > Harper's Ferry > Maryland",https://www.mountainproject.com/route/111068305/a-walnuts-journey,4.0,-1,Boulder,V5,1,10,39.31929,-77.73584
"Tennessee Stud","Underground Railroad Overhang > Harper's Ferry > Maryland",https://www.mountainproject.com/route/108863477/tennessee-stud,4.0,-1,Boulder,V5-6,1,25,39.32477,-77.7228
"Crayon Car Direct","Jam Boulder > Levitation Boulders > Patapsco State Park > Maryland",https://www.mountainproject.com/route/117738005/crayon-car-direct,4.0,-1,Boulder,V5,1,20,39.36141,-76.96373
"Carderock Low Traverse","Outlook Rocks > Carderock > Maryland",https://www.mountainproject.com/route/111395230/carderock-low-traverse,4.0,-1,Boulder,V5,1,500,38.97605,-77.20651
"Diesel Power","Cliff Trail Boulders > Cunningham Falls State Park > Maryland",https://www.mountainproject.com/route/117890131/diesel-power,4.0,-1,Boulder,V4,1,,39.62949,-77.46808
"Residence Inn","The Fox's Den > Little Gunpowder Boulders > Maryland",https://www.mountainproject.com/route/116705069/residence-inn,4.0,-1,Boulder,"V3-4 PG13",1,15,39.486,-76.43049
