Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Hermit's Cave","Hermit's Cave > Hermit's Cave Area > Temple Area > Hammond Pond > Massachusetts",https://www.mountainproject.com/route/108151518/hermits-cave,3.6,-1,Boulder,V3-4,1,8,42.32694,-71.17807
"Bear Grease","Bob Johnson Boulder  1 > Bob Johnson Crag > Stone Tower Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106951986/bear-grease,3.7,-1,Boulder,V1,1,18,42.4923,-70.98896
"Hepatitis (originally submitted & previously published as Hepatitus)","Pusherman Wall > Temple Area > Hammond Pond > Massachusetts",https://www.mountainproject.com/route/106848189/hepatitis-originally-submitted-previously-published-as-hepatitus,3.6,-1,"TR, Boulder","5.12 V5",1,15,42.32665,-71.17776
"D. Dog Leg Crack (SDS)","Weetamoo Boulder > Weetamoo Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106908994/d-dog-leg-crack-sds,3.7,-1,Boulder,V6+,1,18,42.4988,-70.99573
Guillotine,"The Tombstone Crag > Weetamoo Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106941515/guillotine,4.0,-1,Boulder,V3,1,14,42.49844,-70.99363
"Green Haze","Stone Tower Boulder > Stone Tower Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106906062/green-haze,3.9,-1,Boulder,V7+,1,,42.49079,-70.98626
"Holly the Happy Heel Hooker","Slant Right Boulder > Stone Tower Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106952022/holly-the-happy-heel-hooker,3.3,-1,Boulder,V3+,1,12,42.49055,-70.98296
Pipefitter,"Pipefitter Boulder > Golf Course Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106914987/pipefitter,3.8,-1,Boulder,V3,1,13,42.4892,-70.9765
"Stone Warrior (AKA Fist Fucker)","Stone Tower Boulder > Stone Tower Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106906051/stone-warrior-aka-fist-fucker,3.3,-1,Boulder,V5,1,,42.49079,-70.98626
"The Buttermilker","Stone Tower Boulder > Stone Tower Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106906020/the-buttermilker,3.8,-1,Boulder,V7,1,15,42.49079,-70.98626
Bloodsport,"The Bloodsport Boulder > Milford Bouldering > Massachusetts",https://www.mountainproject.com/route/106533800/bloodsport,4.0,-1,Boulder,V7,1,,42.16328,-71.50245
"The Sleeping Giant","Sleeping Giant Boulder > The Happy Valley > Happy Valley and The Hideaway > Massachusetts",https://www.mountainproject.com/route/108541054/the-sleeping-giant,4.0,-1,Boulder,V5,1,17,44.49892,-77.62919
"The Compactor","Trashcan Boulder > Ayer Boulders > Massachusetts",https://www.mountainproject.com/route/111463220/the-compactor,4.0,-1,Boulder,V9,1,15,42.5698,-71.5685
"Freedom from Addiction","14th Hole Boulder > Golf Course Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106982945/freedom-from-addiction,4.0,-1,Boulder,V5,1,13,42.48876,-70.97915
Subway,"Stone Tower Boulder > Stone Tower Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/114793072/subway,3.6,-1,Boulder,V3,1,12,42.49079,-70.98626
"Natural Selection","Elephant Boulder > Weetamoo Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/106907992/natural-selection,4.0,-1,Boulder,V8-,1,15,42.49968,-70.9956
"Plumb Line","Swamp 2 Boulders > The Great Swamp Boulders > Mount Jacob Boulders > Tompson St. Reservation > Cape Ann > Massachusetts",https://www.mountainproject.com/route/107883096/plumb-line,3.8,-1,Boulder,V4,1,16,42.64082,-70.71555
"Total Recall","Trailside Boulder 2 > East Side > Dyke's Pond (Gloucester) > Cape Ann > Massachusetts",https://www.mountainproject.com/route/108128992/total-recall,3.8,-1,Boulder,V4+,1,14,42.60741,-70.7216
