Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Mas Guacamole","Cabo San Lucas > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/106182198/mas-guacamole,4.0,-1,Boulder,V5-6,1,10,22.8897,-109.9156
project,"Cabo San Lucas > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/106182210/project,4.0,-1,Boulder,V7+,1,22,22.8897,-109.9156
"proj 2","Cabo San Lucas > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/106182224/proj-2,4.0,-1,Boulder,V9+,1,22,22.8897,-109.9156
"Oro Purfecto","Playa Pedregal > Playa Pedregal y Fin de Tierras > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/112470611/oro-purfecto,4.0,-1,Boulder,V6,1,,22.87238,-109.92891
"Impossible in Denim","Cheaters Cove (aka Hidden Cove) > Playa Pedregal y Fin de Tierras > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/113510769/impossible-in-denim,4.0,-1,Boulder,V10,1,15,22.87493,-109.8995
Zika,"Sector Epidemia > Ticul > Southern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/116357403/zika,4.0,-1,Boulder,V3,1,,20.39973,-89.56616
"Surf's Not Up","Playa Acapulquito Bluffs (Old Man's) > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/107953330/surfs-not-up,4.0,-1,Boulder,V2,1,30,23.0222,-109.7162
"Sons of the Most High","La Popa Bouldering > La Popa > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/111628562/sons-of-the-most-high,4.0,-1,Boulder,V4,1,30,26.136,-100.72014
Plutonia,"Plutonia Cave > El Toro (The Front Side) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/111724548/plutonia,3.8,-1,Boulder,V8,1,15,25.949,-100.477
"El Seis","Plutonia Cave > El Toro (The Front Side) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/110086008/el-seis,3.3,-1,Boulder,V6,1,30,25.949,-100.477
"Latvian Mistress","Split Boulder > Beach Boulders > La Poza > Todos Santos > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/110220333/latvian-mistress,3.5,-1,Boulder,"V3 PG13",1,10,23.4348,-110.237
"Chico Corto","Low-Boy > Beach Boulders > La Poza > Todos Santos > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/110220185/chico-corto,3.0,-1,Boulder,"V2+ PG13",1,6,23.4348,-110.237
1984,"La Popa Bouldering > La Popa > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/116622248/1984,3.0,-1,Boulder,V3,1,20,26.136,-100.72014
"Los Conchos","Cheaters Cove (aka Hidden Cove) > Playa Pedregal y Fin de Tierras > Baja California Sur > Mexico > North America > International",https://www.mountainproject.com/route/112470502/los-conchos,3.0,-1,Boulder,V4,1,12,22.87493,-109.8995
"Damn You, Sharktopus!","Gonzaga Bay - Oasis > Baja California > Mexico > North America > International",https://www.mountainproject.com/route/114185274/damn-you-sharktopus,3.0,-1,Boulder,V2,1,15,29.67283,-114.28145
Chikunguya,"Sector Epidemia > Ticul > Southern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/116357422/chikunguya,3.0,-1,Boulder,V3,1,,20.39973,-89.56616
Asesinobacter,"Sector Epidemia > Ticul > Southern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/116357363/asesinobacter,3.0,-1,Boulder,V5,1,,20.39973,-89.56616
