Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Enigma,"Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106176383/enigma,4.0,-1,Boulder,V6,1,12,42.75784,-84.75339
"The Traverse","Black Rocks > Presque Isle > Marquette > Michigan",https://www.mountainproject.com/route/106656079/the-traverse,4.0,-1,Boulder,V6,1,20,46.59043,-87.37703
"Ballerina Direct","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/116635858/ballerina-direct,4.0,-1,Boulder,V5,1,,42.75784,-84.75339
"The Scoup Low","Rum Runner's Cove > Wetmore Beach > Marquette > Michigan",https://www.mountainproject.com/route/117642289/the-scoup-low,4.0,-1,Boulder,V6,1,14,46.60925,-87.45318
"steam tower ladder","Kalamazoo Buildering > Michigan",https://www.mountainproject.com/route/106682056/steam-tower-ladder,4.0,-1,Boulder,V0-1,1,30,42.2921,-85.5873
"The Finger Crack","Hogback Mountain > Marquette > Michigan",https://www.mountainproject.com/route/106610228/the-finger-crack,4.0,-1,"Trad, TR, Boulder",V3-,1,15,46.60276,-87.49214
Bourgeois,"The Beyond > Wetmore Beach > Marquette > Michigan",https://www.mountainproject.com/route/117055674/bourgeois,4.0,-1,Boulder,V5-6,1,10,46.61817,-87.46428
"The Rail Project","Pathway Palisades > Harlow Lake Pathway > Marquette > Michigan",https://www.mountainproject.com/route/117842749/the-rail-project,4.0,-1,Boulder,V7+,1,25,46.6153,-87.47179
"The Burbot","Rum Runner's Cove > Wetmore Beach > Marquette > Michigan",https://www.mountainproject.com/route/117552259/the-burbot,4.0,-1,Boulder,V4,1,18,46.60925,-87.45318
"Top Notch","Top Boulder > The Sand Lot > Harlow Lake Pathway > Marquette > Michigan",https://www.mountainproject.com/route/117809718/top-notch,4.0,-1,Boulder,V2,1,12,46.61377,-87.47307
"One Move Wonder","One Move Wonder Slab > Harlow Lake Pathway > Marquette > Michigan",https://www.mountainproject.com/route/117872512/one-move-wonder,4.0,-1,Boulder,V2,1,25,46.61375,-87.47085
"Disco Lemonade","Slugg's Bluff (Palmer) > Marquette > Michigan",https://www.mountainproject.com/route/117781857/disco-lemonade,4.0,-1,Boulder,V4,1,15,46.4444,-87.5705
"Banana Splitter","Dinning Hall > Harlow Lake Pathway > Marquette > Michigan",https://www.mountainproject.com/route/117872388/banana-splitter,4.0,-1,Boulder,V0,1,16,46.61401,-87.47051
"Classic Crack","The sand lot slab > The Sand Lot > Harlow Lake Pathway > Marquette > Michigan",https://www.mountainproject.com/route/106429739/classic-crack,4.0,-1,Boulder,V0,1,,46.61371,-87.47306
"The Trick","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106208071/the-trick,3.6,-1,Boulder,V3,1,12,42.75784,-84.75339
"Perpetual Motion Machine","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/115961017/perpetual-motion-machine,3.5,-1,Boulder,V7-8,1,20,42.75784,-84.75339
