Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Warm-Up Slab","Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/105890046/warm-up-slab,3.6,-1,Boulder,V0-1,1,,47.4031,-91.1637
"Best Boulder in Minnesota","Eldon > Sandstone Bouldering > Sandstone > Minnesota",https://www.mountainproject.com/route/109513951/best-boulder-in-minnesota,3.7,-1,Boulder,V5,1,15,46.13257,-92.85603
"The Prow","Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/106399634/the-prow,3.3,-1,Boulder,V3,1,12,47.4031,-91.1637
"Counselor Moon","Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/105889605/counselor-moon,4.0,-1,Boulder,V7+,1,15,47.4031,-91.1637
"The Woodpecker","Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/107312342/the-woodpecker,4.0,-1,Boulder,V7-8,1,15,47.4031,-91.1637
"B2 Bomber","The Boonyards aka The B2 Pit > Minnesota Side Bouldering > Interstate State Park Bouldering > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/106434872/b2-bomber,3.4,-1,Boulder,V4,1,14,45.39925,-92.65138
Payback,"Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/105889612/payback,3.8,-1,Boulder,V7,1,,47.4031,-91.1637
"Lukewarm Persistance","Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/105889620/lukewarm-persistance,3.7,-1,Boulder,V7,1,,47.4031,-91.1637
"Invisible Touch","Eldon > Sandstone Bouldering > Sandstone > Minnesota",https://www.mountainproject.com/route/109513995/invisible-touch,4.0,-1,Boulder,V8,1,,46.13257,-92.85603
"Lunge or Plunge","Pot Holes  Area > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105848948/lunge-or-plunge,3.9,-1,"Trad, TR, Boulder","5.12- V4",1,,45.39899,-92.6512
Twinkletoes,"The Pit > Minnesota Side Bouldering > Interstate State Park Bouldering > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/106390482/twinkletoes,3.4,-1,Boulder,V3-4,1,12,45.39925,-92.65138
"Fancy Dancer","Road Weary wall > Porcupine Crag > Spirit Mountain boulders > Duluth Bouldering > Duluth Rock Climbs > Duluth Area (Rock and Ice) > Minnesota",https://www.mountainproject.com/route/106759887/fancy-dancer,3.9,-1,Boulder,V4,1,18,46.6856,-92.229
"Double Rainbow","Bluff Boulder > Ely's Peak Bouldering > Duluth Bouldering > Duluth Rock Climbs > Duluth Area (Rock and Ice) > Minnesota",https://www.mountainproject.com/route/107728266/double-rainbow,3.5,-1,Boulder,V2,1,,46.68034,-92.25546
"Friction Fighter","North Little Foxx > Little Foxx Canyon > Duluth Bouldering > Duluth Rock Climbs > Duluth Area (Rock and Ice) > Minnesota",https://www.mountainproject.com/route/106217749/friction-fighter,3.6,-1,Boulder,"V4 PG13",1,20,46.7614,-92.1726
"The Raven","Eldon > Sandstone Bouldering > Sandstone > Minnesota",https://www.mountainproject.com/route/109514102/the-raven,4.0,-1,Boulder,V11-12,1,12,46.13257,-92.85603
"Chump Unknown","First Street Boulder > Duluth Bouldering > Duluth Rock Climbs > Duluth Area (Rock and Ice) > Minnesota",https://www.mountainproject.com/route/106198233/chump-unknown,3.6,-1,Boulder,V4-5,1,15,46.77375,-92.11828
Foreplay,"Picnic Rock > Sawmill Creek Dome > Minnesota",https://www.mountainproject.com/route/106233846/foreplay,4.0,-1,Boulder,V9-,1,15,47.4031,-91.1637
"Escaping the Habit of Living","Passion Pit > Spirit Mountain boulders > Duluth Bouldering > Duluth Rock Climbs > Duluth Area (Rock and Ice) > Minnesota",https://www.mountainproject.com/route/106726160/escaping-the-habit-of-living,4.0,-1,Boulder,V7-8,1,20,46.6857,-92.2288
XMen,"Lower Wall > Piedmont roadside boulders > Duluth Bouldering > Duluth Rock Climbs > Duluth Area (Rock and Ice) > Minnesota",https://www.mountainproject.com/route/106268314/xmen,3.3,-1,Boulder,V2-3,1,12,46.9951,-92.089
"Genetic Control","Sizzlefoot Wall > Minnesota Side Bouldering > Interstate State Park Bouldering > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/106434184/genetic-control,3.8,-1,"TR, Boulder","V7-8 R",1,20,45.39882,-92.65149
