Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Smoke,"D: The Porch > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/112442238/smoke,4.0,-1,Boulder,V4,1,,37.65465,-90.68761
"Jabba the Hut","The Sunny Side > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/111424902/jabba-the-hut,3.6,-1,Boulder,V4,1,,36.96486,-92.93819
"Airbags and Crashpads","Dutzow Boulder > EM: Dutzow - Utopia > Missouri",https://www.mountainproject.com/route/114167997/airbags-and-crashpads,4.0,-1,Boulder,V5,1,,38.59818,-90.99526
"The Tennishoe Crack","A: Picnic Area > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/106734179/the-tennishoe-crack,3.3,-1,Boulder,V0,1,,37.65213,-90.68889
"Natural D's","The Future Cave > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/116179411/natural-ds,4.0,-1,Boulder,V7,1,40,36.96376,-92.94017
"Last Picnic","A: Picnic Area > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/116155295/last-picnic,4.0,-1,Boulder,V6,1,,37.65213,-90.68889
"Gill Crack","E: Gill Boulder > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/112465202/gill-crack,4.0,-1,Boulder,"V4 PG13",1,25,37.65478,-90.6879
Turtlehead,"Turtle Head > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/111610506/turtlehead,3.7,-1,Boulder,V7,1,,36.96363,-92.9366
"The Nemesis","The Future Cave > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/116181047/the-nemesis,4.0,-1,Boulder,V8,1,40,36.96376,-92.94017
"Black Mamba","Wudchuk Boulders > Swope Park Bouldering > WM: Swope & Blue River Limestone > Missouri",https://www.mountainproject.com/route/107834566/black-mamba,4.0,-1,Boulder,V1,1,,38.9869,-94.5143
"No Way Out","G: North Mountain > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/112422559/no-way-out,4.0,-1,"TR, Boulder",V3,1,,37.65531,-90.68849
Inamorata,"The Sunny Side > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/111609561/inamorata,4.0,-1,Boulder,V9,1,,36.96486,-92.93819
"Back Bend","Trail Boulders > Eastside Wudchuk Boulders > Swope Park Bouldering > WM: Swope & Blue River Limestone > Missouri",https://www.mountainproject.com/route/107930637/back-bend,4.0,-1,Boulder,V2,1,,38.985,-94.5062
Softball,"Softball > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/111609764/softball,4.0,-1,Boulder,V6,1,,36.96515,-92.93916
"Scary Mary","F: The Herd and The Den > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/117076887/scary-mary,4.0,-1,Boulder,V5,1,16,37.65468,-90.68868
Groove,"Jazz Boulder > River left > The Secret Valley of Amidon > EM: Amidon > Missouri",https://www.mountainproject.com/route/116661362/groove,4.0,-1,Boulder,V0,1,18,37.56648,-90.14925
"Dog Wood 11b (Sit start 1), 12b (sit start 2), 10b (standing start)","B: High Ball Wall > South Wall Area > CM: Hermann Roadside Park > Missouri",https://www.mountainproject.com/route/116630675/dog-wood-11b-sit-start-1-12b-sit-start-2-10b-standing-start,4.0,-1,"Sport, Boulder",V1,1,40,38.67862,-91.43727
"Mono y Mono","Wave Roof > H: North End Boulders > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/116603449/mono-y-mono,4.0,-1,Boulder,V1,1,18,38.01368,-90.62255
"Snail Trail Sit","WM: The Dump > Missouri",https://www.mountainproject.com/route/115443503/snail-trail-sit,4.0,-1,Boulder,"V7 R",1,15,38.87581,-94.58269
"Cry No More","The Crying Shame Boulder > Mooner's Hollow West Loop Trail > B: Park Boulders > EM: St. Francois State Park > Missouri",https://www.mountainproject.com/route/116568346/cry-no-more,4.0,-1,Boulder,V0+,1,10,37.97315,-90.53358
Tablecloth,"A: Picnic Area > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/106732855/tablecloth,4.0,-1,Boulder,V9-10,1,,37.65213,-90.68889
EcoLiberator,"EcoLiberator Area > Swope Boulders > Swope Park Bouldering > WM: Swope & Blue River Limestone > Missouri",https://www.mountainproject.com/route/116981619/ecoliberator,4.0,-1,Boulder,V6,1,10,38.97855,-94.53744
"Cave Area","Creek-Side Bouldering > Fireman's Memorial Boulders > Swope Park Bouldering > WM: Swope & Blue River Limestone > Missouri",https://www.mountainproject.com/route/107861985/cave-area,4.0,-1,Boulder,"V5-6 R",1,,38.97,-94.5368
Pockets,"WM: Shadow Rock Park DWS > Missouri",https://www.mountainproject.com/route/114191575/pockets,4.0,-1,"Sport, Boulder","5.13a V7",1,25,36.6847,-93.10628
"Dirty Mouth","WM: Cave Hollow > Missouri",https://www.mountainproject.com/route/111657127/dirty-mouth,4.0,-1,Boulder,V4,1,12,38.7691,-93.7607
"Muggy Situation","The Sunny Side > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/111609655/muggy-situation,4.0,-1,Boulder,V2,1,,36.96486,-92.93819
"Jim would be Proud","Devil's Den Area > EM: Dutzow - Utopia > Missouri",https://www.mountainproject.com/route/111830256/jim-would-be-proud,4.0,-1,Boulder,V3+,1,15,38.5983,-90.99513
"New Beginning","Lower Wall Boulders > EM: Johnson Shut-Ins > Missouri",https://www.mountainproject.com/route/111465705/new-beginning,4.0,-1,Boulder,V3-4,1,12,37.5378,-90.83712
"Castor Blastor","Castor Blaster Wall > EM: Amidon > Missouri",https://www.mountainproject.com/route/112914333/castor-blastor,4.0,-1,Boulder,V2-3,1,,37.56917,-90.15057
"Sitting Stoned","H: Northern Exposure > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/112422581/sitting-stoned,4.0,-1,Boulder,V0-,1,,37.65501,-90.68735
"Middle Traverse","Main Area > CM: Capen Park > Missouri",https://www.mountainproject.com/route/113115923/middle-traverse,4.0,-1,Boulder,V1-2,1,,38.93033,-92.32067
"Bliss Jump","The Sunny Side > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/111609638/bliss-jump,4.0,-1,Boulder,V6,1,,36.96486,-92.93819
"Blue Suede","Downstairs Back Wall > Upper Limits (Original Location) > ZM: Indoor Walls > Missouri",https://www.mountainproject.com/route/112817459/blue-suede,4.0,-1,Boulder,V4+,1,12,38.6266,-90.21142
"Arborist Left","West Bouldering > WM: Monegaw Springs > Missouri",https://www.mountainproject.com/route/117939334/arborist-left,4.0,-1,Boulder,V4,1,,38.02641,-93.85002
"Invincible Fortress","Boiling Springs > CM: Paddy Creek Wilderness > Missouri",https://www.mountainproject.com/route/117967215/invincible-fortress,4.0,-1,Boulder,"V5-6 R",1,,37.46179,-91.98933
"Mulligan Arete","Golden Eye Area > CM: Paddy Creek Wilderness > Missouri",https://www.mountainproject.com/route/117967338/mulligan-arete,4.0,-1,Boulder,V6,1,,37.5529,-92.06752
"Arborist Right","West Bouldering > WM: Monegaw Springs > Missouri",https://www.mountainproject.com/route/117939323/arborist-right,4.0,-1,Boulder,V7,1,,38.02641,-93.85002
"Golden Eye","Golden Eye Area > CM: Paddy Creek Wilderness > Missouri",https://www.mountainproject.com/route/117967326/golden-eye,4.0,-1,Boulder,V9,1,,37.5529,-92.06752
Success,"Boiling Springs > CM: Paddy Creek Wilderness > Missouri",https://www.mountainproject.com/route/117966572/success,4.0,-1,Boulder,V9,1,12,37.46179,-91.98933
Sterno,"A: Picnic Area > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/106329002/sterno,2.9,-1,Boulder,V4,1,7,37.65213,-90.68889
Barndoor,"F: The Herd and The Den > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/116971464/barndoor,3.7,-1,Boulder,V4,1,8,37.65468,-90.68868
"Ring Bearer","Slab > Swope Boulders > Swope Park Bouldering > WM: Swope & Blue River Limestone > Missouri",https://www.mountainproject.com/route/107861899/ring-bearer,3.3,-1,Boulder,V6,1,,38.9781,-94.5374
"The Layback Crack","D: The Porch > EM: Elephant Rocks State Park > Missouri",https://www.mountainproject.com/route/112438001/the-layback-crack,3.0,-1,Boulder,V1,1,,37.65465,-90.68761
"Fox Hollow Roof","Fox Hollow Trail > Swope Park Bouldering > WM: Swope & Blue River Limestone > Missouri",https://www.mountainproject.com/route/107930699/fox-hollow-roof,3.5,-1,Boulder,V4,1,,38.9947,-94.5306
"Pistol Grip Pump","The Future Cave > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/116174193/pistol-grip-pump,3.3,-1,Boulder,V5,1,20,36.96376,-92.94017
"Full Bodied","Dutzow Boulder > EM: Dutzow - Utopia > Missouri",https://www.mountainproject.com/route/114300213/full-bodied,3.5,-1,Boulder,V4-5,1,15,38.59818,-90.99526
"Turtle of the Night","Turtle Head > SW: Peter's Branch > Missouri",https://www.mountainproject.com/route/114276511/turtle-of-the-night,3.5,-1,Boulder,V8,1,,36.96363,-92.9366
