Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Duke","John Wayne Boulder > Clearcut Boulders > Lost Horse > Northwest Region > Montana",https://www.mountainproject.com/route/113774839/the-duke,4.0,-1,Boulder,V4,1,18,46.10209,-114.27136
Gigarete,"Locomotive Boulders > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/111788650/gigarete,3.9,-1,Boulder,V7,1,,45.05987,-110.78916
Uzumaki,"Uzumaki Boulder > District One > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113523161/uzumaki,4.0,-1,Boulder,V4-5,1,,45.26245,-111.16111
"White Horse","Overhangatang Boulders > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/111791680/white-horse,3.8,-1,Boulder,V6,1,,45.54518,-111.04371
"The Battle of Hoth","Upper Nunnery > The Nunnery > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/110812461/the-battle-of-hoth,4.0,-1,Boulder,V8,1,,45.41259,-111.23623
"Tick Tick Boom","Explosive Boulder > Explosive Area > Cascade Creek > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107809960/tick-tick-boom,4.0,-1,"Boulder, Alpine",V3,1,,45.3913,-111.239
Skywalker,"Jedi Boulders > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/112206451/skywalker,4.0,-1,Boulder,V7,1,,45.17536,-110.87468
"Grumpy Old Men","Family Wall > Entrance Gully > Whiskey Proper > Whiskey Gulch > Southwest Region > Montana",https://www.mountainproject.com/route/115447402/grumpy-old-men,4.0,-1,Boulder,"V0 R",1,25,45.88439,-112.30626
"Crocodile Left","Overhangatang Boulders > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/111791697/crocodile-left,4.0,-1,Boulder,V8,1,,45.54518,-111.04371
"Fear Factor","Fear Factor > Explosive Area > Cascade Creek > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108306952/fear-factor,4.0,-1,"Boulder, Alpine",V6,1,,45.39067,-111.23952
"The Enchiridion","Lower Nunnery > The Nunnery > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/110790660/the-enchiridion,4.0,-1,Boulder,V5,1,,45.41369,-111.23123
"Montana Beef","Cattle Pond > Homestake Pass > Southwest Region > Montana",https://www.mountainproject.com/route/112354968/montana-beef,4.0,-1,Boulder,V11,1,,45.91589,-112.36259
"Digby the Dangerous","Digby Area > Neat Rock Bouldering > Neat Rock Area > Madison River Area > Southwest Region > Montana",https://www.mountainproject.com/route/113912373/digby-the-dangerous,4.0,-1,Boulder,V7,1,,45.63284,-111.54421
"Galactic Tide","The Outer Limits Boulder > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113553593/galactic-tide,4.0,-1,Boulder,V8,1,,45.25924,-111.16545
"Cosmic Microwave Background (CMB)","The Outer Limits Boulder > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113553579/cosmic-microwave-background-cmb,4.0,-1,Boulder,V7,1,,45.25924,-111.16545
"Twist of Fate","Uzumaki Boulder > District One > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113523181/twist-of-fate,4.0,-1,Boulder,V6,1,,45.26245,-111.16111
"Sweet Ambrosia","Hollow Earth Boulder > District Two (The Meadow) > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113524391/sweet-ambrosia,4.0,-1,Boulder,V5,1,,45.26247,-111.16439
"The Eye of the Pyramid","Upper Nunnery > The Nunnery > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/110812605/the-eye-of-the-pyramid,4.0,-1,Boulder,V5,1,,45.41259,-111.23623
"The Big Bang","The Outer Limits Boulder > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113553570/the-big-bang,4.0,-1,Boulder,V5,1,,45.25924,-111.16545
Q,"Q Boulder > District Two (The Meadow) > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113527058/q,4.0,-1,Boulder,V7,1,,45.26224,-111.16451
"The Darkside","Jedi Boulders > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/112206485/the-darkside,4.0,-1,Boulder,V6,1,,45.17536,-110.87468
"The Montana Angler","The Beach > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/111674725/the-montana-angler,4.0,-1,Boulder,V5,1,,45.17087,-110.86994
"Indian Summer","Indian Summer Boulder > District Two (The Meadow) > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113524115/indian-summer,4.0,-1,Boulder,V5,1,,45.26237,-111.1643
Leviathan,"Leviathan Boulder > Cascade Creek > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/112206401/leviathan,4.0,-1,"Boulder, Alpine",V6,1,,45.39179,-111.23683
"Intergalactic Jellyfish","Primo Boulder > Cascade Creek > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/112206389/intergalactic-jellyfish,4.0,-1,"Boulder, Alpine",V6,1,,45.38914,-111.23818
"Midnight traverse","UM Campus > Northwest Region > Montana",https://www.mountainproject.com/route/115318123/midnight-traverse,4.0,-1,Boulder,V2+,1,80,46.86346,-113.98244
"stem city","UM Campus > Northwest Region > Montana",https://www.mountainproject.com/route/115318156/stem-city,4.0,-1,Boulder,"V1- PG13",1,30,46.86346,-113.98244
"Fire escape","UM Campus > Northwest Region > Montana",https://www.mountainproject.com/route/115318172/fire-escape,4.0,-1,Boulder,"V1- R",1,25,46.86346,-113.98244
"Bobby Dazzla","Digby Area > Neat Rock Bouldering > Neat Rock Area > Madison River Area > Southwest Region > Montana",https://www.mountainproject.com/route/113912385/bobby-dazzla,4.0,-1,Boulder,V7,1,,45.63284,-111.54421
Yesteryear,"Cow Skull Boulder > Neat Rock Bouldering > Neat Rock Area > Madison River Area > Southwest Region > Montana",https://www.mountainproject.com/route/115563177/yesteryear,4.0,-1,Boulder,V5,1,10,45.6336,-111.54685
"Mrs. Leslie","Locomotive Boulders > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/111788639/mrs-leslie,3.8,-1,Boulder,V8,1,,45.05987,-110.78916
"Big Dipper","Mile 18 > South Central Region > Montana",https://www.mountainproject.com/route/111796827/big-dipper,4.0,-1,Boulder,V12,1,,45.32767,-110.23044
"Bring the Hate","Jedi Boulders > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/112206498/bring-the-hate,4.0,-1,Boulder,V7,1,,45.17536,-110.87468
"Bold as Love","Out of Africa Boulder > District One > Hidden Lakes > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/113523112/bold-as-love,4.0,-1,Boulder,V3,1,,45.26226,-111.16103
"November Rain","The atrium > Wolf Butte > Northwest Region > Montana",https://www.mountainproject.com/route/113840388/november-rain,4.0,-1,Boulder,V4,1,10,47.13787,-110.49875
"Ghost Town","Mile 18 > South Central Region > Montana",https://www.mountainproject.com/route/112114457/ghost-town,4.0,-1,Boulder,V7,1,,45.32767,-110.23044
"Globe Trotter","Altitude Boulder > The Force Area > Whiskey Proper > Whiskey Gulch > Southwest Region > Montana",https://www.mountainproject.com/route/115448502/globe-trotter,4.0,-1,Boulder,V3,1,15,45.88371,-112.30482
Supernova,"Mile 18 > South Central Region > Montana",https://www.mountainproject.com/route/111796860/supernova,4.0,-1,Boulder,V10,1,,45.32767,-110.23044
"High Output Low","Locomotive Boulders > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/111781017/high-output-low,4.0,-1,Boulder,V10,1,,45.05987,-110.78916
"Spears of Madness","Mile 18 > South Central Region > Montana",https://www.mountainproject.com/route/111796838/spears-of-madness,4.0,-1,Boulder,V10,1,,45.32767,-110.23044
"Carpenter's Direct","Carpenter Boulder > Cascade Creek > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107812379/carpenters-direct,4.0,-1,"Boulder, Alpine",V8,1,,45.3913,-111.239
"Armour Sit","Mile 18 > South Central Region > Montana",https://www.mountainproject.com/route/111796907/armour-sit,4.0,-1,Boulder,V9,1,,45.32767,-110.23044
"Gamma Ray","Mile 18 > South Central Region > Montana",https://www.mountainproject.com/route/112114479/gamma-ray,4.0,-1,Boulder,V8,1,,45.32767,-110.23044
"One Inch Punch","Lower Crags > Sweathouse Creek Crags > Northwest Region > Montana",https://www.mountainproject.com/route/112892501/one-inch-punch,4.0,-1,Boulder,V6,1,15,46.42251,-114.24683
"Big Sky Grit","Big Sky Grit > Sagebrush Point Boulders > Greek Creek and Surroundings > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/110219523/big-sky-grit,4.0,-1,Boulder,V2+,1,14,45.05998,-111.18899
"White Coyote","The Beach > Yankee Jim > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/111687566/white-coyote,4.0,-1,Boulder,V8,1,,45.17087,-110.86994
"Wave Runner","Wave Boulder > The West Side > Whiskey Proper > Whiskey Gulch > Southwest Region > Montana",https://www.mountainproject.com/route/117361468/wave-runner,4.0,-1,Boulder,V4,1,20,45.88338,-112.30906
