Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Plumber's Crack","Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107185645/plumbers-crack,3.6,-1,Boulder,"V2 R",1,40,36.15993,-115.41713
"Plumbers Crack (North side chimney)","Plumber's Crack > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106617793/plumbers-crack-north-side-chimney,3.6,-1,Boulder,"V0 R",1,25,36.15993,-115.41713
"The Pork Chop","The Pork Chop Boulder > Gateway Canyon Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107385804/the-pork-chop,3.6,-1,Boulder,V3,1,16,36.16403,-115.41266
"Monkey Bar","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106657521/monkey-bar,3.5,-1,Boulder,V2,1,20,36.16154,-115.41099
"Perfect Poser","The Cube > Cube Area > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105959433/perfect-poser,3.4,-1,Boulder,"V1 R",1,25,36.15974,-115.41913
"Hyperglide (aka Monkey Pinch)","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107074342/hyperglide-aka-monkey-pinch,3.4,-1,Boulder,V5,1,20,36.16154,-115.41099
"Angel Dyno","Angel Dyno > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106378785/angel-dyno,3.7,-1,Boulder,V7,1,12,36.15968,-115.4161
"Vino Rojo","Bathtub Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106964471/vino-rojo,3.8,-1,Boulder,V6,1,15,36.15989,-115.41296
"Classic Monkey","Monkey Bar Boulder > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106683440/classic-monkey,3.3,-1,Boulder,V6,1,8,36.16154,-115.41099
"The Pearl","The Pearl > Kraft Boulders > * Red Rock Bouldering > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106056281/the-pearl,3.1,-1,Boulder,V5,1,12,36.15924,-115.41487
