Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Ride the Lightning","The Storm Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105945043/ride-the-lightning,3.8,-1,Boulder,V6,1,15,43.11916,-71.18372
Overlooked,"Trailside Boulders > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105945306/overlooked,3.8,-1,Boulder,V4,1,,43.1143,-71.1773
"The Whip","Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105946032/the-whip,3.8,-1,Boulder,V2,1,,43.11601,-71.17689
"Zig Zag Crack","The Zig Zag Boulder > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/105899651/zig-zag-crack,3.6,-1,Boulder,V1,1,,43.80288,-71.84167
Cream,"Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106137609/cream,3.3,-1,Boulder,V0+,1,20,43.11601,-71.17689
Terrorist,"The Storm Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948124/terrorist,3.3,-1,Boulder,V6,1,15,43.11916,-71.18372
"Bring the Ruckus","Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106064888/bring-the-ruckus,3.2,-1,Boulder,V3,1,15,43.11601,-71.17689
"Black Jack Crack","The Black Jack Boulder > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/105899775/black-jack-crack,3.7,-1,"Trad, Boulder","5.10d V2",1,30,43.80288,-71.84167
"Hobbit Hole","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105945048/hobbit-hole,3.0,-1,Boulder,V3,1,18,43.11916,-71.18372
Firestarter,"The Moat Boulder > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/105899491/firestarter,2.9,-1,Boulder,V3,1,,43.80288,-71.84167
"Pound Crack","Pound Crack Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106176764/pound-crack,3.5,-1,Boulder,V1,1,18,43.79895,-71.79692
"Bolt On Top","The Buttermilk Boulder > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960793/bolt-on-top,2.9,-1,Boulder,V1,1,,43.11916,-71.18372
"Cause for Commotion","Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106123124/cause-for-commotion,2.9,-1,Boulder,V2+,1,12,43.11601,-71.17689
Essentials,"The Marsh Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960810/essentials,2.9,-1,Boulder,V1+,1,,43.11916,-71.18372
"E-Z Cheese","The Streambed Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960764/e-z-cheese,2.8,-1,Boulder,V2,1,,43.11916,-71.18372
Vintage,"The Storm Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106208786/vintage,3.5,-1,Boulder,V4,1,15,43.11916,-71.18372
Spragueasorus,"Spragueasorus Boulder (aka Underworld Boulder) > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/105961475/spragueasorus,3.6,-1,Boulder,V5+,1,15,43.80288,-71.84167
"Leave It to Beaver","Devil's Den Bouldering > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106724657/leave-it-to-beaver,3.9,-1,Boulder,V8,1,15,43.12219,-71.18665
"The Whale's Tail","Barn Door Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106175795/the-whales-tail,3.3,-1,Boulder,V4+,1,10,43.7989,-71.79659
Atlas,"Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105951587/atlas,2.6,-1,Boulder,V6,1,8,43.11601,-71.17689
Throng,"Devil's Den Bouldering > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106128093/throng,2.6,-1,Boulder,V4-5,1,8,43.12219,-71.18665
Classic,"Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106039418/classic,2.5,-1,Boulder,V0,1,10,43.11601,-71.17689
Dopeman,"Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106007765/dopeman,3.8,-1,Boulder,V8,1,15,43.11601,-71.17689
"Up in Smoke","Devil's Den Bouldering > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948881/up-in-smoke,3.1,-1,Boulder,V7,1,,43.12219,-71.18665
Maxim,"Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105951602/maxim,3.3,-1,Boulder,V7-,1,,43.11601,-71.17689
"The Rose (of Confrontation)","Swirley Boulder > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106009371/the-rose-of-confrontation,3.4,-1,Boulder,V7,1,15,43.10843,-71.15305
"Four Hole","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106250047/four-hole,2.4,-1,Boulder,V0,1,10,43.11916,-71.18372
Edges,"The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960778/edges,2.4,-1,Boulder,V2,1,,43.11916,-71.18372
"Power and Grace","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105945380/power-and-grace,2.4,-1,Boulder,V3,1,,43.11916,-71.18372
EDCL,"EDCL Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/105960905/edcl,3.6,-1,Boulder,V2,1,,43.7989,-71.79659
"Barnyard Crack","The Barnyard Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106296132/barnyard-crack,2.2,-1,Boulder,V1+,1,10,43.11916,-71.18372
"Hobbit  Direct","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105945808/hobbit-direct,2.2,-1,Boulder,V4,1,,43.11916,-71.18372
"Another World","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960774/another-world,2.2,-1,Boulder,V1+,1,,43.11916,-71.18372
"General Lee","Scoop Area > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948805/general-lee,2.8,-1,Boulder,V2,1,8,43.1094,-71.1506
"The Lobster Tail","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948025/the-lobster-tail,2.0,-1,Boulder,V0,1,15,43.11916,-71.18372
"Standard Route","The Yosemite Boulder Area > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106144279/standard-route,2.7,-1,Boulder,V2,1,30,43.11916,-71.18372
"The Umbrella Traverse","The Umbrella Boulder > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/105961464/the-umbrella-traverse,2.7,-1,Boulder,V2,1,15,43.80288,-71.84167
"Pine Tree Crack","Barn Door Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106324601/pine-tree-crack,3.1,-1,Boulder,V0,1,25,43.7989,-71.79659
"The Hueco Problem","Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106555387/the-hueco-problem,2.1,-1,Boulder,V1,1,15,43.11601,-71.17689
"Swiss Cheese","The Streambed Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/108366698/swiss-cheese,2.6,-1,Boulder,V2,1,10,43.11916,-71.18372
"Burt Gives Blow Jobs","Warmup Area > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105951638/burt-gives-blow-jobs,3.0,-1,Boulder,V6,1,,43.10658,-71.15328
Bulletproof,"The Yosemite Boulder Area > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106104975/bulletproof,3.0,-1,Boulder,V6,1,12,43.11916,-71.18372
Fido,"Hillside (aka Summit Boulder Area) > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106123073/fido,3.0,-1,Boulder,V5,1,,43.1167,-71.1774
"Red Right Hand aka Spitting Blood","Devil's Den Bouldering > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/108396166/red-right-hand-aka-spitting-blood,3.5,-1,Boulder,V6,1,13,43.12219,-71.18665
"Crimp Problem","Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106137585/crimp-problem,2.2,-1,Boulder,V3+,1,10,43.11601,-71.17689
Lumberjack,"Scoop Area > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106073676/lumberjack,3.5,-1,Boulder,V5-6,1,,43.1094,-71.1506
Poseidon,"The Swamp Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/109346318/poseidon,3.3,-1,Boulder,V4-,1,13,43.11916,-71.18372
"2 by 4","Hero Block > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960815/2-by-4,2.3,-1,Boulder,V0,1,,43.10756,-71.15105
"Standard Direct","The Yosemite Boulder Area > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106144284/standard-direct,3.0,-1,Boulder,V3,1,30,43.11916,-71.18372
Amnesia,"Swirley Boulder > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106053032/amnesia,2.9,-1,Boulder,V5,1,,43.10843,-71.15305
"Universal Socket (aka The Pocket Problem)","Devil's Den Bouldering > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106083827/universal-socket-aka-the-pocket-problem,3.9,-1,Boulder,V6,1,18,43.12219,-71.18665
"Pyramid Power","Spragueasorus Boulder (aka Underworld Boulder) > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106082740/pyramid-power,3.5,-1,Boulder,V8,1,,43.80288,-71.84167
"Good Rips","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960783/good-rips,2.3,-1,Boulder,V1+,1,,43.11916,-71.18372
"Bobby's Problem","Entrance Boulders > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106311533/bobbys-problem,3.3,-1,Boulder,V7,1,18,43.80288,-71.84167
Firecracker,"Rainforest Boulder (Valley Boulders) > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105951646/firecracker,2.6,-1,Boulder,V2+,1,,43.10698,-71.15098
"The Professor","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948118/the-professor,2.3,-1,Boulder,V5,1,8,43.11916,-71.18372
"Quincy Market","Stone Wall Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106312305/quincy-market,2.6,-1,Boulder,V1-,1,13,43.79884,-71.79686
"The Arrow","Trailside Boulders > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106122043/the-arrow,2.5,-1,Boulder,V1+,1,7,43.1143,-71.1773
"Brett Does Lawn Jobs (aka.- Keep it Subtle)","The Yosemite Boulder Area > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106831886/brett-does-lawn-jobs-aka-keep-it-subtle,3.7,-1,Boulder,V5+,1,,43.11916,-71.18372
"Italian Stallion","Hillside (aka Summit Boulder Area) > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106104907/italian-stallion,3.5,-1,Boulder,V7,1,25,43.1167,-71.1774
Kalbro,"The Yosemite Boulder Area > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106041591/kalbro,3.0,-1,Boulder,V3,1,10,43.11916,-71.18372
"Sandy Landing","The Buttermilk Boulder > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960789/sandy-landing,2.0,-1,Boulder,V0,1,,43.11916,-71.18372
"Moose Tracks","The Zig Zag Boulder > Black Jack Boulders > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/105899983/moose-tracks,2.5,-1,Boulder,V2,1,,43.80288,-71.84167
"Hay Fever","The Barnyard Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106528409/hay-fever,2.1,-1,Boulder,V0,1,10,43.11916,-71.18372
"Front and Center","Stone Wall Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106315164/front-and-center,2.4,-1,Boulder,V1,1,10,43.79884,-71.79686
"Mothra Stewart","The Storm Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106282503/mothra-stewart,3.4,-1,Boulder,V8,1,25,43.11916,-71.18372
"Whale Calling Condor","Barn Door Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106730871/whale-calling-condor,3.5,-1,Boulder,V5,1,15,43.7989,-71.79659
Red,"Devil's Den Bouldering > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948873/red,2.7,-1,Boulder,V7,1,,43.12219,-71.18665
"Individual Medley","Devil's Den Bouldering > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106011641/individual-medley,3.9,-1,Boulder,V6,1,18,43.12219,-71.18665
Gadgetry,"Round Pond > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105951607/gadgetry,2.3,-1,Boulder,V5,1,,43.11601,-71.17689
"Kappa Delta","Crack Boulder Area > Blair Woods > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105960897/kappa-delta,3.1,-1,Boulder,V0,1,,43.1094,-71.1506
Seinfeld,"The Streambed Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106945094/seinfeld,2.4,-1,Boulder,V2+,1,10,43.11916,-71.18372
"The Marathon","The Zoo > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948111/the-marathon,2.4,-1,Boulder,V2+,1,20,43.11916,-71.18372
Zap,"The Storm Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948043/zap,2.3,-1,Boulder,V4-,1,,43.11916,-71.18372
"Classic Crack","The Barnyard Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106285021/classic-crack,2.1,-1,Boulder,V2,1,,43.11916,-71.18372
"Mouthful of Chalk","The Swamp Boulders > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/108145761/mouthful-of-chalk,3.0,-1,Boulder,V6,1,20,43.11916,-71.18372
Anorexorcist,"The Split Boulder > Boulder Natural > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106104812/anorexorcist,2.4,-1,Boulder,V6-7,1,6,43.11916,-71.18372
"Smoke and Mirrors","Smoke and Mirrors Boulder > The Pound > *Rumney Bouldering > *Rumney > New Hampshire",https://www.mountainproject.com/route/106324530/smoke-and-mirrors,2.6,-1,Boulder,V6-,1,14,43.7989,-71.79659
