Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Stuart Arete","Witherspoon Woods Boulders > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/109071042/stuart-arete,3.9,-1,Boulder,V5,1,,40.36905,-74.67443
"The Wave Full","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111178767/the-wave-full,3.5,-1,Boulder,V5+,1,,40.47667,-74.70444
"Good Vibrations","Half Moon Area > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111078185/good-vibrations,3.1,-1,Boulder,V4,1,,40.47777,-74.70332
"The Cling","Devil's Half Acre > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/111176889/the-cling,3.0,-1,Boulder,V2,1,10,40.47667,-74.70444
"Project: Rocket Nozzle","Allamuchy Mountain SP Boulders > * bouldering Northwest NJ > a. NorthWest > New Jersey",https://www.mountainproject.com/route/117401296/project-rocket-nozzle,4.0,-1,Boulder,V6,1,10,40.91737,-74.7619
"Project: Darth Sidious","Allamuchy Mountain SP Boulders > * bouldering Northwest NJ > a. NorthWest > New Jersey",https://www.mountainproject.com/route/117528707/project-darth-sidious,4.0,-1,Boulder,V6,1,18,40.91737,-74.7619
"This feels familiar","Alpine bouldering > * bouldering Northeast NJ > c. NorthEast > New Jersey",https://www.mountainproject.com/route/113595684/this-feels-familiar,4.0,-1,Boulder,V6,1,,41.00382,-73.92546
"Project: Count Dooku","Allamuchy Mountain SP Boulders > * bouldering Northwest NJ > a. NorthWest > New Jersey",https://www.mountainproject.com/route/117508713/project-count-dooku,4.0,-1,Boulder,V6,1,15,40.91737,-74.7619
"Fanger Slapper","Hogs Pen > Cedar Lake Boulders > * bouldering North Central NJ > b. North Central > New Jersey",https://www.mountainproject.com/route/107803894/fanger-slapper,4.0,-1,Boulder,V5,1,,40.92445,-74.46279
"Cave Direct","Cave Boulder > Jenny Jump State Forest > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114129984/cave-direct,4.0,-1,"TR, Boulder",V3,1,18,40.91305,-74.92206
"Muddy Turtles","Garrett Mountain > * bouldering Northeast NJ > c. NorthEast > New Jersey",https://www.mountainproject.com/route/107777808/muddy-turtles,4.0,-1,Boulder,"V5-6 PG13",1,25,40.9005,-74.1729
"Rusted Root","Crag > The Cliffs > Cedar Lake Boulders > * bouldering North Central NJ > b. North Central > New Jersey",https://www.mountainproject.com/route/107802776/rusted-root,4.0,-1,Boulder,V2+,1,,40.9163,-74.4701
Seamstress,"Rhododendron Boulder > Cedar Lake Boulders > * bouldering North Central NJ > b. North Central > New Jersey",https://www.mountainproject.com/route/108136888/seamstress,4.0,-1,Boulder,V4,1,9,40.9163,-74.4701
Sideways,"Backyard Boulders > Sourland Mountain Preserve > * bouldering mid-state NJ > d. Mid-state > New Jersey",https://www.mountainproject.com/route/112143500/sideways,3.6,-1,Boulder,V5-,1,,40.46592,-74.71362
"She Sends Sea Sends","Belmar Beach > d. Mid-state > New Jersey",https://www.mountainproject.com/route/116237512/she-sends-sea-sends,3.5,-1,Boulder,V1,1,10,40.16662,-74.01707
"Always Two There Are","Allamuchy Mountain SP Boulders > * bouldering Northwest NJ > a. NorthWest > New Jersey",https://www.mountainproject.com/route/112159012/always-two-there-are,3.7,-1,Boulder,V5,1,12,40.91737,-74.7619
