Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Pressure Drop","Unbeatable Boulder > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/107051000/pressure-drop,3.7,-1,Boulder,V1-2,1,12,33.98494,-106.98913
"Rubber Walrus Protector","Harmonica Convention (AKA Below Edges) > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106639733/rubber-walrus-protector,3.7,-1,Boulder,V5,1,16,33.9839,-106.987
"Spitoon AKA: The Scoop","The Scoop Boulder > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106221455/spitoon-aka-the-scoop,3.1,-1,Boulder,V3,1,15,35.68609,-106.65716
"Bitch Tits","Harmonica Convention (AKA Below Edges) > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106640182/bitch-tits,3.6,-1,Boulder,V1-,1,18,33.9839,-106.987
"Knob Problem","Upper Mound (main upper cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/106366498/knob-problem,3.0,-1,Boulder,V3,1,,35.0847,-106.481
"American Beauty","Alf Rig > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106644277/american-beauty,3.9,-1,Boulder,V6,1,18,33.9836,-106.9971
"King for a Day","King for a Day Boulder > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106221514/king-for-a-day,3.7,-1,Boulder,V7,1,,35.6856,-106.6554
"The Three Star V2","Harmonica Convention (AKA Below Edges) > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106639709/the-three-star-v2,3.1,-1,Boulder,V2,1,16,33.9839,-106.987
"Fannie Mae","Fannie Mae > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106646974/fannie-mae,3.9,-1,Boulder,V3+,1,15,35.68714,-106.65983
"Highball Knob Problem","Trail Side Area  1 > Three Gun (Tres Pistolas) > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/106738821/highball-knob-problem,3.3,-1,Boulder,V3,1,15,35.0807,-106.4439
"NASCAR traverse","NASCAR Boulder > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106224094/nascar-traverse,3.9,-1,Boulder,V7,1,20,35.68723,-106.66037
"Vampire Roof Center aka Golden","Vampire > Monster Island > New Mexico, I-40 Corridor > New Mexico",https://www.mountainproject.com/route/106889537/vampire-roof-center-aka-golden,3.8,-1,Boulder,V4,1,,34.32319,-107.97662
"Dead Cat","Lower Mound (western cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/106722183/dead-cat,2.9,-1,Boulder,V1,1,15,35.0847,-106.481
"Fun Bags","Fun Bags > The Jumbles > Middle Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/117878742/fun-bags,3.9,-1,Boulder,V5-6,1,18,36.03081,-104.32838
Scoop,"Pinball Simulator Area > The Satellite > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106623329/scoop,3.9,-1,Boulder,V7,1,12,35.7282,-106.6237
"Valkyrie Fallen","The Westside > Three Gun (Tres Pistolas) > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/107135334/valkyrie-fallen,4.0,-1,Boulder,V7,1,10,35.0763,-106.4442
"1/4"" Minus","Upper Fat City Drainage (a.k.a. Embudo Canyon) > Fat City, Indian School > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/106568021/14-minus,3.9,-1,Boulder,V8,1,12,35.0961,-106.46209
"The Cobra","Roadside Attraction Boulder > Roadside Attraction > Mills Canyon > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/116551948/the-cobra,4.0,-1,Boulder,V6,1,18,36.07005,-104.355
"Buckeroo Banzai","The Grotto > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/107922059/buckeroo-banzai,3.9,-1,Boulder,V5,1,12,35.8174,-106.5321
"Little Drummer Boy","Upper Simms > Simms Park (Elena Gallegos Picnic Area) > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/106568132/little-drummer-boy,4.0,-1,Boulder,V6,1,16,35.1632,-106.4526
"Mario Andretti","NASCAR Boulder > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106224106/mario-andretti,4.0,-1,Boulder,V10+,1,35,35.68723,-106.66037
"Thanks for the Pocket Julie Newmar","Pizza Boulders > Dona Ana Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/112940699/thanks-for-the-pocket-julie-newmar,4.0,-1,Boulder,V1,1,16,32.45937,-106.78889
"The Hulk","Boulder  7 (AKA The Hulk Boulder) > Zulu > Super Rock > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/111565066/the-hulk,4.0,-1,Boulder,V6,1,,35.06451,-106.47723
"Screaming Jihad","Screaming Jihad > Three Gun (Tres Pistolas) > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/106867432/screaming-jihad,4.0,-1,Boulder,V12,1,20,35.0763,-106.4442
N.I.M.B.Y.,"NIMBY Boulder > Aguirre Bouldering > Organ Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/116608092/nimby,4.0,-1,Boulder,V8,1,12,32.37285,-106.55214
"The Murray Highball","Upper Mound (main upper cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/107187642/the-murray-highball,4.0,-1,Boulder,V3+,1,18,35.0847,-106.481
"Rubberband Fingers Stand/Meine Gummi Frau","Spook Main Wall > Spook Canyon > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106377007/rubberband-fingers-standmeine-gummi-frau,4.0,-1,Boulder,V8,1,1825,33.9987,-106.98443
"Crack Problem","Apache Canyon (a.k.a. Grasshopper Canyon) Bouldering > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/117334050/crack-problem,4.0,-1,Boulder,V3,1,12,35.56397,-105.81098
"Northern Arete","Pegasus Campground > City of Rocks > New Mexico, other Southern Areas > New Mexico",https://www.mountainproject.com/route/107012422/northern-arete,4.0,-1,Boulder,V1,1,16,32.5892,-107.9745
"Long Ass","Long Ass > Ezekiel Wall Area > Middle Mesteño > Roy > New Mexico, other Northern Areas > New Mexico",https://www.mountainproject.com/route/117879040/long-ass,3.8,-1,Boulder,V1,1,15,36.0321,-104.32641
"The Valsalva Maneuver AKA: Left Pinball Simulator","Pinball Simulator Area > The Satellite > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106623309/the-valsalva-maneuver-aka-left-pinball-simulator,3.8,-1,Boulder,V9-10,1,15,35.7282,-106.6237
"Driftwood or Petrified Wood","Backside of Upper Mound/ Wounded Knee area (Northern cluster of boulders) > U-Mound > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/106365254/driftwood-or-petrified-wood,3.7,-1,Boulder,V4,1,12,35.0847,-106.481
"Jungle Boogie","The Jungle Gym > Aguirre Bouldering > Organ Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/116812482/jungle-boogie,4.0,-1,Boulder,"V5 PG13",1,20,32.37343,-106.55042
"Energy Club","Apache Canyon (a.k.a. Grasshopper Canyon) Bouldering > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/112540872/energy-club,4.0,-1,Boulder,V4,1,30,35.56397,-105.81098
"Pinkies In a Blanket","North Rd. West > Pueblo Canyon Areas > Los Alamos Crags > Los Alamos & White Rock > New Mexico",https://www.mountainproject.com/route/107168183/pinkies-in-a-blanket,4.0,-1,Boulder,V5+,1,13,35.8897,-106.3253
"The Knobby","Upper Fat City Drainage (a.k.a. Embudo Canyon) > Fat City, Indian School > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/107448180/the-knobby,4.0,-1,Boulder,V0,1,15,35.0961,-106.46209
"The Gunfighter","Earth Ship > Three Gun (Tres Pistolas) > Foothills Bouldering > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/107289125/the-gunfighter,4.0,-1,Boulder,V5,1,,35.0763,-106.4442
"Too Ugly For Disco","Too Ugly For Disco > Monster Island > New Mexico, I-40 Corridor > New Mexico",https://www.mountainproject.com/route/106889527/too-ugly-for-disco,4.0,-1,Boulder,V7,1,20,34.32304,-107.97649
"Mean Green Leaner","The Fins > Tres Piedras Bouldering > Tres Piedras > Taos Area > New Mexico",https://www.mountainproject.com/route/107715772/mean-green-leaner,4.0,-1,Boulder,V7,1,15,36.66488,-105.96007
"Doo Doo Wrecka","Cube, The > The Pond > Ponderosa Bouldering > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106224071/doo-doo-wrecka,4.0,-1,Boulder,V5,1,25,35.6856,-106.6554
