Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Andrew Boulder Problem","Andrew Area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106518895/andrew-boulder-problem,3.6,-1,Boulder,V4,1,,41.74324,-74.17965
"The Buddha","Andrew Area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106518881/the-buddha,3.7,-1,Boulder,V7-,1,,41.74324,-74.17965
"The Gill Egg (AKA Gills Route)","Keyhole Cliff area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106515375/the-gill-egg-aka-gills-route,3.4,-1,Boulder,V4,1,12,41.7364,-74.1909
"Black Boulder Problem","Pebbles Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106518842/black-boulder-problem,3.3,-1,Boulder,V5,1,,41.7375,-74.1872
"The Lorax","Steel Bridge Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106515862/the-lorax,3.1,-1,Boulder,V3+,1,8,41.7368,-74.194
"Boulder of the Gods","Steel Bridge Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106515825/boulder-of-the-gods,3.0,-1,Boulder,V0-,1,15,41.7368,-74.194
"Clune Crank","Keyhole Cliff area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106510911/clune-crank,2.8,-1,Boulder,V1,1,10,41.7364,-74.1909
"Suzie A","Suzie A Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106529647/suzie-a,3.0,-1,Boulder,V1,1,13,41.737,-74.1882
"New Pair of Glasses","Steel Bridge Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106918579/new-pair-of-glasses,3.8,-1,Boulder,V7,1,30,41.7368,-74.194
"Dislocator Roof","Pebbles Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106514345/dislocator-roof,2.8,-1,Boulder,V2,1,12,41.7375,-74.1872
"The flake","Rat Rock > Central Park > New York City > New York",https://www.mountainproject.com/route/106971393/the-flake,2.7,-1,Boulder,V0-1,1,12,40.7692,-73.9776
"Gill Pinch Roof","Keyhole Cliff area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106510939/gill-pinch-roof,3.3,-1,Boulder,V4,1,15,41.7364,-74.1909
"Great Roof of China","Second Set Boulder > Second Set > Mckenzie Pond Boulders > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/107456730/great-roof-of-china,3.6,-1,Boulder,V3,1,,44.30837,-74.09682
"Baby Hole","Boxcar Area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106522616/baby-hole,2.9,-1,Boulder,V3,1,8,41.7475,-74.1756
Slobadon,"Front Boulder > First Set > Mckenzie Pond Boulders > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/107458190/slobadon,3.8,-1,Boulder,V5,1,,44.30837,-74.09682
"Box Car Arete","Boxcar Area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/107317437/box-car-arete,3.6,-1,Boulder,V8,1,8,41.7475,-74.1756
"The Polish Traverse","Rat Rock > Central Park > New York City > New York",https://www.mountainproject.com/route/106124356/the-polish-traverse,3.2,-1,Boulder,V5,1,20,40.7692,-73.9776
"Pop or Drop","Fortress > Middle Earth > Nine Corner Lake > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/106479700/pop-or-drop,3.8,-1,Boulder,V4,1,15,43.2044,-74.5323
"Cat Arete","Cat Rock > Central Park > New York City > New York",https://www.mountainproject.com/route/106602585/cat-arete,2.7,-1,Boulder,V1,1,15,40.7683,-73.9737
Thorazine,"Wall Boulder > Middle Earth > Nine Corner Lake > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/106959138/thorazine,3.8,-1,Boulder,V8,1,,43.2044,-74.5323
"Tiger Style","Tiger Style Boulder > Peterskill Bouldering > The Gunks > New York",https://www.mountainproject.com/route/110425524/tiger-style,3.8,-1,Boulder,V7,1,10,41.7389,-74.21422
"The Classic One","Quarantine Area & Outbreak Boulder > Peterskill Bouldering > The Gunks > New York",https://www.mountainproject.com/route/107255239/the-classic-one,3.8,-1,Boulder,V5,1,15,41.73937,-74.21526
"Voodoo Bullshit/Bring the Noise","Worthless Boulder > Central Park > New York City > New York",https://www.mountainproject.com/route/111668102/voodoo-bullshitbring-the-noise,3.5,-1,Boulder,V2,1,,40.7983,-73.9547
VD,"Quarantine Area & Outbreak Boulder > Peterskill Bouldering > The Gunks > New York",https://www.mountainproject.com/route/107238381/vd,3.0,-1,Boulder,V2-3,1,15,41.73937,-74.21526
"Village Idiot","Golden Wall Area > Peterskill Bouldering > The Gunks > New York",https://www.mountainproject.com/route/110529930/village-idiot,4.0,-1,Boulder,V7,1,15,41.73901,-74.21414
"Keyhole Crack Left","Keyhole Cliff area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106510929/keyhole-crack-left,2.1,-1,Boulder,V0,1,12,41.7364,-74.1909
"Tweaky Crack","Pebbles Boulders > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106560701/tweaky-crack,2.5,-1,Boulder,V2,1,10,41.7375,-74.1872
"The Illustrious Buddha","Andrew Area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106518886/the-illustrious-buddha,3.7,-1,Boulder,V8,1,,41.74324,-74.17965
"Even Lovely","Sleepy Hollow > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/117815975/even-lovely,4.0,-1,Boulder,V9,1,10,41.75144,-74.17269
"Shine Box","Southern Boulder > Split Rock > Long Island > New York",https://www.mountainproject.com/route/114309846/shine-box,4.0,-1,Boulder,V3,1,10,40.95748,-72.86253
Chillen,"The Cliffs > Nine Corner Lake > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/106502824/chillen,3.5,-1,Boulder,V4,1,,43.19439,-74.54234
Capstone,"Capstone Boulder > The Bear Caves > New York",https://www.mountainproject.com/route/112506155/capstone,4.0,-1,Boulder,V5,1,10,42.01941,-78.79245
"Ian's Favorite Problem","Rhombohedron > First Set > Mckenzie Pond Boulders > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/107802076/ians-favorite-problem,3.5,-1,Boulder,V5,1,12,44.30837,-74.09682
"The Official","Ice Pond > New York",https://www.mountainproject.com/route/107399359/the-official,3.4,-1,Boulder,V7,1,,41.45108,-73.6215
"Gill Crack (AKA The Brat Gill Variation)","Keyhole Cliff area > Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/106514078/gill-crack-aka-the-brat-gill-variation,3.3,-1,Boulder,V2+,1,17,41.7364,-74.1909
"Flux Capacitor","Alien > Third Set > Mckenzie Pond Boulders > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/108960242/flux-capacitor,4.0,-1,Boulder,V8,1,,44.30837,-74.09682
"Family Values","Worthless Boulder > Central Park > New York City > New York",https://www.mountainproject.com/route/111667927/family-values,3.8,-1,Boulder,V6,1,,40.7983,-73.9547
"The Origin","Gate Boulder > Middle Earth > Nine Corner Lake > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/117070855/the-origin,4.0,-1,Boulder,V5,1,15,43.2044,-74.5323
"Stanfields aka Tommy The Cat","Front Boulder > First Set > Mckenzie Pond Boulders > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/108370904/stanfields-aka-tommy-the-cat,4.0,-1,Boulder,V9,1,15,44.30837,-74.09682
"The Pearl a.k.a. The Whale","The Pearl a.k.a. The Whale boulder > The Playground: Area 1 > Near Trapps Bouldering > The Gunks > New York",https://www.mountainproject.com/route/113354065/the-pearl-aka-the-whale,3.7,-1,Boulder,V8-,1,12,41.73493,-74.19783
Tomahawk,"Godzilla Boulder > Rock Dojo > * Powerlinez Bouldering > Powerlinez > New York",https://www.mountainproject.com/route/116165085/tomahawk,4.0,-1,Boulder,V5,1,,41.14477,-74.16769
"Smokin' Jacks","Big Boy Boulder > East Marion Boulders > Long Island > New York",https://www.mountainproject.com/route/116125243/smokin-jacks,4.0,-1,Boulder,V9,1,13,41.1382,-72.35475
"Mercury In Retrograde","Ice Pond > New York",https://www.mountainproject.com/route/107399379/mercury-in-retrograde,4.0,-1,Boulder,V9,1,10,41.45108,-73.6215
"Hillside Strangler","The Bluff Boulders > Wildwood State Park > Long Island > New York",https://www.mountainproject.com/route/116124522/hillside-strangler,4.0,-1,Boulder,V6+,1,13,40.96373,-72.78344
