Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dime Crack","Trailside Boulder > Trailside Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106967927/dime-crack,3.6,-1,Boulder,V4,1,15,35.44939,-82.21859
"Crescent Crack","Devil Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106923851/crescent-crack,3.4,-1,Boulder,V2,1,15,35.44977,-82.21876
"Rotator Cuff (SDS V6 Stand V5)","Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106615473/rotator-cuff-sds-v6-stand-v5,3.6,-1,Boulder,V5-6,1,15,35.45016,-82.21828
"Basketball Mantle","Shady Grove > Hull Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106924367/basketball-mantle,3.5,-1,Boulder,V3,1,,35.4617,-82.20965
"Classic Overhang","Classic Overhang > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/108548398/classic-overhang,3.8,-1,Boulder,V3,1,15,35.14451,-82.04893
"Center 45","45 Degree Wall > Blowing Rock Boulders > North Carolina",https://www.mountainproject.com/route/107074873/center-45,3.6,-1,Boulder,V3,1,,36.1398,-81.6946
"Brackish One","Brackish Boulder > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106650459/brackish-one,3.5,-1,Boulder,V4,1,,35.44897,-82.2143
"Captain Aslab","Moby Dick Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106923897/captain-aslab,2.7,-1,Boulder,V2,1,15,35.34877,-82.16269
"Short Crack","Short Crack Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106923905/short-crack,3.0,-1,Boulder,V2-,1,10,35.44986,-82.21903
"The Helicopter sds","Washing Machine Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106968883/the-helicopter-sds,3.0,-1,Boulder,V4-5,1,10,35.34877,-82.16269
"Kung Fu Grip","Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106615419/kung-fu-grip,3.4,-1,Boulder,V5,1,15,35.45016,-82.21828
Stickman,"Sentinel Buttress Boulderfield > Moore's Wall > North Carolina",https://www.mountainproject.com/route/108182981/stickman,4.0,-1,Boulder,V5,1,25,36.39752,-80.28706
"Black Slab Right","Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106700575/black-slab-right,2.6,-1,Boulder,V3,1,,35.45016,-82.21828
