Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"There and Crack Again","Square Butte Bouldering > North Dakota",https://www.mountainproject.com/route/111341945/there-and-crack-again,4.0,-1,Boulder,V4-5,1,12,46.86904,-103.7035
"Beat the Champ (Project)","Butte Blocks > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110423554/beat-the-champ-project,4.0,-1,Boulder,"V5+ R",1,25,46.8763,-103.84629
"Viagra Low (Project)","The Spire > North Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110756139/viagra-low-project,4.0,-1,Boulder,V7+,1,15,46.87897,-103.83807
Frodosynthesis,"Square Butte Bouldering > North Dakota",https://www.mountainproject.com/route/111342065/frodosynthesis,3.0,-1,Boulder,V1-2,1,8,46.86904,-103.7035
"Sunset Flip","Turnbuckle Boulder > South Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110410051/sunset-flip,3.0,-1,Boulder,V2,1,8,46.87435,-103.84726
Viagra,"The Spire > North Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110756115/viagra,3.0,-1,Boulder,V5,1,10,46.87897,-103.83807
"Sloper Slapper","Graveyard Boulder > Kintyre Boulders > North Dakota",https://www.mountainproject.com/route/113845209/sloper-slapper,3.0,-1,Boulder,V2-3,1,12,46.44451,-99.95993
"Grudge Match","Butte Blocks > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110423529/grudge-match,3.0,-1,Boulder,V1-2,1,12,46.8763,-103.84629
"V1 Slab (Temp)","The Spire > North Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110756164/v1-slab-temp,3.0,-1,Boulder,V1,1,12,46.87897,-103.83807
"The Nose (Project)","Moai Boulder > North Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110681504/the-nose-project,3.0,-1,Boulder,V4+,1,12,46.87873,-103.83903
"Adult Gifts","Gronk > Killdeer Boulders > North Dakota",https://www.mountainproject.com/route/113462345/adult-gifts,2.5,-1,Boulder,V1+,1,8,47.41528,-102.97233
"Fat Daisy","Gronk > Killdeer Boulders > North Dakota",https://www.mountainproject.com/route/113462335/fat-daisy,2.5,-1,Boulder,V1,1,8,47.41528,-102.97233
"Cat Weiner","Would You Rather > Bi-Way Boulders > North Dakota",https://www.mountainproject.com/route/111719124/cat-weiner,2.5,-1,Boulder,V-easy,1,,46.84331,-101.06589
"Turnbuckle Left","Turnbuckle Boulder > South Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110410084/turnbuckle-left,2.0,-1,Boulder,V3-,1,8,46.87435,-103.84726
Catscratch,"Northern Boulder > Kintyre Boulders > North Dakota",https://www.mountainproject.com/route/113845139/catscratch,2.0,-1,Boulder,V3-,1,12,46.63102,-99.84358
"Pinch the Tip","Northern Boulder > Kintyre Boulders > North Dakota",https://www.mountainproject.com/route/113845145/pinch-the-tip,2.0,-1,Boulder,V1,1,11,46.63102,-99.84358
"Clam Hands","Would You Rather > Bi-Way Boulders > North Dakota",https://www.mountainproject.com/route/111719129/clam-hands,2.0,-1,Boulder,V-easy,1,,46.84331,-101.06589
"The Heellotine","The Spire > North Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110756152/the-heellotine,2.0,-1,Boulder,V1+,1,8,46.87897,-103.83807
"Face Right of The Nose (Project)","Moai Boulder > North Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110681510/face-right-of-the-nose-project,2.0,-1,Boulder,V4+,1,12,46.87873,-103.83903
"The Turnbuckle","Turnbuckle Boulder > South Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110413966/the-turnbuckle,2.0,-1,Boulder,V3+,1,8,46.87435,-103.84726
"V0 Crack","V0 Crack Boulder > South Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110413998/v0-crack,2.0,-1,Boulder,V0,1,10,46.87425,-103.84722
Crustose,"A-Frame Boulder > South Boulders > Sentinel Butte Bouldering > North Dakota",https://www.mountainproject.com/route/110417894/crustose,1.0,-1,Boulder,V1,1,14,46.87417,-103.84791
"Jammin' Just Cause","Graveyard Boulder > Kintyre Boulders > North Dakota",https://www.mountainproject.com/route/113845200/jammin-just-cause,1.0,-1,Boulder,V1-,1,10,46.44451,-99.95993
"Plow's Edge","Northern Boulder > Kintyre Boulders > North Dakota",https://www.mountainproject.com/route/113845121/plows-edge,1.0,-1,Boulder,V0,1,12,46.63102,-99.84358
"Cheese block","Regan Rocks > North Dakota",https://www.mountainproject.com/route/111564443/cheese-block,1.0,-1,Boulder,V1,1,9,47.1402,-100.432
"Choss is his name","Regan Rocks > North Dakota",https://www.mountainproject.com/route/111564482/choss-is-his-name,-1.0,-1,Boulder,V0+,1,12,47.1402,-100.432
