Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Beautiful Edges","Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106113903/beautiful-edges,3.8,-1,Boulder,V4,1,,-43.22559,171.71266
"Connect Four","Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/116360302/connect-four,4.0,-1,Boulder,V4,1,12,-43.22559,171.71266
"The Scoop","Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/116360321/the-scoop,4.0,-1,Boulder,V1,1,10,-43.22559,171.71266
"Fanta Pants","Flock Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/116728520/fanta-pants,4.0,-1,Boulder,V7,1,15,-43.8979,171.2988
"The Unrepeatable","Quantum Field > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106113898/the-unrepeatable,3.8,-1,Boulder,V6+,1,,-43.2294,171.7142
"Dr. Wall Crack","Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/117649967/dr-wall-crack,4.0,-1,Boulder,V0,1,,-43.22559,171.71266
"Big Cheese","Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/117649923/big-cheese,4.0,-1,Boulder,V2,1,,-43.22559,171.71266
"The Swank","Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/117649905/the-swank,4.0,-1,Boulder,V3,1,,-43.22559,171.71266
Mobeus,"Flock Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/117650005/mobeus,4.0,-1,Boulder,V8,1,,-43.8979,171.2988
Tuppimaster,"Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106113876/tuppimaster,3.7,-1,Boulder,V7,1,12,-43.22559,171.71266
"lung arete","Quantum Field > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106475694/lung-arete,3.3,-1,Boulder,V3,1,10,-43.2294,171.7142
Cauldron,"Quantum Field > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106440559/cauldron,3.1,-1,Boulder,V4,1,9,-43.2294,171.7142
"Acid Test","First Watering Hole > Paynes Ford > Nelson-Tasman > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/108013795/acid-test,3.2,-1,Boulder,V5,1,,-40.8387,172.80119
"Think Tank","Quantum Field > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106418573/think-tank,3.2,-1,Boulder,V4,1,9,-43.2294,171.7142
"Fickle Finger of Fate","Spittle Hill > Castle Hill > Canterbury > South Island > New Zealand > Oceania > International",https://www.mountainproject.com/route/106113885/fickle-finger-of-fate,2.9,-1,Boulder,V1,1,5,-43.22559,171.71266
"Wealthy White Whales","Samabe beach > Bali > Indonesia > Oceania > International",https://www.mountainproject.com/route/117385183/wealthy-white-whales,3.0,-1,Boulder,V1,1,9,-8.83426,115.21344
