Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Monkey Swing","Downstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110525936/monkey-swing,3.6,-1,Boulder,"V5 PG13",1,12,41.32193,-81.61652
Tarantula,"Dillon Lakeside > Central Ohio > Ohio",https://www.mountainproject.com/route/114800854/tarantula,4.0,-1,Boulder,V5,1,15,40.01873,-82.09035
Psych,"Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/117708422/psych,3.9,-1,Boulder,V6,1,18,40.06813,-82.26284
Snowblind,"Dillon Lakeside > Central Ohio > Ohio",https://www.mountainproject.com/route/115123281/snowblind,4.0,-1,Boulder,"V7- PG13",1,15,40.01873,-82.09035
"Shark Week","Crinoid Cove > Rusty Ravine > MRG Southwest (aka Taylor Property) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/114303486/shark-week,3.4,-1,Boulder,V4,1,,39.915,-83.86553
"Lukewarm Sausage","Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113256650/lukewarm-sausage,2.9,-1,Boulder,V3,1,,39.91506,-83.85918
"Randy Traverse","Stone Church > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/114800539/randy-traverse,4.0,-1,Boulder,V-easy,1,4,40.12308,-81.95956
"The Art of Zen","Viaduct Park Bouldering > Viaduct Park > Northeast Ohio > Ohio",https://www.mountainproject.com/route/111865514/the-art-of-zen,4.0,-1,Boulder,V2,1,10,41.3846,-81.53297
"Sunshine Arete","Sunshine Valley > Hocking Hills State Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/109959756/sunshine-arete,4.0,-1,Boulder,V3,1,15,39.45605,-82.55801
"Journey to the Sun","Moonlight Buttress > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105994068/journey-to-the-sun,4.0,-1,Boulder,"V5+ R",1,20,41.2213,-81.6995
"Bird's Nest","Commitment Boulder > Trailer Park Boulders > Athens > Southeast Ohio > Ohio",https://www.mountainproject.com/route/106600819/birds-nest,4.0,-1,Boulder,V4,1,15,39.9603,-83.0127
"The POO arete","Downstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110527267/the-poo-arete,3.5,-1,Boulder,V2+,1,8,41.32193,-81.61652
"Fight or Flight","Midstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105995197/fight-or-flight,3.7,-1,Boulder,V7,1,15,41.3205,-81.6182
"Eco Terrorist","Downstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110525906/eco-terrorist,4.0,-1,Boulder,"V10+ PG13",1,14,41.32193,-81.61652
"The EGG","Downstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110527278/the-egg,4.0,-1,Boulder,V9+,1,7,41.32193,-81.61652
"Cascada Traverse","Cascada Boulders > Hocking Hills State Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/109949774/cascada-traverse,4.0,-1,Boulder,V3,1,20,39.45551,-82.56053
"Eagle Powers","The Pit > Great Seal State Park > Southeast Ohio > Ohio",https://www.mountainproject.com/route/117890870/eagle-powers,4.0,-1,Boulder,V4,1,12,39.38518,-82.92768
"Fish Hook","Sand Hill > Great Seal State Park > Southeast Ohio > Ohio",https://www.mountainproject.com/route/117890356/fish-hook,4.0,-1,Boulder,V4-,1,15,39.38505,-82.92684
"illusions of grandeur","The Hanger > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110573167/illusions-of-grandeur,4.0,-1,Boulder,"V9+ PG13",1,15,41.3205,-81.6182
#AdoptDontShop,"The Pit > Great Seal State Park > Southeast Ohio > Ohio",https://www.mountainproject.com/route/117731123/adoptdontshop,4.0,-1,Boulder,V3-,1,10,39.38518,-82.92768
Tecumseh,"The Pit > Great Seal State Park > Southeast Ohio > Ohio",https://www.mountainproject.com/route/117719835/tecumseh,4.0,-1,Boulder,V2+,1,12,39.38518,-82.92768
Patience,"Sand Hill > Great Seal State Park > Southeast Ohio > Ohio",https://www.mountainproject.com/route/117698639/patience,4.0,-1,Boulder,V3-,1,13,39.38505,-82.92684
"Blood Gnome (Stand Start)","Upstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/106641829/blood-gnome-stand-start,4.0,-1,Boulder,V5,1,,41.3196,-81.6213
"Racist Arete","Upstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/106641380/racist-arete,3.7,-1,Boulder,V7,1,,41.3196,-81.6213
"Lucifers Ledge","Sunshine Valley > Hocking Hills State Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/116789913/lucifers-ledge,4.0,-1,Boulder,V2,1,12,39.45605,-82.55801
"You don't deserve this big Toblerone","Big Toblerone > Bears Den Cabin > Mill Creek MetroParks > Northeast Ohio > Ohio",https://www.mountainproject.com/route/116656051/you-dont-deserve-this-big-toblerone,4.0,-1,Boulder,V4,1,9,41.08368,-80.69259
"Just one more","Auttie’s Boulders > Central Ohio > Ohio",https://www.mountainproject.com/route/117585391/just-one-more,4.0,-1,Boulder,V4,1,14,40.29282,-81.87166
TrillZilla,"Dillon Lakeside > Central Ohio > Ohio",https://www.mountainproject.com/route/114810672/trillzilla,4.0,-1,Boulder,V3,1,12,40.01873,-82.09035
"Perfect Sunday","Downstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/111388815/perfect-sunday,4.0,-1,Boulder,"V6- PG13",1,15,41.32193,-81.61652
Unknown,"Sunshine Valley > Hocking Hills State Forest > Southeast Ohio > Ohio",https://www.mountainproject.com/route/116807802/unknown,4.0,-1,Boulder,V3,1,10,39.45605,-82.55801
"The Arrow of Light","Downstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110499541/the-arrow-of-light,4.0,-1,Boulder,V4,1,10,41.32193,-81.61652
"Tick Tock Traverse","Tinkerbell Boulder > Block Yard Boulders > MRG Southwest (aka Taylor Property) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/115434733/tick-tock-traverse,4.0,-1,Boulder,V1-2,1,60,39.91567,-83.8638
"Afternoon Delight","Brady’s Bluff > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/114810405/afternoon-delight,4.0,-1,Boulder,V2,1,20,40.01041,-81.97361
"Indian’s Crack","Auttie’s Boulders > Central Ohio > Ohio",https://www.mountainproject.com/route/117585886/indians-crack,4.0,-1,Boulder,V2,1,12,40.29282,-81.87166
"The Star Arete","Downstream > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/111400632/the-star-arete,4.0,-1,Boulder,V5,1,10,41.32193,-81.61652
"Gieco CaveMans Cave","Berea Falls > Northeast Ohio > Ohio",https://www.mountainproject.com/route/112232091/gieco-cavemans-cave,4.0,-1,Boulder,V3,1,13,41.37798,-81.86573
"Hang line","The Hanger > Chippewa Creek > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110573156/hang-line,4.0,-1,Boulder,"V7 R",1,18,41.3205,-81.6182
"Where the Sidewalk Ends","Cuyahoga Falls Gorge > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109717448/where-the-sidewalk-ends,4.0,-1,Boulder,V3,1,10,41.12369,-81.50637
"The Spider Dojo","Viaduct Park Bouldering > Viaduct Park > Northeast Ohio > Ohio",https://www.mountainproject.com/route/111865547/the-spider-dojo,4.0,-1,Boulder,V7,1,12,41.3846,-81.53297
"Dr. Jones","Viaduct Park Bouldering > Viaduct Park > Northeast Ohio > Ohio",https://www.mountainproject.com/route/111865477/dr-jones,4.0,-1,Boulder,V8+,1,10,41.3846,-81.53297
"Temple of Hank","Viaduct Park Bouldering > Viaduct Park > Northeast Ohio > Ohio",https://www.mountainproject.com/route/111865528/temple-of-hank,4.0,-1,Boulder,V5,1,14,41.3846,-81.53297
"Master Slabster","Baker Run > Marietta > Southeast Ohio > Ohio",https://www.mountainproject.com/route/113234127/master-slabster,4.0,-1,Boulder,V3+,1,20,39.4645,-81.3224
"Secret Sandbox Area","Cuyahoga Falls Gorge > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109669715/secret-sandbox-area,4.0,-1,Boulder,V1,1,100,41.12369,-81.50637
"Jungle Fever","The Lounge > Mosquito Alley > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110536441/jungle-fever,4.0,-1,Boulder,"V5+ R",1,15,41.23301,-81.4927
Krak,"Cuyahoga Falls Gorge > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109717463/krak,4.0,-1,Boulder,V1,1,20,41.12369,-81.50637
Zorton,"Cuyahoga Falls Gorge > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109717484/zorton,4.0,-1,Boulder,V2,1,20,41.12369,-81.50637
"The Sting","The Bonsai Wall Area > Mosquito Alley > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110538751/the-sting,4.0,-1,Boulder,V9,1,8,41.23186,-81.49196
"Andrew's Traverse","The Back Alley > Mosquito Alley > Northeast Ohio > Ohio",https://www.mountainproject.com/route/110536646/andrews-traverse,4.0,-1,Boulder,V9,1,10,41.18157,-81.47861
Calculus,"Cuyahoga Falls Glens > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109742903/calculus,4.0,-1,Boulder,V1,1,50,41.11953,-81.49256
"Gamma Ray","Cuyahoga Falls Gorge > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109717413/gamma-ray,4.0,-1,Boulder,V1,1,50,41.12369,-81.50637
Ironface,"Cuyahoga Falls Glens > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109743027/ironface,4.0,-1,Boulder,V1,1,50,41.11953,-81.49256
"Diff EQ","Cuyahoga Falls Glens > Northeast Ohio > Ohio",https://www.mountainproject.com/route/109742907/diff-eq,4.0,-1,Boulder,V0,1,50,41.11953,-81.49256
Garburator,"Trash Shoot Area > MRG Southwest (aka Taylor Property) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/118062239/garburator,4.0,-1,Boulder,V0,1,10,39.91483,-83.86434
