Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Orangutang Swang","Purgatory > Zen Pen > Oklahoma",https://www.mountainproject.com/route/108884031/orangutang-swang,3.9,-1,Boulder,V4,1,20,36.1334,-96.4023
"The Oklahoma Panhandler","Crab Eyes Bouldering > Crab Eyes > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/106626787/the-oklahoma-panhandler,4.0,-1,Boulder,V6,1,1718,34.72235,-98.74612
"Geometry Class","45 Wall > Osage Hills > Oklahoma",https://www.mountainproject.com/route/112485321/geometry-class,4.0,-1,Boulder,V7,1,,36.74307,-96.18116
"Kill Bill Vol. 2","Zen Pen Area > Zen Pen > Oklahoma",https://www.mountainproject.com/route/111191415/kill-bill-vol-2,3.6,-1,Boulder,V7,1,15,36.13557,-96.40219
"Munge Lunge","Munge Lunge Boulder > Cedar Valley > Quartz Mountain > Oklahoma",https://www.mountainproject.com/route/105986523/munge-lunge,3.5,-1,Boulder,V3+,1,,34.8913,-99.3014
"Drive by Crimping","Lost Dome Bouldering > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/108729213/drive-by-crimping,4.0,-1,Boulder,V7,1,15,34.72319,-98.74925
"A Special Joint","Blackout Boulder > Pear and Apple (Bouldering) > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105986500/a-special-joint,4.0,-1,Boulder,V3,1,,34.72315,-98.73091
"The Wave","The Smoking Section > Pear and Apple (Bouldering) > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105986664/the-wave,4.0,-1,Boulder,V6,1,,34.72233,-98.73097
"Got Milk","Little to Nothing Wall > Autobahn Area (Main Chandler) > Chandler Park > Oklahoma",https://www.mountainproject.com/route/105929200/got-milk,4.0,-1,Boulder,V4,1,,36.1311,-96.0758
"Crag Booty","Upper Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/116591669/crag-booty,4.0,-1,Boulder,V3,1,10,34.746,-98.5316
"Death of a Salesman","Shotgun > Oklahoma",https://www.mountainproject.com/route/115454480/death-of-a-salesman,4.0,-1,Boulder,V7-,1,15,36.15206,-96.16645
"Big Buddha","Little to Nothing Wall > Autobahn Area (Main Chandler) > Chandler Park > Oklahoma",https://www.mountainproject.com/route/115323292/big-buddha,4.0,-1,Boulder,"V5- R",1,25,36.1311,-96.0758
"Glenn's Dance Floor","Purgatory > Zen Pen > Oklahoma",https://www.mountainproject.com/route/113833356/glenns-dance-floor,4.0,-1,Boulder,V7,1,18,36.1334,-96.4023
"Gollum’s Rave","Horse Coral Face > Robbers Cave State Park > Oklahoma",https://www.mountainproject.com/route/114159347/gollums-rave,4.0,-1,Boulder,"V8+ PG13",1,30,35.00692,-95.33776
"Pepsi Challenge","Pepsi Wall > Autobahn Area (Main Chandler) > Chandler Park > Oklahoma",https://www.mountainproject.com/route/115318010/pepsi-challenge,4.0,-1,Boulder,V6,1,,36.1311,-96.0758
"Learning to Fly","Purgatory > Zen Pen > Oklahoma",https://www.mountainproject.com/route/106852920/learning-to-fly,4.0,-1,Boulder,V7-8,1,20,36.1334,-96.4023
Shedu,"The Labyrinth > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/106999245/shedu,4.0,-1,Boulder,V5-6,1,15,34.7108,-98.6233
"The Karman Line","The Labyrinth > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/106999347/the-karman-line,4.0,-1,Boulder,V8-9,1,15,34.7108,-98.6233
"(lip traverse)","Guardian Boulder (AKA A-frame boulder) > Pear and Apple (Bouldering) > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105986417/lip-traverse,4.0,-1,Boulder,V7-8,1,,34.72526,-98.73081
"Jungle Love","Jungle Boulders > Pear and Apple (Bouldering) > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105986627/jungle-love,4.0,-1,Boulder,V4,1,,34.72186,-98.73095
Monstradomus,"The Labyrinth > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/106999289/monstradomus,4.0,-1,Boulder,V3-4,1,10,34.7108,-98.6233
"Attic Arete","The Attic > Pear and Apple (Bouldering) > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105986542/attic-arete,4.0,-1,Boulder,V3,1,,34.72315,-98.73091
"Acid Undertow","The Labyrinth > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/106999324/acid-undertow,4.0,-1,Boulder,V4-5,1,15,34.7108,-98.6233
"Classic Bombastic","The Waves > Zen Pen > Oklahoma",https://www.mountainproject.com/route/105989698/classic-bombastic,4.0,-1,Boulder,V5,1,,36.13749,-96.40169
"Tin Man","Pepsi Wall > Autobahn Area (Main Chandler) > Chandler Park > Oklahoma",https://www.mountainproject.com/route/117983759/tin-man,4.0,-1,Boulder,V4+,1,,36.1311,-96.0758
"Buttermilk Moustache","East Chandler > Chandler Park > Oklahoma",https://www.mountainproject.com/route/117971687/buttermilk-moustache,4.0,-1,Boulder,V5+,1,20,36.13213,-96.07358
"Pride of the Jungle","Jungle Boulders > Pear and Apple (Bouldering) > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105986612/pride-of-the-jungle,3.8,-1,Boulder,V3,1,,34.72186,-98.73095
Ordeal,"Cub Scout Wall > Autobahn Area (Main Chandler) > Chandler Park > Oklahoma",https://www.mountainproject.com/route/107677280/ordeal,3.7,-1,Boulder,V4,1,20,36.1311,-96.0758
"Sam and the Dial Tones","Disease Wall > Autobahn Area (Main Chandler) > Chandler Park > Oklahoma",https://www.mountainproject.com/route/105988118/sam-and-the-dial-tones,3.8,-1,Boulder,V6,1,,36.1311,-96.0758
"Triple Stack Left","Stack Boulder > The Roadside Boulders > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/108972865/triple-stack-left,3.4,-1,Boulder,V3,1,15,34.71476,-98.67324
"Crime Stoner","Crux Wall > Autobahn Area (Main Chandler) > Chandler Park > Oklahoma",https://www.mountainproject.com/route/116654298/crime-stoner,3.7,-1,Boulder,V2+,1,15,36.1311,-96.0758
"No Holds BBQ","Zen Pen Area > Zen Pen > Oklahoma",https://www.mountainproject.com/route/105989581/no-holds-bbq,3.3,-1,Boulder,V4-,1,,36.13557,-96.40219
"The Nostril","Purgatory > Zen Pen > Oklahoma",https://www.mountainproject.com/route/114085182/the-nostril,3.7,-1,Boulder,V8,1,,36.1334,-96.4023
"Steak Dinner","Loop Trail Cliffband > Osage Hills > Oklahoma",https://www.mountainproject.com/route/112485354/steak-dinner,3.7,-1,Boulder,V8,1,,36.73495,-96.19188
Nemesis,"45 Wall > Osage Hills > Oklahoma",https://www.mountainproject.com/route/112485338/nemesis,3.7,-1,Boulder,V4,1,,36.74307,-96.18116
