Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Octernal,"The Garden Boulders > The Garden > Willamette Valley > Oregon",https://www.mountainproject.com/route/106298323/octernal,3.9,-1,Boulder,V8-,1,25,44.44069,-122.57549
Trask,"Main Forest > Carver Bouldering > Carver > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/108400109/trask,3.3,-1,Boulder,V0,1,18,45.23737,-120.18337
"Triangle Face","Main Forest > Carver Bouldering > Carver > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/106405917/triangle-face,3.8,-1,Boulder,V7,1,10,45.23737,-120.18337
"Classic Overhang","Main Forest > Carver Bouldering > Carver > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/107467020/classic-overhang,3.0,-1,Boulder,V3,1,10,45.23737,-120.18337
"The Siren","The Garden Boulders > The Garden > Willamette Valley > Oregon",https://www.mountainproject.com/route/106471919/the-siren,3.9,-1,Boulder,V5,1,10,44.44069,-122.57549
"The Raven","Full House Boulder > Oasis Boulders > Lost Lake Boulders > Mt. Hood > Oregon",https://www.mountainproject.com/route/109557582/the-raven,3.9,-1,Boulder,V3,1,18,45.49875,-121.84406
"The Big Easy","The Depot > Bend Area > Central Oregon Bouldering > Central Oregon > Oregon",https://www.mountainproject.com/route/111763641/the-big-easy,3.8,-1,Boulder,V1,1,25,44.03134,-121.33324
"The Brain","The Brain Boulder > Widgi Right > Widgi Creek > Cascade Lakes Highway > Bend Area > Central Oregon Bouldering > Central Oregon > Oregon",https://www.mountainproject.com/route/113843695/the-brain,3.8,-1,Boulder,V1,1,15,44.27996,-121.53979
"The Wizard","The Depot > Bend Area > Central Oregon Bouldering > Central Oregon > Oregon",https://www.mountainproject.com/route/111763606/the-wizard,3.7,-1,Boulder,V7,1,20,44.03134,-121.33324
"Half Baked","The Garden Boulders > The Garden > Willamette Valley > Oregon",https://www.mountainproject.com/route/114952000/half-baked,4.0,-1,Boulder,V6,1,10,44.44069,-122.57549
"Gut Crunch","Bonzi Boulders > Carver Bouldering > Carver > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/107086865/gut-crunch,2.8,-1,Boulder,V5,1,6,45.3919,-122.49932
"Classic column","Main Smith Rock Area > Smith Rock Bouldering > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/116252727/classic-column,4.0,-1,Boulder,V1,1,17,44.3659,-121.14255
Zephyr,"The Garden Boulders > The Garden > Willamette Valley > Oregon",https://www.mountainproject.com/route/114951903/zephyr,4.0,-1,Boulder,V6,1,15,44.44069,-122.57549
"Teenage libertarians","The 4.5 boulder > Redneck Rivierra > Quartzville Scenic Byway > Willamette Valley > Oregon",https://www.mountainproject.com/route/113325335/teenage-libertarians,4.0,-1,Boulder,V4,1,10,44.56848,-122.40596
"Widgi Face","Widgi Face Boulder > Widgi Left > Widgi Creek > Cascade Lakes Highway > Bend Area > Central Oregon Bouldering > Central Oregon > Oregon",https://www.mountainproject.com/route/117302909/widgi-face,4.0,-1,Boulder,V3,1,18,44.00642,-121.38899
"Orange Marmalade","Orange Marmalade Boulder > Widgi Left > Widgi Creek > Cascade Lakes Highway > Bend Area > Central Oregon Bouldering > Central Oregon > Oregon",https://www.mountainproject.com/route/117302937/orange-marmalade,4.0,-1,Boulder,V2,1,18,44.00642,-121.38899
"The Phoenix","The Skye Stone > Rewilding Boulders > Lost Lake Boulders > Mt. Hood > Oregon",https://www.mountainproject.com/route/109597146/the-phoenix,4.0,-1,Boulder,"V2 PG13",1,30,45.49723,-121.84328
