Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Little Fluffy Clouds","Little Fluffy Clouds Area > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107954422/little-fluffy-clouds,4.0,-1,Boulder,V5,1,20,40.48412,-75.22046
Porcelain,"Upper Matrix > The Matrix Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106763196/porcelain,3.8,-1,Boulder,V3,1,15,40.24466,-76.45092
"Colflesh Direct","Colflesh Boulder > Colflesh Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106955967/colflesh-direct,3.2,-1,Boulder,V5,1,15,40.23746,-76.45566
"Smiley Face","Smiley Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106752727/smiley-face,3.0,-1,Boulder,V4,1,15,40.23954,-76.45424
Bubblegum,"Bubblegum > Hanger 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107478393/bubblegum,3.1,-1,Boulder,V3,1,10,40.48224,-75.2238
"The Pyramid","Pyramid Area > Governor Stable > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107420350/the-pyramid,3.6,-1,Boulder,V1,1,20,40.12818,-76.69891
"Year of the Dragon","Year of the Dragon > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107027520/year-of-the-dragon,4.0,-1,Boulder,V6,1,8,40.24502,-76.45072
"Body Snap","Body Snap > Colflesh Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107938918/body-snap,3.1,-1,Boulder,V4,1,,40.23703,-76.45583
"Serenity Crack","Prow Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106748974/serenity-crack,3.3,-1,Boulder,V0,1,15,40.243,-76.45189
Fabulous,"The 45 Degree Boulder > 45 Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106937180/fabulous,3.1,-1,Boulder,V4,1,12,40.23811,-76.45666
"Jenn Savage","Colflesh Boulder > Colflesh Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106746618/jenn-savage,3.0,-1,Boulder,V2,1,10,40.23746,-76.45566
"Poison Ivy","Colflesh Boulder > Colflesh Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106758876/poison-ivy,2.9,-1,Boulder,V1+,1,20,40.23746,-76.45566
"Bubblegum Face","Bubblegum > Hanger 18 > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107478422/bubblegum-face,2.7,-1,Boulder,V0+,1,15,40.48224,-75.2238
"Help Meat","Box Boulders > Shamu Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106760307/help-meat,2.8,-1,Boulder,V3+,1,10,40.24021,-76.45505
Cobra,"Breadloaf & Immediate Vicinity > Governor Stable > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107462946/cobra,3.8,-1,Boulder,V5,1,12,40.12987,-76.6964
Overlord,"Wave Boulders > Shamu Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107924107/overlord,3.6,-1,Boulder,V2,1,7,40.23949,-76.45525
3-Star,"3-Star > Caves Trail > Haycock Mountain (Nockamixon) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107434852/3-star,3.9,-1,Boulder,V1,1,20,40.486,-75.21733
"The Original Route","Highball > Highball Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107023720/the-original-route,3.5,-1,Boulder,V3-4,1,18,40.24131,-76.45136
Islander,"Prow Area > Governor Dick Park (aka Mount Gretna) > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107938124/islander,3.8,-1,Boulder,V7-8,1,,40.243,-76.45189
