Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Quiet Buddhist","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106833001/the-quiet-buddhist,3.5,-1,Boulder,V3,1,12,41.9053,-71.4356
"Loadies Zen","Try Again Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106666199/loadies-zen,3.6,-1,Boulder,V6+,1,,41.89592,-71.43158
"Peace Dove","Peace Dove Boulder > Peace Dove Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106729910/peace-dove,3.4,-1,Boulder,V3,1,12,41.8946,-71.4301
"The Wave","Great Slab / Wave Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106731165/the-wave,3.3,-1,Boulder,V2,1,20,41.8959,-71.4337
"The Pond Cave Traverse","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106832975/the-pond-cave-traverse,3.3,-1,Boulder,V4,1,15,41.9053,-71.4356
"Iron Cross","Iron Cross Boulder > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106666248/iron-cross,3.1,-1,Boulder,V4,1,,41.8976,-71.4339
"Neil's Lunge","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106732324/neils-lunge,3.0,-1,Boulder,V4,1,12,41.8976,-71.4341
"Try Again","Try Again Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106666187/try-again,2.9,-1,Boulder,V5,1,,41.89592,-71.43158
"Heart of Glass","Heart Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106729777/heart-of-glass,3.4,-1,Boulder,V4,1,12,41.8986,-71.4351
"Static Heart","Lower Heart > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107430548/static-heart,2.9,-1,Boulder,V3,1,10,41.89883,-71.43483
"Cave Warm Up","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106732340/cave-warm-up,2.7,-1,Boulder,V0,1,12,41.8976,-71.4341
"Mack's Traverse","Mack's traverse > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106706293/macks-traverse,2.6,-1,Boulder,V2+,1,25,41.8976,-71.4339
"Sit Down Traverse","Split Rock > Sit Down area / Druid's Circle > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106733863/sit-down-traverse,3.2,-1,Boulder,V5,1,20,41.90286,-71.43395
"Cave Roof","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106732336/cave-roof,2.4,-1,Boulder,V3,1,10,41.8976,-71.4341
"The Executioner","The Tombstone > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106705276/the-executioner,3.7,-1,Boulder,V5,1,15,41.89459,-71.43703
"Beginners Delight","Iron Cross Boulder > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106666273/beginners-delight,2.3,-1,Boulder,V0,1,,41.8976,-71.4339
"Hat's Off","The Pedestal Boulder > Sit Down area / Druid's Circle > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106733895/hats-off,3.0,-1,Boulder,V5+,1,,41.90312,-71.43384
"Sit Down Problem","Split Rock > Sit Down area / Druid's Circle > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106733854/sit-down-problem,2.5,-1,Boulder,V2,1,7,41.90286,-71.43395
"Mack's Crack","Mack's traverse > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106882748/macks-crack,2.3,-1,Boulder,V0+,1,10,41.8976,-71.4339
"Leap Frog","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106833877/leap-frog,3.6,-1,Boulder,V7,1,12,41.9053,-71.4356
"Who Needs Hueco","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106837496/who-needs-hueco,3.3,-1,Boulder,V8,1,8,41.9053,-71.4356
"Pete's Arete","Try Again Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106666226/petes-arete,2.8,-1,Boulder,V1,1,,41.89592,-71.43158
"New Dimension","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106882724/new-dimension,2.8,-1,Boulder,V7,1,14,41.8976,-71.4341
"Cave Overhang","Warm Up Cave > Warm Up Area aka The Tomato Overhangs / Mack'sTraverse > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106732347/cave-overhang,2.4,-1,Boulder,V4,1,12,41.8976,-71.4341
"Dave's Crank","Split Rock > Sit Down area / Druid's Circle > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107443549/daves-crank,3.0,-1,Boulder,V2,1,10,41.90286,-71.43395
"The Lost Problem (aka Suicide Girls?)","Split Rock > Sit Down area / Druid's Circle > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107443568/the-lost-problem-aka-suicide-girls,3.4,-1,Boulder,V2+,1,,41.90286,-71.43395
"Pond Cave Arete","Pond Cave > Pond Cave Area > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106833870/pond-cave-arete,2.7,-1,Boulder,V3,1,10,41.9053,-71.4356
"Ricky Raccoon","Ship's Prow > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/107672477/ricky-raccoon,2.3,-1,Boulder,V3,1,5,41.8963,-71.4326
Diesel,"Try Again Boulder > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106666205/diesel,3.3,-1,Boulder,V8-,1,,41.89592,-71.43158
"Back in the Saddle","Horse Cave > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/106720309/back-in-the-saddle,3.0,-1,Boulder,V6-,1,18,41.89936,-71.43834
