Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Windshield Wiper","Quebrada Llaca [Bouldering] > Cordillera Blanca > Peru > South America > International",https://www.mountainproject.com/route/106357916/windshield-wiper,4.0,-1,"Boulder, Alpine",V4,1,,-9.35156,-77.40971
"The Heist","Quebrada Llaca [Bouldering] > Cordillera Blanca > Peru > South America > International",https://www.mountainproject.com/route/106357886/the-heist,4.0,-1,"Boulder, Alpine",V6,1,,-9.35156,-77.40971
Cubism,"Cubism Boulder > San Martin Bouldering > Banos Zoologico Sport > Ecuador > South America > International",https://www.mountainproject.com/route/116772768/cubism,4.0,-1,Boulder,V2+,1,10,-1.39562,-78.44029
"El Rino","Boulder Field > Hatun Machay > Huaraz > Peru > South America > International",https://www.mountainproject.com/route/110067036/el-rino,4.0,-1,Boulder,V5,1,25,-10.0888,-77.349
"el huevo","Unsorted Routes > La Mojarra - Cañon del Chicamocha > Colombia > South America > International",https://www.mountainproject.com/route/109419712/el-huevo,4.0,-1,Boulder,V8,1,10,6.7746,-73.0874
"Bitch Slap","Piedra de la iglesia area > Constitución > Chile > South America > International",https://www.mountainproject.com/route/107940114/bitch-slap,4.0,-1,Boulder,V2,1,7,-35.3286,-72.4335
"Gringos y Chinos","Quebrada Llaca [Bouldering] > Cordillera Blanca > Peru > South America > International",https://www.mountainproject.com/route/106357942/gringos-y-chinos,3.5,-1,"Boulder, Alpine",V6,1,,-9.35156,-77.40971
"Sun Stroked","Quebrada Llaca [Bouldering] > Cordillera Blanca > Peru > South America > International",https://www.mountainproject.com/route/106357869/sun-stroked,3.0,-1,"Boulder, Alpine",V3,1,,-9.35156,-77.40971
"Hang Ten","Barbados > South America > International",https://www.mountainproject.com/route/115389566/hang-ten,3.0,-1,Boulder,V5,1,,13.21337,-59.52077
"Battle of the Bulge","The Bulge > San Martin Bouldering > Banos Zoologico Sport > Ecuador > South America > International",https://www.mountainproject.com/route/116773162/battle-of-the-bulge,3.0,-1,Boulder,V6,1,10,-1.39511,-78.44029
"In the Mouth","Whale Boulder > San Martin Bouldering > Banos Zoologico Sport > Ecuador > South America > International",https://www.mountainproject.com/route/116772827/in-the-mouth,3.0,-1,Boulder,V3+,1,8,-1.39455,-78.43898
"Whale Project","Whale Boulder > San Martin Bouldering > Banos Zoologico Sport > Ecuador > South America > International",https://www.mountainproject.com/route/116772878/whale-project,3.0,-1,Boulder,V7+,1,12,-1.39455,-78.43898
Closer,"The Bulge > San Martin Bouldering > Banos Zoologico Sport > Ecuador > South America > International",https://www.mountainproject.com/route/116773094/closer,3.0,-1,Boulder,V2,1,8,-1.39511,-78.44029
"In the Arms of the Sea","Barbados > South America > International",https://www.mountainproject.com/route/111674705/in-the-arms-of-the-sea,3.0,-1,Boulder,V5,1,40,13.21337,-59.52077
"Splitters Do Exist!","Canine Cave > Valle Trinidad > Valle Cochamó > Chile > South America > International",https://www.mountainproject.com/route/107111034/splitters-do-exist,3.0,-1,"Trad, Aid, Boulder","5.11 V3 A0",1,,-41.4364,-72.1082
"Reef Wave","Barbados > South America > International",https://www.mountainproject.com/route/111674497/reef-wave,3.0,-1,Boulder,V0,1,20,13.21337,-59.52077
"Inca Arete","Inca Arete > Peru > South America > International",https://www.mountainproject.com/route/111961040/inca-arete,3.0,-1,Boulder,V4,1,10,-13.12433,-72.58809
"The Sting","Quebrada Llaca [Bouldering] > Cordillera Blanca > Peru > South America > International",https://www.mountainproject.com/route/106357911/the-sting,3.0,-1,"Boulder, Alpine",V8-,1,,-9.35156,-77.40971
"Chutes and Ladders","Cubism Boulder > San Martin Bouldering > Banos Zoologico Sport > Ecuador > South America > International",https://www.mountainproject.com/route/111515935/chutes-and-ladders,3.0,-1,Boulder,V2,1,12,-1.39562,-78.44029
"La Cueva Negra","Punta Negra > Lima South > Peru > South America > International",https://www.mountainproject.com/route/107890871/la-cueva-negra,3.0,-1,Boulder,V4,1,,-12.3681,-76.7987
"Sí, Creo","Quebrada Llaca [Bouldering] > Cordillera Blanca > Peru > South America > International",https://www.mountainproject.com/route/106357923/si-creo,3.0,-1,"Boulder, Alpine",V7,1,,-9.35156,-77.40971
"Pica Pica","ABC > Parque Recreacional Cuevas del Indio (La Guairita) > Distrito Capital > Venezuela > South America > International",https://www.mountainproject.com/route/108085710/pica-pica,3.0,-1,Boulder,"5.7 V0",1,,6.6646,-65.6543
Cicatriz,"Pucusana > Lima South > Peru > South America > International",https://www.mountainproject.com/route/107935440/cicatriz,3.0,-1,Boulder,V1-2,1,,-12.4795,-76.8021
"The Truth","La Playa Entrada > Lima South > Peru > South America > International",https://www.mountainproject.com/route/107894481/the-truth,3.0,-1,Boulder,V3,1,,-12.5134,-76.7904
