Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Thoracic Shart","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111838390/thoracic-shart,3.0,-1,Boulder,V4+,1,12,34.55822,-80.90679
"Cervical Contusion","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111838424/cervical-contusion,3.0,-1,Boulder,V4,1,12,34.55822,-80.90679
"Can't Sit Here","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111838074/cant-sit-here,3.0,-1,Boulder,V3,1,8,34.55822,-80.90679
"Full Frontal Lobes","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111962425/full-frontal-lobes,3.0,-1,Boulder,V2-,1,8,34.55822,-80.90679
Cerebral,"Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111962392/cerebral,3.0,-1,Boulder,V1-,1,8,34.55822,-80.90679
Lovely,"Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111838735/lovely,3.0,-1,Boulder,V2+,1,12,34.55822,-80.90679
"Toro Y Tu Amante (Beautiful Traverse)","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/118078559/toro-y-tu-amante-beautiful-traverse,3.0,-1,Boulder,V3-4,1,8,34.55822,-80.90679
Executioner,"Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111837072/executioner,2.5,-1,Boulder,V4+,1,10,34.55822,-80.90679
"Dirty Dan's Great Misadventure","Savannah River Mini Quarry > South Carolina",https://www.mountainproject.com/route/112245118/dirty-dans-great-misadventure,2.0,-1,Boulder,V3,1,15,33.49606,-81.98987
"Off with His Head traverse","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111837156/off-with-his-head-traverse,2.0,-1,Boulder,V3,1,8,34.55822,-80.90679
Jubblies,"Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111838591/jubblies,2.0,-1,Boulder,V1,1,7,34.55822,-80.90679
"Chopping Block","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111837324/chopping-block,2.0,-1,Boulder,V3,1,8,34.55822,-80.90679
"Crisps or Chips","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111837979/crisps-or-chips,2.0,-1,Boulder,V2,1,8,34.55822,-80.90679
Hotness,"Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111962536/hotness,2.0,-1,Boulder,V2-,1,10,34.55822,-80.90679
"Offwidth Is Dead","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111836997/offwidth-is-dead,1.0,-1,Boulder,V0,1,8,34.55822,-80.90679
"Capital Funishment","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111837953/capital-funishment,1.0,-1,Boulder,V1,1,8,34.55822,-80.90679
"Clubhouse Riprap","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111838134/clubhouse-riprap,1.0,-1,Boulder,V0,1,8,34.55822,-80.90679
Seamster,"Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111837389/seamster,1.0,-1,Boulder,V3+,1,7,34.55822,-80.90679
"Clubhouse Rubble","Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111838161/clubhouse-rubble,1.0,-1,Boulder,V1-,1,7,34.55822,-80.90679
Gumball,"Rocky Creek Bouldering > South Carolina",https://www.mountainproject.com/route/111837603/gumball,0.5,-1,Boulder,V2+,1,7,34.55822,-80.90679
Workaholic,"Savannah River Mini Quarry > South Carolina",https://www.mountainproject.com/route/112370964/workaholic,-1.0,-1,Boulder,V3+,1,15,33.49606,-81.98987
