Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Seul Avec Dieu","Seul Avec Dieux Boulder > Old Baldy Frontside > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715421/seul-avec-dieu,4.0,-1,Boulder,V7,1,,43.89032,-103.45666
"Orange Roughy","Orange Roughy Boulder > Old Baldy Frontside > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715424/orange-roughy,3.7,-1,Boulder,V6,1,10,43.89,-103.45702
"Wrestling With A Buffalo","Buffalo Boulder > Old Baldy Frontside > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715388/wrestling-with-a-buffalo,3.4,-1,Boulder,V4-5,1,10,43.89,-103.45652
"The Cheat","North Nostril Cave > Irie Heights > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715547/the-cheat,3.6,-1,Boulder,V7,1,10,43.90285,-103.44932
"Classic Corner","Campground Boulder > Sylvan Lake Bouldering > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714857/classic-corner,3.6,-1,Boulder,V4,1,20,43.84625,-103.56438
Skypager,"A Tribe Called Quest Boulder > Cell One Valley > Camp Judson Road > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/108409190/skypager,3.9,-1,Boulder,V5,1,12,43.88832,-103.46459
"Vise Grips","Ugly Duckling Boulder > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106990692/vise-grips,3.9,-1,Boulder,V7,1,15,43.8853,-103.4702
"Left Yellow Wall","Campground Boulder > Sylvan Lake Bouldering > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/106825354/left-yellow-wall,3.9,-1,Boulder,V4,1,18,43.84625,-103.56438
"Central Yellow Wall","Campground Boulder > Sylvan Lake Bouldering > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714722/central-yellow-wall,3.4,-1,"TR, Boulder","V3 R",1,20,43.84625,-103.56438
"Southern Discomfort","Southern Discomfort Boulder > South Central (Main Area) > Rock Maze > Rapid City Area > South Dakota",https://www.mountainproject.com/route/105715004/southern-discomfort,3.5,-1,Boulder,V2,1,10,44.15489,-103.46849
Anomaly,"The Anomaly Boulder > Old Baldys Melon Patch > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715466/anomaly,4.0,-1,Boulder,V5,1,,43.8911,-103.4565
"The Hurt Locker","The Hurt Locker Boulder > Old Baldy Frontside > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105983031/the-hurt-locker,3.8,-1,Boulder,V3,1,,43.89,-103.45702
"The Banshee","The Banshee Boulder > Baldy's Lil-Brother > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106053667/the-banshee,4.0,-1,Boulder,V6,1,,43.8941,-103.4624
"Black Roughy aka God Is Love","God Is Love Boulder > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715523/black-roughy-aka-god-is-love,3.9,-1,Boulder,V8,1,10,43.8911,-103.4565
Isosceles,"The Obtuse Boulder > Old Baldy Frontside > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715415/isosceles,4.0,-1,Boulder,V7,1,,43.89,-103.45702
"The Warmup at the Halfways","Almost There Boulders > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105992521/the-warmup-at-the-halfways,3.0,-1,Boulder,V2,1,,43.8911,-103.4565
"Virgin Martini","Irie Heights Boulder > Irie Heights > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106571322/virgin-martini,4.0,-1,Boulder,V9,1,,43.90285,-103.44932
"Torso Fritter","Almost There Boulders > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105992489/torso-fritter,3.8,-1,Boulder,V7-8,1,,43.8911,-103.4565
"Atomic Decay","Atomic Boulder > The Manhattan Boulders > Emancipation Boulders > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106587138/atomic-decay,3.9,-1,Boulder,V7,1,,43.8631,-103.46356
"Candle Light Sleigh Ride","Cockran's Cave > Honey Moon Boulders > Sylvan Lake Bouldering > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/109384092/candle-light-sleigh-ride,4.0,-1,Boulder,V5,1,,43.85849,-103.55502
"The Prow","Seul Avec Dieux Boulder > Old Baldy Frontside > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715376/the-prow,4.0,-1,Boulder,V9-10,1,,43.89032,-103.45666
"Tastes Like Burning","North Nostril Cave > Irie Heights > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105918005/tastes-like-burning,4.0,-1,Boulder,V9,1,,43.90285,-103.44932
"Flying Tiger","TessArete Boulder > American Outlaw Boulders > Custer Bouldering > Southern Black Hills > South Dakota",https://www.mountainproject.com/route/111761484/flying-tiger,4.0,-1,Boulder,"V7 PG13",1,20,43.78441,-103.52672
"Slant Eyes","Mini Marker > Dealership Area > Emancipation Boulders > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106589747/slant-eyes,4.0,-1,Boulder,V3+,1,,43.88002,-103.4615
"What Lies Around the Corner","Lies Boulder > The Roadside Jumble > Emancipation Boulders > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106587036/what-lies-around-the-corner,4.0,-1,Boulder,V6,1,,43.8631,-103.46356
Brilliant,"Brilliant Boulder > Irie Heights > Mount Baldy > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106100238/brilliant,4.0,-1,Boulder,V8-9,1,,43.8911,-103.4565
"The roadler","Roadler Boulder > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/115399416/the-roadler,4.0,-1,Boulder,V6,1,8,44.43771,-103.87595
