Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Wave","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106032561/the-wave,3.9,-1,Boulder,V6,1,,35.24772,-85.22079
"Super Mario","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106031948/super-mario,3.7,-1,Boulder,V4,1,,35.24772,-85.22079
"Tennessee Thong","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107950727/tennessee-thong,3.9,-1,Boulder,V7,1,,35.24772,-85.22079
"Art of the Vogi","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106093504/art-of-the-vogi,3.6,-1,Boulder,V4,1,,35.24772,-85.22079
"Super Mario Extension","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/108499598/super-mario-extension,3.6,-1,Boulder,V6,1,,35.24772,-85.22079
Grimace,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107439575/grimace,3.8,-1,Boulder,V8-,1,15,35.24772,-85.22079
"Gengis Khan","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106071688/gengis-khan,3.5,-1,Boulder,V5,1,,35.24772,-85.22079
Sternum,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106521387/sternum,3.5,-1,Boulder,V5,1,,35.24772,-85.22079
Swingers,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106981186/swingers,3.4,-1,Boulder,V3-4,1,10,35.24772,-85.22079
"Red House","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107340143/red-house,3.4,-1,Boulder,V7,1,,35.24772,-85.22079
"Mystery Machine","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106350105/mystery-machine,3.4,-1,Boulder,V3,1,,35.24772,-85.22079
Shotgun,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106342577/shotgun,3.4,-1,Boulder,V6,1,,35.24772,-85.22079
Tristar,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106071696/tristar,3.4,-1,Boulder,V4,1,,35.24772,-85.22079
"White Trash","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107038290/white-trash,3.3,-1,Boulder,V5,1,12,35.24772,-85.22079
Incredarete,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107947503/incredarete,3.2,-1,Boulder,V1,1,,35.24772,-85.22079
"The Rib","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107039598/the-rib,3.4,-1,Boulder,V1,1,20,35.24772,-85.22079
"Dragon Lady","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106031954/dragon-lady,3.2,-1,Boulder,V4,1,,35.24772,-85.22079
"The Crescent","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106350095/the-crescent,3.2,-1,Boulder,V1,1,,35.24772,-85.22079
"A Face in the Crowd","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/111848102/a-face-in-the-crowd,3.1,-1,Boulder,V7,1,12,35.24772,-85.22079
"Mystery Groove","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106319645/mystery-groove,3.1,-1,Boulder,V4,1,11,35.24772,-85.22079
"Out of Africa/Face in the Crowd","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106643409/out-of-africaface-in-the-crowd,3.1,-1,Boulder,V6+,1,,35.24772,-85.22079
"Pocket Pool","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107047097/pocket-pool,3.1,-1,Boulder,V4,1,8,35.24772,-85.22079
"Pancake Mantle","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106036681/pancake-mantle,3.0,-1,Boulder,V2,1,5,35.24772,-85.22079
"Fat Cat","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106093747/fat-cat,3.0,-1,Boulder,V5,1,,35.24772,-85.22079
"The Big Much","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107327479/the-big-much,2.9,-1,Boulder,V4,1,18,35.24772,-85.22079
"Crack of doom","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106031940/crack-of-doom,3.4,-1,Boulder,V4,1,,35.24772,-85.22079
"Two Can Sam","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106350067/two-can-sam,2.9,-1,Boulder,V3,1,,35.24772,-85.22079
"Hairy Underclings","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106350088/hairy-underclings,2.9,-1,Boulder,V3,1,,35.24772,-85.22079
"Fire Crack Flake","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107303695/fire-crack-flake,2.8,-1,Boulder,V1,1,12,35.24772,-85.22079
Ribcage,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106319896/ribcage,2.8,-1,Boulder,V3-,1,,35.24772,-85.22079
"Latin for Daggers","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/106342585/latin-for-daggers,3.4,-1,Boulder,V5,1,,35.24772,-85.22079
"Storming the Castle","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107046859/storming-the-castle,3.9,-1,Boulder,"V1+ PG13",1,20,35.24772,-85.22079
"The Red House Extension","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/108027966/the-red-house-extension,3.5,-1,Boulder,V7-8,1,15,35.24772,-85.22079
"Art of the Vogi Left","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107787469/art-of-the-vogi-left,2.6,-1,Boulder,V4+,1,,35.24772,-85.22079
"Brian's Brain","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107336650/brians-brain,2.5,-1,Boulder,V1,1,15,35.24772,-85.22079
"Graham Crackers","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107044239/graham-crackers,3.4,-1,Boulder,V1,1,15,35.24772,-85.22079
"Celestial Mechanics","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107333483/celestial-mechanics,3.8,-1,Boulder,V7,1,15,35.24772,-85.22079
Spare,"Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107046888/spare,2.9,-1,Boulder,V0,1,8,35.24772,-85.22079
"Diesel Power","Stone Fort (aka Little Rock City) > Tennessee",https://www.mountainproject.com/route/107047347/diesel-power,3.2,-1,Boulder,V5+,1,6,35.24772,-85.22079
