Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Moonshine Roof (center)","Moonshine Roof > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106385730/moonshine-roof-center,4.0,-1,Boulder,V4,1,25,31.9171,-106.0391
"Nobody Here Gets Out Alive","The Grenade > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811221/nobody-here-gets-out-alive,3.9,-1,Boulder,V2,1,,31.9221,-106.0438
"Dragon Fly, AKA: Dogmatics","Dragon's Den > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105812856/dragon-fly-aka-dogmatics,3.8,-1,Boulder,V5,1,15,31.9171,-106.0391
"Ghetto Simulator","Ghetto Simulator > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106432787/ghetto-simulator,3.8,-1,Boulder,V2,1,,31.92002,-106.04598
"The Melon Patch","Scary Boulder > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106432774/the-melon-patch,3.7,-1,Boulder,V0,1,,31.9225,-106.0445
"King Cobra","The New Meadow > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105812823/king-cobra,3.6,-1,Boulder,V6,1,,31.9232,-106.0437
"T-Bone Shuffle","The Morgue > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106104321/t-bone-shuffle,3.6,-1,Boulder,V4,1,,31.92544,-106.04465
"Girls of Juarez","Girls of Juarez > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106570780/girls-of-juarez,3.6,-1,Boulder,"V4 PG13",1,15,31.9225,-106.0445
"See Spot Run","The Big Time > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106104818/see-spot-run,4.0,-1,Boulder,"V6 PG13",1,25,31.9222,-106.0434
"Lobsterclaw, AKA:Mr. Negative","The New Meadow > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811638/lobsterclaw-akamr-negative,3.5,-1,Boulder,V5,1,,31.9232,-106.0437
"The Vulgarian","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106101183/the-vulgarian,3.5,-1,Boulder,V2,1,,31.9108,-106.0372
"Warm Up Roof","Warm Up Roof > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105812893/warm-up-roof,3.5,-1,Boulder,V4,1,,31.9171,-106.0391
"Hobbit in a Blender","Dragon's Den > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105812865/hobbit-in-a-blender,3.3,-1,Boulder,V5,1,12,31.9171,-106.0391
"New Religion","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106101052/new-religion,3.5,-1,Boulder,V7,1,,31.9108,-106.0372
"Sign of the Cross","Sign of the Cross > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810762/sign-of-the-cross,3.1,-1,Boulder,V3,1,,31.9246,-106.0433
"Daily Dick Dose","Trac II > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811259/daily-dick-dose,3.1,-1,Boulder,V7,1,,31.9217,-106.0456
"Baby Face","Trac II > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811271/baby-face,3.7,-1,Boulder,V7,1,,31.9217,-106.0456
"Martini Roof short aka Baby Martini","Martini Roof area > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105811210/martini-roof-short-aka-baby-martini,3.5,-1,Boulder,V6,1,25,31.9225,-106.0445
"Hershey's Symphony","Sign of the Choss > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106412481/hersheys-symphony,3.6,-1,Boulder,"V1 PG13",1,25,31.9225,-106.0445
"The Fin","The Aircraft Carrier > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106969078/the-fin,3.8,-1,Boulder,V4,1,,31.9171,-106.0391
"Orifice Affair","Lunch Rocks > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106738416/orifice-affair,2.9,-1,Boulder,V2,1,10,31.9225,-106.0445
Denizen,"Fox's Den > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/107965914/denizen,3.7,-1,Boulder,V4,1,15,31.92384,-106.04726
Abash,"Abase Wall > Rogers Park > Lake Belton > Texas",https://www.mountainproject.com/route/106833203/abash,3.4,-1,Boulder,V3,1,15,31.16025,-97.48884
"In the Bucket of Parts","The Small Potatoes > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106420244/in-the-bucket-of-parts,2.5,-1,Boulder,V2,1,18,31.9224,-106.0433
"Men in Chains","The Small Potatoes > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/107052329/men-in-chains,2.5,-1,Boulder,V0,1,20,31.9224,-106.0433
"Backdoor Man","The Dark Heart > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106753298/backdoor-man,3.3,-1,Boulder,"V2 PG13",1,25,31.9171,-106.0391
"Jigsaw Puzzle","The Maze > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/105810776/jigsaw-puzzle,3.4,-1,Boulder,V5,1,,31.9108,-106.0372
"Star Power","Star Power > West Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/107082627/star-power,3.7,-1,Boulder,V5,1,,31.9129,-106.0456
"The Ostracizer","Dragon's Den > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105812870/the-ostracizer,2.9,-1,Boulder,V3,1,,31.9171,-106.0391
"Bawl and Chain","The Small Potatoes > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106420215/bawl-and-chain,2.6,-1,Boulder,V0+,1,18,31.9224,-106.0433
"Uncut Yogi","The Beehives > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/107028692/uncut-yogi,3.5,-1,Boulder,V6,1,15,31.9171,-106.0391
"Lip Sync","Lost Cause Boulder > Lower Lost Boulders > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106432749/lip-sync,2.9,-1,Boulder,V3,1,,31.9225,-106.0445
"That Hi-Pro Glow","Stableboy Rock and Vicinity > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/107405674/that-hi-pro-glow,3.4,-1,"Sport, Boulder",V6,1,12,31.913,-106.038
"Mexican Chicken","100 Proof Roof > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/109861770/mexican-chicken,3.8,-1,Boulder,"V6 PG13",1,,31.9222,-106.0436
"Hector in a Blender","Dragon's Den > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/105812880/hector-in-a-blender,2.9,-1,Boulder,V7-,1,15,31.9171,-106.0391
"The Maiden","Maiden Gully > East Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/107030088/the-maiden,3.9,-1,Boulder,V0,1,35,31.9171,-106.0391
"Walrus in a Blender","The Gunks > East Spur > Hueco Tanks > Texas",https://www.mountainproject.com/route/106147836/walrus-in-a-blender,2.4,-1,Boulder,V5,1,,31.9108,-106.0372
"Cast Iron","The Small Potatoes > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106950290/cast-iron,3.4,-1,Boulder,V1,1,20,31.9224,-106.0433
Jaws,"Little Cave > Rogers Park > Lake Belton > Texas",https://www.mountainproject.com/route/106879668/jaws,3.4,-1,Boulder,V1-2,1,10,31.15981,-97.48779
Skimmer,"Sign of the Cross > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106299927/skimmer,2.9,-1,Boulder,V3,1,10,31.9246,-106.0433
Abase,"Abase Wall > Rogers Park > Lake Belton > Texas",https://www.mountainproject.com/route/106990795/abase,3.3,-1,Boulder,V3,1,15,31.16025,-97.48884
