Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Wills Afire","Right Sign Area > Left Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/105880494/wills-afire,3.9,-1,Boulder,V6,1,,39.27583,-111.22354
"Planet of the Apes","Chip and Dale > New Joe's > Joe's Valley > Utah",https://www.mountainproject.com/route/106318953/planet-of-the-apes,3.8,-1,Boulder,V7-,1,12,39.30838,-111.11474
"Low Tide","Riverside Boulders > Left Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/105880763/low-tide,3.8,-1,Boulder,V6,1,,39.27864,-111.22785
Israil,"South-West End/Pink Lady Area > Moe's Valley > Saint George > Utah",https://www.mountainproject.com/route/106707592/israil,3.8,-1,Boulder,V6,1,15,37.06494,-113.63155
"Pink Lady","South-West End/Pink Lady Area > Moe's Valley > Saint George > Utah",https://www.mountainproject.com/route/108250606/pink-lady,3.7,-1,Boulder,V6,1,15,37.06494,-113.63155
"Kill by Numbers","Mine Cart Area > Left Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/107185361/kill-by-numbers,3.7,-1,Boulder,V5,1,8,39.27527,-111.2066
"Great White","Man Size > Right Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/110100932/great-white,3.7,-1,Boulder,V6,1,10,39.28916,-111.18067
"The Angler","Riverside Boulders > Left Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/105880426/the-angler,3.6,-1,Boulder,V2,1,15,39.27864,-111.22785
"Vertical Ice","Dairy Canyon > Right Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/107918149/vertical-ice,3.6,-1,Boulder,V6,1,17,39.3721,-111.22236
"Huntsman Graffiti","Sentinel Boulder > Sentinel Area > Moe's Valley > Saint George > Utah",https://www.mountainproject.com/route/108008529/huntsman-graffiti,3.6,-1,Boulder,V5,1,16,37.06927,-113.6274
"Bring the Heatwole","Heat Wall > Eden > Left Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/106594699/bring-the-heatwole,3.6,-1,Boulder,V7,1,10,39.28498,-111.20722
"Rug Rat","UMWA Boulder > Right Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/106389082/rug-rat,3.6,-1,Boulder,V5,1,15,39.30349,-111.18319
Twisted,"Copperhead Boulder > Secret Garden > Boulders - Little Cottonwood > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105940363/twisted,3.6,-1,Boulder,V4,1,12,40.57212,-111.77269
"Frosted Flakes","The Hulk > Right Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/105880487/frosted-flakes,3.5,-1,Boulder,V5,1,,39.28089,-111.17648
Surfboard,"5 Mile Boulders > Boulders - Little Cottonwood > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106219764/surfboard,3.5,-1,Boulder,V4,1,10,40.57223,-111.75618
Chips,"Chip and Dale > New Joe's > Joe's Valley > Utah",https://www.mountainproject.com/route/106318958/chips,3.4,-1,Boulder,V7,1,12,39.30838,-111.11474
"Baldwin Bash","Dairy Canyon > Right Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/107649370/baldwin-bash,3.4,-1,Boulder,V7,1,12,39.3721,-111.22236
"Standard Overhang","The Standard Overhang Boulder AKA The Fly Boulder > Gate Boulders > Boulders - Little Cottonwood > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106052006/standard-overhang,3.4,-1,Boulder,V3,1,10,40.57196,-111.75316
"Bowling Ball","Buoux Area > Right Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/105904242/bowling-ball,3.4,-1,Boulder,V4,1,12,39.28089,-111.17648
"Self Service","Self Service > New Joe's > Joe's Valley > Utah",https://www.mountainproject.com/route/106016652/self-service,3.4,-1,Boulder,V4,1,15,39.30961,-111.11551
"Pocket Rocket","Anarchy > New Joe's > Joe's Valley > Utah",https://www.mountainproject.com/route/105880701/pocket-rocket,3.3,-1,Boulder,V6-,1,,39.30712,-111.11441
Maxipad,"Dark Canyon > Right Fork > Joe's Valley > Utah",https://www.mountainproject.com/route/105904234/maxipad,3.8,-1,Boulder,V6,1,16,39.37188,-111.22258
