Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Pac-Man,"Pac Man Boulder > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106558955/pac-man,3.0,-1,Boulder,V3,1,,44.5569,-72.79405
Biscuit,"Biscuit and Gravy Boulders > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/107204031/biscuit,3.0,-1,Boulder,V2,1,,44.55695,-72.7945
"The Fin","B.F.B. > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/109069740/the-fin,3.9,-1,Boulder,"V1 PG13",1,20,44.55532,-72.79603
Primate,"Backyard Boulder > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106557541/primate,2.9,-1,Boulder,V3,1,,44.55557,-72.79598
Boomerang,"The Asteroid > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106733767/boomerang,3.2,-1,Boulder,V6,1,,44.55581,-72.79591
"Little Cottonwood","B.F.B. > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/109166018/little-cottonwood,3.6,-1,Boulder,V7,1,,44.55532,-72.79603
"The Roots","The Roots Boulder > Roots Boulder Area > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/107773478/the-roots,3.3,-1,Boulder,V5,1,20,44.5536,-72.7963
"Pulled Pork","The Asteroid > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106733336/pulled-pork,3.4,-1,Boulder,V7,1,,44.55581,-72.79591
"The Impossible Problem","Backyard Boulder > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106557699/the-impossible-problem,3.2,-1,Boulder,V8,1,,44.55557,-72.79598
"Tome's Roof","Tomes Boulder > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/109163831/tomes-roof,3.7,-1,Boulder,V6-7,1,,44.55719,-72.79367
"General Patton's Arete","Patton Boulder > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/107209259/general-pattons-arete,3.5,-1,Boulder,"V2-3 PG13",1,25,44.55708,-72.79404
"Touching the Sky","B.F.B. > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/111046459/touching-the-sky,4.0,-1,Boulder,V12,1,,44.55532,-72.79603
"The Green Egg (aka ""Green Mountain Gringo"")","Green Cave > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106734154/the-green-egg-aka-green-mountain-gringo,3.6,-1,Boulder,"V5-6 PG13",1,16,44.55686,-72.79472
"Rhode Island Ripper","RI Boulder > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106558962/rhode-island-ripper,3.4,-1,Boulder,V8,1,,44.5569,-72.79476
"The Obtuse","The Roots Boulder > Roots Boulder Area > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/109415350/the-obtuse,3.2,-1,Boulder,V1,1,25,44.5536,-72.7963
"The Sharks Fin","Shark Boulder > Boulders North > Upper West Bouldering > Bolton Bouldering > Bolton Area > Vermont",https://www.mountainproject.com/route/114959766/the-sharks-fin,4.0,-1,Boulder,V3,1,10,44.4215,-72.90019
"Bloody Sunday","The Bone Doctor > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/109201530/bloody-sunday,3.8,-1,Boulder,V10-,1,,44.5569,-72.79404
"Nemesis Traverse","The Bone Doctor > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/106558970/nemesis-traverse,2.9,-1,Boulder,V5,1,,44.5569,-72.79404
"Truth and Lies","B.F.B. > Top of the Notch Boulders > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/109477957/truth-and-lies,4.0,-1,Boulder,V11,1,15,44.55532,-72.79603
"Thrust Fault","Lone Rock Bouldering > Lone Rock Point > Vermont",https://www.mountainproject.com/route/110645142/thrust-fault,4.0,-1,Boulder,V3+,1,16,44.48805,-73.24914
Champ,"Lone Rock Bouldering > Lone Rock Point > Vermont",https://www.mountainproject.com/route/110645175/champ,4.0,-1,Boulder,V2,1,14,44.48805,-73.24914
"Moon Tower","Moon Tower Boulder > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/111957836/moon-tower,4.0,-1,Boulder,V8,1,30,44.54934,-72.79364
September,"Easy Gully Boulder > Boulders Behind the Main Parking Lot/Visitor Center > Smuggler's Notch Bouldering > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/114359913/september,4.0,-1,"Boulder, Alpine",V4,1,,44.55691,-72.79743
