Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Periscope,"Periscope Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106566425/periscope,3.4,-1,Boulder,V3,1,12,36.61245,-81.48093
"Ranger Rick (Sit)","Ranger Rick Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106734511/ranger-rick-sit,2.9,-1,Boulder,V4,1,15,36.61245,-81.48093
"True Grit","True Grit Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106483563/true-grit,3.2,-1,Boulder,V5,1,10,36.61245,-81.48093
"Highland Highball","Highland Highball > Horizon Area > Highlands > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106799730/highland-highball,3.9,-1,Boulder,V2,1,20,36.6409,-81.5056
"Front Man","A.V.P. Boulder > A.V.P. Boulders > Boneyard Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106564590/front-man,3.7,-1,Boulder,V5,1,,36.61324,-81.49537
"Ranger Rick","Ranger Rick Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106483605/ranger-rick,2.7,-1,Boulder,V0-1,1,12,36.61245,-81.48093
"Indian Outlaw","Rock House Boulder > Picnic Area Boulders > Picnic Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106779712/indian-outlaw,3.0,-1,Boulder,V3,1,13,36.62523,-81.48157
"Horizon Line","Horizon Boulder > Horizon Area > Highlands > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106483053/horizon-line,3.8,-1,Boulder,V6,1,20,36.6409,-81.5056
Moneyshot,"Roadside > McAfee's Knob > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106955170/moneyshot,4.0,-1,Boulder,V7,1,15,37.3804,-80.0899
"The Hive","Hive Boulder > 1. Overlook Area > Listening Rock Trail > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/107333030/the-hive,2.8,-1,Boulder,V3,1,14,36.62279,-81.50167
"Flying Spaghetti Monster","Olympus Boulder > Picnic Area Boulders > Picnic Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106935228/flying-spaghetti-monster,3.7,-1,Boulder,V7,1,15,36.62523,-81.48157
Thews,"Thews Boulder > Middle Boneyard > Boneyard Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106656174/thews,3.6,-1,Boulder,V6,1,11,36.61271,-81.49507
"True Grit Left","True Grit Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/106826245/true-grit-left,3.9,-1,Boulder,V5,1,13,36.61245,-81.48093
"Worm World","Second Mountain > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/112320745/worm-world,3.9,-1,Boulder,V7+,1,15,38.51753,-79.04004
"The Bird","Second Mountain > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/113624923/the-bird,4.0,-1,Boulder,V8,1,,38.51753,-79.04004
"Title Fight","Title Fight Boulder > Title Fight Area > Cascades Bouldering > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/107542416/title-fight,4.0,-1,Boulder,V5+,1,14,37.35999,-80.58823
"Moonlight Sonata","Moonlight Left > Moonlight > Moonlight > Listening Rock Trail > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/107612757/moonlight-sonata,4.0,-1,Boulder,V3,1,20,36.6122,-81.4912
"All Things Considered","Sunset Boulder > Sunset Area > Highlands > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/107623934/all-things-considered,4.0,-1,Boulder,V3,1,25,36.6333,-81.5089
"What Could Have Been","12.2 Boulder > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/112377737/what-could-have-been,4.0,-1,Boulder,"V8 PG13",1,23,37.91905,-78.96852
"The Seance","The Seance Area > AVO > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107444809/the-seance,4.0,-1,Boulder,V9,1,16,37.53545,-79.49932
"Rapunzel Syndrome","Cascadia > Cascadia Area > Cascades Bouldering > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/107478030/rapunzel-syndrome,4.0,-1,Boulder,V6-7,1,12,37.35505,-80.59643
"Inglorious Bastards","Cascadia > Cascadia Area > Cascades Bouldering > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/107459398/inglorious-bastards,4.0,-1,Boulder,V8,1,13,37.35505,-80.59643
