Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Pocket","Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107369936/the-pocket,3.6,-1,Boulder,"V4- PG13",1,,47.54186,-120.72751
"The Fridge Center","The Fridge > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106182185/the-fridge-center,3.6,-1,Boulder,V4,1,,47.54186,-120.72751
"The Real Thing","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106288755/the-real-thing,3.5,-1,Boulder,V4,1,,47.54452,-120.73355
"The Fridge Arete","The Fridge > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105802958/the-fridge-arete,3.5,-1,Boulder,V4+,1,15,47.54186,-120.72751
"The Hesitator","Barney's Rubble > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108160639/the-hesitator,3.5,-1,Boulder,V2,1,16,47.54186,-120.72751
"Sunny and Steep","Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106413627/sunny-and-steep,3.1,-1,Boulder,V2,1,10,47.54452,-120.73355
"Drugstore Cowboy","Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107352587/drugstore-cowboy,3.1,-1,Boulder,V3,1,,47.54186,-120.72751
"The Hueco Route","Mad Meadows > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107352608/the-hueco-route,3.0,-1,Boulder,V1,1,,47.54186,-120.72751
Breadline,"Forestland Boulders > ** Bouldering in Icicle Creek > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108184552/breadline,2.7,-1,Boulder,V0,1,10,47.54452,-120.73355
"The Fin","The Forest > The Beach and Forest Area > ** Bouldering in Tumwater Canyon > Tumwater Canyon > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105823102/the-fin,3.0,-1,Boulder,V2,1,10,47.59445,-120.71439
