Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Moby's Dick","Moby's Dick Area > Tilted Tree > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/112522475/mobys-dick,3.6,-1,Boulder,V3,1,,39.63411,-79.80704
"Twist Dah Hick","Tilted Tree Corridor > Tilted Tree > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/107041742/twist-dah-hick,3.9,-1,Boulder,V5,1,,39.63361,-79.80447
"Tomb Raider","Tomb Raider Area > Upper Rock City > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/107495217/tomb-raider,2.9,-1,Boulder,V3-,1,,39.63813,-79.81765
"Egyptian Root Canal","Egyptian Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/116140328/egyptian-root-canal,3.6,-1,Boulder,V5,1,,38.1536,-80.93483
Anti-Elvis,"Anti-Elvis Area > Tilted Tree > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/112814763/anti-elvis,3.3,-1,Boulder,V4,1,,39.63399,-79.80737
Helicopter,"Warm-Up Boulders > Roadside > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/107035307/helicopter,3.4,-1,Boulder,V5,1,,39.63592,-79.81293
"Slitty Titty Traverse","Slitty Titty Boulder > Cotton Bottom > Hawk's Nest Dam > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108578268/slitty-titty-traverse,3.8,-1,Boulder,V4,1,20,38.11576,-81.14353
Roundhouse,"Roundhouse Area > Upper Rock City > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/107495169/roundhouse,3.7,-1,Boulder,V5,1,10,39.63787,-79.81777
"Mountaineer's Route (Direct)","Tendon Repair Kit Area > Roadside > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/107035383/mountaineers-route-direct,3.9,-1,Boulder,V5,1,,39.63561,-79.81205
"Shanklin's Ceiling","G. The Bozoo Roof > Main Area Bouldering > Bozoo Bouldering > Bozoo > West Virginia",https://www.mountainproject.com/route/106536692/shanklins-ceiling,3.9,-1,Boulder,V5,1,15,37.4778,-80.8678
Practitioner,"Tilted Tree Corridor > Tilted Tree > Coopers Rock State Forest > West Virginia",https://www.mountainproject.com/route/107041786/practitioner,2.7,-1,Boulder,V1,1,,39.63361,-79.80447
"Leaving Las Fayetteville","Leaving Las Fayetteville Boulder > Hawk's Nest Proper > Hawk's Nest Dam > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107294439/leaving-las-fayetteville,2.9,-1,Boulder,V4-5,1,,38.11762,-81.13159
"Gymnastic Fantastic","Gymnastic Fantastic Boulder > Short Creek Right > Short Creek Bouldering > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112352193/gymnastic-fantastic,3.8,-1,Boulder,V2,1,15,38.05486,-81.03522
