Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Big Bud Arete","North Shore > East Bluff North > East Bluff Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106413750/big-bud-arete,3.9,-1,Boulder,V2,1,,43.42726,-89.72663
"The Godfather","Godfather Boulder > Box Canyon Boulders > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105889429/the-godfather,3.8,-1,Boulder,V4,1,15,43.01231,-90.12182
"Slope of Dadaism","East of Trail Boulders > Monolith Area > East Bluff North > East Bluff Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106435375/slope-of-dadaism,3.6,-1,Boulder,V3,1,,43.42262,-89.7238
Hangman,"East Side- Backbone Ridge > Backbone Ridge > Group Camp B > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/106190473/hangman,3.5,-1,Boulder,V4+,1,15,43.05179,-90.09875
"The Flatiron","3. Flatiron/Monster/Guillotine > East Rampart Bouldering > East Bluff Southeast > East Bluff Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730853/the-flatiron,3.6,-1,Boulder,V4,1,10,43.41342,-89.71193
"Get the Hell Outta Dodge","East Side- Backbone Ridge > Backbone Ridge > Group Camp B > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105879100/get-the-hell-outta-dodge,3.1,-1,Boulder,V4,1,,43.05179,-90.09875
"High Anxiety","Plan B Area > Group Camp B > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105879010/high-anxiety,3.0,-1,Boulder,V0+,1,,43.04957,-90.09758
"Grounded For Life","Boat Landing Boulders > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/106219310/grounded-for-life,3.6,-1,Boulder,V5,1,10,43.01448,-90.11355
"Super Slab","Super Slab Area > West Bluff Central > West Bluff Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106528448/super-slab,3.7,-1,Boulder,V0,1,,43.42092,-89.73737
"Another Daydream","Lonely  Boulders > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105880340/another-daydream,3.1,-1,Boulder,V3,1,,43.0406,-90.1066
"Out Past Curfew","Boat Landing Boulders > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/106173046/out-past-curfew,3.3,-1,Boulder,V4,1,15,43.01448,-90.11355
"Only the Lonely","Lonely  Boulders > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105880291/only-the-lonely,3.4,-1,Boulder,V4,1,,43.0406,-90.1066
"Seperation Anxiety","Plan B Area > Group Camp B > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105879002/seperation-anxiety,2.6,-1,Boulder,V0+,1,,43.04957,-90.09758
"Classic Warm Up","Burma Road Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106486247/classic-warm-up,3.3,-1,Boulder,V1,1,16,43.4,-89.7433
P.Stachio,"The Stache Boulder AKA Dog Walk Boulder > 500 ft. Boulder Field > West Bluff Central > West Bluff Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106836673/pstachio,3.5,-1,Boulder,V4,1,12,43.42103,-89.73592
"Trust Fund Slab","Hogleg/Anchorpoint boulders > West Bluff South > West Bluff Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/106488872/trust-fund-slab,3.2,-1,Boulder,V-easy,1,10,43.41828,-89.73662
"Baby Crane","Burma Road Bouldering > Devil's Lake Bouldering > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/107303348/baby-crane,3.1,-1,Boulder,V4,1,12,43.4,-89.7433
"Split Personality","Plan B Area > Group Camp B > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105879028/split-personality,2.7,-1,Boulder,V5,1,,43.04957,-90.09758
