Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Cupcake,"Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105814053/cupcake,3.3,-1,"Trad, Boulder","5.10 V1",1,25,41.15478,-105.37467
"Nat's Three Star Roof","Nat's Three Star Roof > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105973900/nats-three-star-roof,3.7,-1,"Trad, Boulder","5.11 V4",1,40,41.15053,-105.37051
"Beer Crack","700S Boulders > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106050232/beer-crack,3.9,-1,"Trad, Boulder","5.11 V3",1,20,41.18484,-105.37826
Desiderata,"Old Easy > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105861281/desiderata,4.0,-1,"Trad, Boulder","5.12- V4",1,20,41.16295,-105.3713
"Spin to Win","Nat's Three Star Roof > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105973907/spin-to-win,3.6,-1,"Trad, Boulder","5.11 V3",1,10,41.15053,-105.37051
"The Biggest Tits in Country Music","Old Easy > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105753949/the-biggest-tits-in-country-music,3.7,-1,"Trad, Boulder",V3,1,,41.16295,-105.3713
"Sun Up To Sundown","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106438428/sun-up-to-sundown,4.0,-1,Boulder,V6-7,1,20,41.15478,-105.37467
"Classic Overhang","Red Cross Rock > Jenny Lake Bouldering > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/110524762/classic-overhang,3.5,-1,"Boulder, Alpine",V4,1,,43.75608,-110.72022
Classic,"Nat's Three Star Roof > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106212887/classic,3.6,-1,Boulder,V3,1,,41.15053,-105.37051
"Life Without Parole","The Dungeon > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105866922/life-without-parole,3.5,-1,"Trad, Boulder","5.12- V4",1,10,41.15664,-105.37439
"Bombay Hooker","Old Easy > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106533911/bombay-hooker,4.0,-1,Boulder,V6,1,15,41.16295,-105.3713
"Brown Eyed Girl","Roof Ranch > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105819561/brown-eyed-girl,3.8,-1,Boulder,V4,1,12,41.18484,-105.37826
"Roast Possum Vinegar Pie","Roast Possum Vinegar Pie Boulder (temporary name) > Coyote Rocks > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105833154/roast-possum-vinegar-pie,3.7,-1,Boulder,V5,1,,41.18484,-105.37826
"Old Dogs New Trick","Spelunk Spire > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105813842/old-dogs-new-trick,3.7,-1,"Trad, Boulder","5.11c/d V3-",1,20,41.17639,-105.34788
"The Ripper Point","Mid Mountain > Cedar Mountain Boulders > Cody > Wyoming",https://www.mountainproject.com/route/106178669/the-ripper-point,4.0,-1,Boulder,V5,1,10,44.50794,-109.13252
"Soak'em In Cider","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106220162/soakem-in-cider,3.9,-1,Boulder,V5,1,15,41.15478,-105.37467
"The Warden","The Dungeon > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105866955/the-warden,3.9,-1,"Trad, Boulder","5.12c V8",1,25,41.15664,-105.37439
"Out of Sight","Walt's Rib > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106001070/out-of-sight,3.9,-1,"Trad, Boulder","5.11a/b V2-",1,15,41.18484,-105.37826
Analog,"Land of the Rising Moon > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105872962/analog,4.0,-1,Boulder,V8-9,1,25,41.18484,-105.37826
"Crack Named Sue","Miscellaneous Lower Blair routes / problems > Lower Blair I, II, III, and vicinity > Blair (overview) > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105865539/crack-named-sue,3.9,-1,"Trad, Boulder",V5,1,20,41.18961,-105.39001
"Tugging Softly","The Bunker > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105880256/tugging-softly,4.0,-1,"Sport, Boulder","5.12+ V7",1,40,41.18484,-105.37826
"Sweet Unnamed Crack aka Box Canyon Splitter","Hypertension > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105818278/sweet-unnamed-crack-aka-box-canyon-splitter,3.9,-1,"Trad, Boulder","5.10 V0+",1,20,41.18484,-105.37826
"Classic Splitter","Old Easy > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105971762/classic-splitter,3.7,-1,"Trad, Boulder","5.11 V-easy",1,13,41.16295,-105.3713
"Don't Fence Me In (aka Suzuki Roof)","Campjack Rocks > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106109551/dont-fence-me-in-aka-suzuki-roof,3.9,-1,Boulder,V4,1,,41.20228,-105.26702
"University of Mars","Miscellaneous Lower Blair routes / problems > Lower Blair I, II, III, and vicinity > Blair (overview) > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105957555/university-of-mars,3.7,-1,"Trad, Boulder","5.11 V4",1,35,41.18961,-105.39001
"Blair's V2","Little John's Meditation Boulder > Upper Blair > Blair (overview) > Vedauwoo > Wyoming",https://www.mountainproject.com/route/109713192/blairs-v2,4.0,-1,"TR, Boulder",V2,1,15,41.1967,-105.38854
"The Hobgoblin","Hobgoblin Boulders > Telephone Road > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105834147/the-hobgoblin,4.0,-1,"Trad, Boulder","5.12- V6",1,15,41.3183,-105.3351
Jabberwocky,"Walt's Wall > Vedauwoo > Wyoming",https://www.mountainproject.com/route/107088565/jabberwocky,4.0,-1,Boulder,V8,1,12,41.16186,-105.3763
Cumulus,"Poland Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106009363/cumulus,4.0,-1,Boulder,V10-,1,15,41.16696,-105.39746
"Classic Western","Owl Roofs > Rawlins Area > Wyoming",https://www.mountainproject.com/route/106937117/classic-western,4.0,-1,Boulder,V3,1,15,41.7973,-107.243
"Studs Build Houses","Africa Area > Cedar Mountain Boulders > Cody > Wyoming",https://www.mountainproject.com/route/106184368/studs-build-houses,4.0,-1,Boulder,V6-7,1,15,44.50862,-109.11774
"Soul of a Poet","Poland Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105872979/soul-of-a-poet,4.0,-1,Boulder,V5,1,16,41.16696,-105.39746
"Murphy's Law","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/109818100/murphys-law,4.0,-1,Boulder,V4-5,1,15,41.15478,-105.37467
Desparado,"Campjack Rocks > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106749263/desparado,4.0,-1,Boulder,V8-9,1,13,41.20228,-105.26702
"Mexican Miracle Water","Gorilla Rock > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105838427/mexican-miracle-water,4.0,-1,"Trad, Boulder","5.11+ V4",1,15,41.14073,-105.30252
"Mr. Wong Burger","Spaghetti aka Third Lost Wall > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106031930/mr-wong-burger,4.0,-1,Boulder,"5.13- V7",1,,41.17669,-105.39101
"Liability Roof","Tie Hack Cliff > Eastern Big Horns > Wyoming",https://www.mountainproject.com/route/114611916/liability-roof,4.0,-1,Boulder,"V2 PG13",1,19,44.28497,-106.92117
"The Stone Cold Stunna","The Stone Cold Cave > Mound Woodson > Vedauwoo > Wyoming",https://www.mountainproject.com/route/107682618/the-stone-cold-stunna,4.0,-1,"Trad, Boulder",V8-9,1,20,41.18484,-105.37826
"The Fist Crack","Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106430650/the-fist-crack,4.0,-1,"Trad, Boulder",V0+,1,20,41.17386,-105.35395
Jaws,"Worm Drive > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106058914/jaws,4.0,-1,Boulder,"5.11 V2",1,,41.15792,-105.33235
"Derka Lerka aka Tad's Traverse","Roast Possum Vinegar Pie Boulder (temporary name) > Coyote Rocks > Vedauwoo > Wyoming",https://www.mountainproject.com/route/110983189/derka-lerka-aka-tads-traverse,4.0,-1,Boulder,V8,1,30,41.18484,-105.37826
"The Bayesian Algorithm","Little John's Meditation Boulder > Upper Blair > Blair (overview) > Vedauwoo > Wyoming",https://www.mountainproject.com/route/109713224/the-bayesian-algorithm,4.0,-1,"TR, Boulder",V11,1,25,41.1967,-105.38854
"Sliced Bread","Nexus Area/ East Rock Shop > The Rock Shop > Lander Area > Wyoming",https://www.mountainproject.com/route/114552440/sliced-bread,4.0,-1,Boulder,"V3 PG13",1,15,42.49324,-108.83589
"Spider Killer","Worm Drive > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106058887/spider-killer,4.0,-1,Boulder,V3,1,,41.15792,-105.33235
"Hand Banana","Spaghetti aka Third Lost Wall > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106031924/hand-banana,4.0,-1,Boulder,"5.11 V2",1,,41.17669,-105.39101
"Peach Cobbler","Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106429732/peach-cobbler,4.0,-1,"Trad, Boulder",V1,1,20,41.17386,-105.35395
"One in Three Chance of Getting Your Dick Ripped Off","Spaghetti aka Third Lost Wall > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106148830/one-in-three-chance-of-getting-your-dick-ripped-off,4.0,-1,"Trad, Boulder","5.9+ V0-",1,30,41.17669,-105.39101
"Sky Line","Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106429711/sky-line,4.0,-1,"Trad, Boulder",V0-,1,20,41.17386,-105.35395
