Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Jacobs Ladder","Table Mountain > South Africa > Africa > International",https://www.mountainproject.com/route/108005274/jacobs-ladder,3.9,-1,Trad,5.8,3,230,-33.9596,18.4009
Jenga,"The God No! Wall > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/109114876/jenga,3.9,-1,Sport,5.10a,1,,-25.67375,30.36492
"Endless Summer","The last crag of the century > The Waterfall crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/109155119/endless-summer,4.0,-1,Sport,5.11a,1,,-25.6401,30.32849
"La classique","Pilier Du Couchant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/113276663/la-classique,3.9,-1,"Sport, Aid","5.10a A0",9,985,31.5869,-5.5911
Bonar,"Restaurant crag, The > The Restaurant crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/109089862/bonar,4.0,-1,Sport,5.10c,1,,-25.6512,30.34779
"Colobus Crack","Big Fig > Kenya > Africa > International",https://www.mountainproject.com/route/116977916/colobus-crack,4.0,-1,"Sport, TR",5.10c/d,1,50,-0.94745,36.58407
"Lotter's Desire","The Superbowl > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/111987476/lotters-desire,4.0,-1,Sport,5.12c,1,80,-25.67375,30.36492
"Runnel of Life","Mulanje Massif > Malawi > Africa > International",https://www.mountainproject.com/route/117673247/runnel-of-life,4.0,-1,"Sport, Aid","5.10+ A0",6,1100,-16.0141,35.5737
"Coffee Ceremony","Amora Gedel (Addis Ababa) > Ethiopia > Africa > International",https://www.mountainproject.com/route/110436202/coffee-ceremony,4.0,-1,Sport,5.11,1,50,9.08768,38.79739
"Ensalada Metallica","Petite Gorge Left (south side) > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/111746117/ensalada-metallica,4.0,-1,Sport,5.11d,1,75,31.61088,-5.57239
"Chocolate Speedway","Legoland > Montagu > South Africa > Africa > International",https://www.mountainproject.com/route/112379092/chocolate-speedway,4.0,-1,Sport,5.10a/b,1,45,-33.81374,20.09119
"Passion And Pain","Mulanje Massif > Malawi > Africa > International",https://www.mountainproject.com/route/116154667/passion-and-pain,4.0,-1,Sport,5.9,7,1450,-16.0141,35.5737
Freak-On,"The God No! Wall > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/111657693/freak-on,3.8,-1,Sport,5.11d,1,80,-25.67375,30.36492
Pectorine,"Tsaranoro Valley > Madagascar > Africa > International",https://www.mountainproject.com/route/117508172/pectorine,4.0,-1,Sport,5.10c,7,930,-22.09529,46.7659
"The first of Ela","Paroi du Levant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/112056722/the-first-of-ela,4.0,-1,"Sport, Boulder","5.9 V1",6,800,31.57987,-5.59387
Snapdragon,"The Superbowl > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/111987173/snapdragon,4.0,-1,Sport,5.13a,1,100,-25.67375,30.36492
"North Face (Torre N'lundi)","Torre N'lundi - Sentinel Tower > Pungo Andongo - Pedras Negras - Black Rocks > Angola > Africa > International",https://www.mountainproject.com/route/109056922/north-face-torre-nlundi,4.0,-1,Sport,"5.11 PG13",4,300,-9.66104,15.57158
"Beréber Style","Akka N'Trafawt > Jbel Timghazine > Taghia > Morocco > Africa > International",https://www.mountainproject.com/route/111436840/bereber-style,4.0,-1,"Trad, Aid, Alpine","5.11c C1+",13,1700,31.78275,-6.06097
"Hannah chez les grands","Paroi du Levant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/112178059/hannah-chez-les-grands,4.0,-1,Sport,5.10a/b,8,1050,31.57987,-5.59387
Monster,"The God No! Wall > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/111987085/monster,4.0,-1,Sport,5.13a,1,100,-25.67375,30.36492
Magician,"Main Wall > Hells Gate > Kenya > Africa > International",https://www.mountainproject.com/route/111839552/magician,4.0,-1,Trad,"5.10a R",4,350,-0.86185,36.35512
Végétarienne,"Rive droite > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/114044012/vegetarienne,4.0,-1,Sport,5.10b,1,,31.60852,-5.58002
Anbessa,"Amora Gedel (Addis Ababa) > Ethiopia > Africa > International",https://www.mountainproject.com/route/111215105/anbessa,4.0,-1,Sport,5.11c/d,1,100,9.08768,38.79739
"Pig's Ear","Eagle's Nest Face > Lukenya > Kenya > Africa > International",https://www.mountainproject.com/route/112828104/pigs-ear,4.0,-1,Trad,5.10a,1,100,-1.48533,37.06874
"Stake 6.25","Fischer's Cliff > Hells Gate > Kenya > Africa > International",https://www.mountainproject.com/route/107338516/stake-625,4.0,-1,Trad,5.10c,1,60,-0.8822,36.3056
"North Face Standard Route","Mt Kenya > Kenya > Africa > International",https://www.mountainproject.com/route/110309313/north-face-standard-route,3.6,-1,"Trad, Alpine",5.8,23,2620,-0.1526,37.3079
"Snakeskin Safari Suit","Hallucinogen Wall > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/109047132/snakeskin-safari-suit,3.7,-1,Sport,5.10a,1,,-25.67375,30.36492
"Mouse of the Rising Sun","Cat and Mouse > Ololokwe > Kenya > Africa > International",https://www.mountainproject.com/route/112474821/mouse-of-the-rising-sun,4.0,-1,Sport,5.12,1,200,0.86135,37.58749
"Samburu Direct","Cat and Mouse > Ololokwe > Kenya > Africa > International",https://www.mountainproject.com/route/112474752/samburu-direct,4.0,-1,Trad,"5.12+ R",5,500,0.86135,37.58749
"Touch and Go","Table Mountain > South Africa > Africa > International",https://www.mountainproject.com/route/108021452/touch-and-go,4.0,-1,Trad,5.10c,4,400,-33.9596,18.4009
"The Balls of Hagrid","Harry Potter > Chosspile > South Africa > Africa > International",https://www.mountainproject.com/route/117106564/the-balls-of-hagrid,4.0,-1,Sport,5.10d,1,70,-25.72223,27.84946
"Breast Milk aka Standard Route","Bigogwe > Rwanda > Africa > International",https://www.mountainproject.com/route/115173905/breast-milk-aka-standard-route,4.0,-1,Trad,"5.9+ R",6,500,-1.63964,29.40597
"Bare Hug Arete","Torre N'lundi - Sentinel Tower > Pungo Andongo - Pedras Negras - Black Rocks > Angola > Africa > International",https://www.mountainproject.com/route/111028694/bare-hug-arete,4.0,-1,Sport,5.13c,2,300,-9.66104,15.57158
"In Your Dreams","Lower Silvermine crag > Silvermine > South Africa > Africa > International",https://www.mountainproject.com/route/116084707/in-your-dreams,4.0,-1,Sport,5.9,1,90,-34.08167,18.41494
"Rasta Populos and Mental","MCU Muyenga Quarry > Uganda > Africa > International",https://www.mountainproject.com/route/116543108/rasta-populos-and-mental,4.0,-1,"Sport, TR",5.10a/b,1,88,0.29211,32.62473
"First Impressions","The Island > The Pass > Rocklands > South Africa > Africa > International",https://www.mountainproject.com/route/116382706/first-impressions,4.0,-1,Sport,5.10d,1,,-32.16074,19.0359
"The Philosophers Stoned","Harry Potter > Chosspile > South Africa > Africa > International",https://www.mountainproject.com/route/117112605/the-philosophers-stoned,4.0,-1,Sport,5.11a,1,60,-25.72223,27.84946
"Tewlihe (""The Sharp One"")","Gheralta Range Koraro Spires > Ethiopia > Africa > International",https://www.mountainproject.com/route/108317505/tewlihe-the-sharp-one,4.0,-1,Sport,5.11+,3,375,9.037,38.7598
Tatouffemetouffe,"Basel Crag > Adwa > Tigray Region > Ethiopia > Africa > International",https://www.mountainproject.com/route/114361749/tatouffemetouffe,4.0,-1,"Trad, TR",5.10a,1,100,14.17635,38.97085
"The Coffee Break is Over","Amora Gedel (Addis Ababa) > Ethiopia > Africa > International",https://www.mountainproject.com/route/111868822/the-coffee-break-is-over,4.0,-1,Sport,5.14a,1,50,9.08768,38.79739
"Talking to the Trees","Talking to the Trees Sector > Peer's Cave > South Africa > Africa > International",https://www.mountainproject.com/route/116079944/talking-to-the-trees,4.0,-1,Sport,5.10a,1,40,-34.11724,18.40564
"The Razor's Edge","Main Wall > Hells Gate > Kenya > Africa > International",https://www.mountainproject.com/route/112845558/the-razors-edge,4.0,-1,Trad,5.10+,4,160,-0.86185,36.35512
"Side Pull","MCU Muyenga Quarry > Uganda > Africa > International",https://www.mountainproject.com/route/114215361/side-pull,4.0,-1,"Sport, TR",5.10-,1,60,0.29211,32.62473
"Ward's Walk Up","Amadeus Wall > Peer's Cave > South Africa > Africa > International",https://www.mountainproject.com/route/116079904/wards-walk-up,4.0,-1,Sport,5.10b,1,35,-34.11744,18.40559
"Family Ross . 5.10c","Tizgut Area > Anti-Atlas:  Jebel El Kest South > Morocco > Africa > International",https://www.mountainproject.com/route/106416671/family-ross-510c,4.0,-1,Trad,5.10c,2,400,29.76165,-8.90389
"Agrou des Roches","Agrou > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/112014722/agrou-des-roches,4.0,-1,Sport,5.10b,3,320,31.58179,-5.60945
"Mini Me","Bronkies > South Africa > Africa > International",https://www.mountainproject.com/route/114446039/mini-me,4.0,-1,Sport,5.10a,1,45,-25.8815,28.7224
STORMWATCH,"Stormwatch Area > Fernkloof > South Africa > Africa > International",https://www.mountainproject.com/route/117557421/stormwatch,4.0,-1,Sport,5.13c,1,,-25.80152,27.31562
Pythagosaurus,"The Narrow Slit > Tizi Escarpment > Anti-Atlas: Jebel el Kest North and Jebel Taskra North > Morocco > Africa > International",https://www.mountainproject.com/route/114090332/pythagosaurus,4.0,-1,Trad,5.9,1,180,29.9315,-9.10003
"Joint Venture","Bronkies > South Africa > Africa > International",https://www.mountainproject.com/route/114449092/joint-venture,4.0,-1,Sport,5.11b,1,80,-25.8815,28.7224
"STRONG ARM OF THE LAW","Stormwatch Area > Fernkloof > South Africa > Africa > International",https://www.mountainproject.com/route/117557434/strong-arm-of-the-law,4.0,-1,Sport,5.11+,1,,-25.80152,27.31562
"Africa Hangout","Caveman Boulder > Mount Krobo > Ghana > Africa > International",https://www.mountainproject.com/route/112783385/africa-hangout,4.0,-1,Sport,5.8,1,50,6.07487,0.05283
"Honey Bare","Condé > Angola > Africa > International",https://www.mountainproject.com/route/111096027/honey-bare,4.0,-1,Trad,5.11,1,120,-10.88727,14.66129
Tifegha,"Paroi du Levant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/111993332/tifegha,4.0,-1,Sport,5.10d,9,900,31.57987,-5.59387
"The Nose","The Nose > Main Wall > Mount Krobo > Ghana > Africa > International",https://www.mountainproject.com/route/112783514/the-nose,4.0,-1,Sport,5.11a,3,250,6.08193,0.04992
"Sterling Silver","Main Crag > Silvermine > South Africa > Africa > International",https://www.mountainproject.com/route/114262960/sterling-silver,4.0,-1,Sport,5.11a,1,75,-34.07045,18.40155
"Corner Shop","South Sudan - Jebel Kujur > Africa > International",https://www.mountainproject.com/route/111603897/corner-shop,4.0,-1,Sport,5.10a,1,,4.84399,31.54931
"15 - Quinze","Blue Rock > Jbel Zalagh > Morocco > Africa > International",https://www.mountainproject.com/route/117698428/15-quinze,4.0,-1,Sport,5.9+,1,100,34.10276,-4.97844
"Jono Gordon's Route","Main Crag > Silvermine > South Africa > Africa > International",https://www.mountainproject.com/route/114262636/jono-gordons-route,4.0,-1,Sport,5.11a,1,75,-34.07045,18.40155
"You Don't Mess with the Zohan","Amora Gedel (Addis Ababa) > Ethiopia > Africa > International",https://www.mountainproject.com/route/111349958/you-dont-mess-with-the-zohan,4.0,-1,Sport,5.13c,1,50,9.08768,38.79739
FABERGE,"Stormwatch Area > Fernkloof > South Africa > Africa > International",https://www.mountainproject.com/route/117557403/faberge,4.0,-1,Sport,5.12d,1,,-25.80152,27.31562
"Tromba bitonal","Paroi du Levant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/111993784/tromba-bitonal,4.0,-1,Sport,5.11c,7,800,31.57987,-5.59387
Tradewinds,"The Mine > South Africa > Africa > International",https://www.mountainproject.com/route/114077505/tradewinds,4.0,-1,Sport,5.10c/d,1,65,-34.09067,18.4385
"Em's Cleft","Adrar Iffran > Ida Ougnidif Area > Anti-Atlas: Jebel el Kest North and Jebel Taskra North > Morocco > Africa > International",https://www.mountainproject.com/route/107855950/ems-cleft,4.0,-1,Trad,5.9,2,230,29.8338,-9.01344
"Hakuna Matata","Main Wall > Ngomakurira > Zimbabwe > Africa > International",https://www.mountainproject.com/route/109176207/hakuna-matata,4.0,-1,Sport,5.12c,5,478,-17.55979,31.24643
Firesword,"Dragon Buttress > Samazar Valley > Anti-Atlas: Jebel el Kest North and Jebel Taskra North > Morocco > Africa > International",https://www.mountainproject.com/route/107855933/firesword,4.0,-1,"Trad, Alpine",5.10b,4,600,29.80348,-9.11929
"The Oldest and the Best","AB's Boulder > AB's Boulder Area > Mifipro Road > Tanzania > Africa > International",https://www.mountainproject.com/route/112064873/the-oldest-and-the-best,4.0,-1,"TR, Boulder","5.8 V1",1,15,-3.83525,37.63169
"The Bovenator","Baboon Buttress > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/112010516/the-bovenator,4.0,-1,Sport,5.12d,1,70,-25.67375,30.36492
"Stake 4.25","Fischer's Cliff > Hells Gate > Kenya > Africa > International",https://www.mountainproject.com/route/112173519/stake-425,4.0,-1,Trad,5.9+,1,50,-0.8822,36.3056
"Seventh Wave","Main Wall > Lukenya > Kenya > Africa > International",https://www.mountainproject.com/route/111957356/seventh-wave,4.0,-1,Trad,"5.9 R",1,80,-1.4818,37.0702
Paws,"Main Wall > Oudtshoorn > South Africa > Africa > International",https://www.mountainproject.com/route/112181223/paws,4.0,-1,Sport,5.12b,1,90,-33.37232,22.17629
"Daze of Thunder","Worlds Apart > Bad Kloof > Montagu > South Africa > Africa > International",https://www.mountainproject.com/route/112180904/daze-of-thunder,4.0,-1,Sport,5.12d,1,55,-33.76711,20.11597
"The Keep","Edinburgh Castle > Lukenya > Kenya > Africa > International",https://www.mountainproject.com/route/112828114/the-keep,4.0,-1,Trad,"5.10c R",1,120,-1.48959,37.06753
"Lord of the Ring","Cloud Nine Wall > Silvermine > South Africa > Africa > International",https://www.mountainproject.com/route/113169628/lord-of-the-ring,4.0,-1,Sport,5.9-,1,45,-34.071,18.40131
"Whose Line Is It Anyway","Good & Evil Area > Tranquilitas Crag > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/112017019/whose-line-is-it-anyway,4.0,-1,Sport,"5.11c PG13",1,75,-25.67506,30.36782
"Goonie Goo Goo","Main Wall > Oudtshoorn > South Africa > Africa > International",https://www.mountainproject.com/route/112181276/goonie-goo-goo,4.0,-1,Sport,5.10c/d,1,60,-33.37232,22.17629
"South Ridge","The Shield > Pungo Andongo - Pedras Negras - Black Rocks > Angola > Africa > International",https://www.mountainproject.com/route/109056996/south-ridge,4.0,-1,Sport,5.8,3,350,-9.66901,15.57423
"Swan Lake","The Mine > South Africa > Africa > International",https://www.mountainproject.com/route/112180943/swan-lake,4.0,-1,Sport,5.12a,1,75,-34.09067,18.4385
"Party Grooves","Ndeiya > Kenya > Africa > International",https://www.mountainproject.com/route/111887870/party-grooves,4.0,-1,Trad,5.10a,1,150,0.08791,38.0127
"Austerity Measures","Amora Gedel (Addis Ababa) > Ethiopia > Africa > International",https://www.mountainproject.com/route/108167048/austerity-measures,4.0,-1,Sport,5.12a,1,90,9.08768,38.79739
Mercury,"Main Crag > Silvermine > South Africa > Africa > International",https://www.mountainproject.com/route/112181021/mercury,4.0,-1,Sport,5.12a,1,75,-34.07045,18.40155
"From under your nose","Amphitheater > Hillside Dams > Zimbabwe > Africa > International",https://www.mountainproject.com/route/109201048/from-under-your-nose,4.0,-1,Sport,5.11c/d,1,30,-20.19958,28.61928
"Hyena's Secret","Dave's Fall & Hyena's Secret (Hyena Point) > Ethiopia > Africa > International",https://www.mountainproject.com/route/108135069/hyenas-secret,4.0,-1,"Trad, Sport",5.11,1,75,9.037,38.7598
"Bikini Red","The Theatre > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/111992872/bikini-red,4.0,-1,Sport,5.12c,1,90,-25.66354,30.36389
"A Gift of Wings","The Mine > South Africa > Africa > International",https://www.mountainproject.com/route/112180967/a-gift-of-wings,4.0,-1,Sport,5.12d,1,75,-34.09067,18.4385
Mono,"The Mine > South Africa > Africa > International",https://www.mountainproject.com/route/112377484/mono,4.0,-1,Sport,5.13a,1,80,-34.09067,18.4385
"Sid Vicious","Main Wall > Oudtshoorn > South Africa > Africa > International",https://www.mountainproject.com/route/112181243/sid-vicious,4.0,-1,Sport,5.12b,1,85,-33.37232,22.17629
"Red Guitar on Fire","The Mine > South Africa > Africa > International",https://www.mountainproject.com/route/112180964/red-guitar-on-fire,4.0,-1,Sport,5.12b,1,70,-34.09067,18.4385
"Atomic Aardvark","Gaper Butress > The Restaurant crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/112257850/atomic-aardvark,4.0,-1,Sport,5.11d,1,,-25.65208,30.34772
"Lost Safari","Main Wall > Oudtshoorn > South Africa > Africa > International",https://www.mountainproject.com/route/112430390/lost-safari,4.0,-1,Sport,5.12c/d,1,120,-33.37232,22.17629
"El Conquistador","Swiswa > Swiswa > Zimbabwe > Africa > International",https://www.mountainproject.com/route/113320470/el-conquistador,4.0,-1,Trad,5.9,2,400,-17.64475,31.31026
Trump,"Trump Prow > Peer's Cave > South Africa > Africa > International",https://www.mountainproject.com/route/112398913/trump,4.0,-1,Sport,5.12c,1,40,-34.11773,18.40592
"The Neuromancer","The Palace > Bad Kloof > Montagu > South Africa > Africa > International",https://www.mountainproject.com/route/112180924/the-neuromancer,4.0,-1,Sport,5.11c,1,70,-33.77287,20.12136
"The Activist","The Palace > Bad Kloof > Montagu > South Africa > Africa > International",https://www.mountainproject.com/route/112180919/the-activist,4.0,-1,Sport,5.13b,1,70,-33.77287,20.12136
"All that Glitters is Gold","The Mine > South Africa > Africa > International",https://www.mountainproject.com/route/112180938/all-that-glitters-is-gold,4.0,-1,Sport,5.12c,1,75,-34.09067,18.4385
"Old Spice","The Beach > The Island crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/109191100/old-spice,4.0,-1,Sport,5.12a,1,,-25.64615,30.34849
"La Risée des Babouins","Bulldog Crag > Silhoti > East Matopos > Zimbabwe > Africa > International",https://www.mountainproject.com/route/110555603/la-risee-des-babouins,4.0,-1,Sport,5.11c,1,,-20.46163,28.78054
Lafayette,"Bulldog Crag > Silhoti > East Matopos > Zimbabwe > Africa > International",https://www.mountainproject.com/route/110555623/lafayette,4.0,-1,Sport,5.10d,1,,-20.46163,28.78054
"La 3ème Colonne (The Third Column)","Basenji > Silhoti > East Matopos > Zimbabwe > Africa > International",https://www.mountainproject.com/route/110555810/la-3eme-colonne-the-third-column,4.0,-1,Sport,5.9-,1,,-20.4612,28.78063
"The Mighty Logan","Adrar Iffran > Ida Ougnidif Area > Anti-Atlas: Jebel el Kest North and Jebel Taskra North > Morocco > Africa > International",https://www.mountainproject.com/route/107855961/the-mighty-logan,4.0,-1,Trad,5.11a,3,250,29.8338,-9.01344
US/UK,"Tizgut Area > Anti-Atlas:  Jebel El Kest South > Morocco > Africa > International",https://www.mountainproject.com/route/106416656/usuk,4.0,-1,Trad,5.10b,2,400,29.76165,-8.90389
"Burning Camel","Camel Canyon > Wadi Qnai, Dahab > Egypt, Sinai Peninsula > Africa > International",https://www.mountainproject.com/route/118026857/burning-camel,4.0,-1,Sport,5.10b/c,1,82,28.43868,34.43001
"Angel of Mercy","Hallucinogen Wall > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/109047337/angel-of-mercy,3.8,-1,Sport,5.9,1,,-25.67375,30.36492
Chibania,"Pilier Du Couchant > Todra Gorge > Morocco > Africa > International",https://www.mountainproject.com/route/108970058/chibania,3.7,-1,"Trad, Sport",5.10+,7,1100,31.5869,-5.5911
"Consistency In Fashion","The Creche > Tranquilitas Crag > The Wonderland crags > Waterval Boven > South Africa > Africa > International",https://www.mountainproject.com/route/109085894/consistency-in-fashion,3.7,-1,Sport,5.10a,1,,-25.67504,30.3692
Olympian,"Main Wall > Hells Gate > Kenya > Africa > International",https://www.mountainproject.com/route/111839570/olympian,3.8,-1,"Trad, Aid","5.9+ C0",7,600,-0.86185,36.35512
"The Black Pig","Main Outcrop > Christon Bank > Zimbabwe > Africa > International",https://www.mountainproject.com/route/111695561/the-black-pig,3.8,-1,Sport,5.10d,1,,-17.58168,31.00779
