Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Toto,"The Diamond > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106207971/toto,3.4,-1,Trad,5.10a/b,6,,61.81501,-149.243
"Sunshine Ridge","Sunshine Ridge > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/107135728/sunshine-ridge,3.1,-1,Trad,5.7,4,450,61.00626,-149.68649
"South West Ridge","Peak 11,300 > Denali National Park > Interior Alaska/Alaska Range > Alaska",https://www.mountainproject.com/route/105997286/south-west-ridge,4.0,-1,"Trad, Mixed, Snow, Alpine","5.8 M4 Steep Snow",1,4100,63.0026,-150.87801
"Butt Crack","Upper Pivot Point > Pivot Point > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/107146387/butt-crack,2.5,-1,Trad,5.7,1,25,61.0215,-149.74339
"Pivot Point","Lower Pivot Point > Pivot Point > Seward Highway > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/107146395/pivot-point,3.0,-1,"Trad, Sport",5.10a,1,40,61.0215,-149.74339
"Tunnel Vision","Tunnel Vision Wall > Fairangel Gap and Valley > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108787485/tunnel-vision,4.0,-1,Trad,5.11d,1,30,61.8198,-149.25781
"Solva Buttress","5th Tower > Mendenhall Towers > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/107250306/solva-buttress,3.9,-1,"Trad, Alpine",5.8,10,1000,58.53145,-134.47641
"Green lightning","Green Gully > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108312428/green-lightning,4.0,-1,Trad,5.10+,1,100,61.81376,-149.24389
"Physical Attraction","Zulu Wall > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106795194/physical-attraction,3.4,-1,Trad,5.8,1,65,61.81663,-149.23829
"South Buttress - Main Tower","3rd Tower - Main > Mendenhall Towers > Juneau > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/111620948/south-buttress-main-tower,4.0,-1,"Trad, Alpine",5.10a,10,1200,58.53342,-134.48555
"King Size","Left Cave > Weiner Lake Routes > Wookie Wall/Weiner Lake > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109893585/king-size,4.0,-1,Trad,5.12b,2,120,61.8128,-148.1665
"The Shaft","Right Cave > Weiner Lake Routes > Wookie Wall/Weiner Lake > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109042051/the-shaft,3.9,-1,Sport,5.12a,2,110,61.8128,-148.1665
"Child Support","The White Spot > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/115186217/child-support,4.0,-1,Trad,5.11,2,220,61.81268,-149.2434
"The Brown Spot","Green Gully > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108036764/the-brown-spot,4.0,-1,Trad,5.11d,1,120,61.81376,-149.24389
"Makin Hole aka The Dorsal Fin","Green Gully > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109195153/makin-hole-aka-the-dorsal-fin,4.0,-1,Sport,5.10c,1,110,61.81376,-149.24389
"Aurora Slabialous","Aurora Slab > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106801484/aurora-slabialous,4.0,-1,Trad,5.8,1,120,61.8104,-149.25
"Birds of Prey","Birds of Prey > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/113098033/birds-of-prey,3.9,-1,"Trad, Alpine",5.9+,1,90,61.83098,-149.18136
"Crisco Kid","Byron Glacier Wall > Portage > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109126136/crisco-kid,3.9,-1,Trad,5.10d,1,100,60.75848,-148.84843
"My Pie","Green Gully > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108312149/my-pie,3.9,-1,Trad,5.11b,1,60,61.81376,-149.24389
"Riptide Arete","Catch The Wave > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/115329926/riptide-arete,4.0,-1,Trad,5.12a,1,80,61.81663,-149.23829
"Seismic Wave","Left Cave > Weiner Lake Routes > Wookie Wall/Weiner Lake > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108736082/seismic-wave,3.6,-1,Sport,5.11b/c,1,60,61.8128,-148.1665
"Terror Vision","The Lost Wall > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108417460/terror-vision,4.0,-1,Trad,5.11d,2,180,61.81069,-149.24956
Rebirth,"Catch The Wave > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108589795/rebirth,4.0,-1,Trad,5.11c,1,100,61.81663,-149.23829
