Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Abracadaver,"Rockfellow Dome > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105794076/abracadaver,3.9,-1,Trad,5.11a,6,500,31.926,-109.9769
"Tufa Yard Dash","Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106579242/tufa-yard-dash,3.9,-1,Sport,5.11c,1,70,33.17567,-110.78048
"Black and Tan","2. The Main Amphitheater > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105849207/black-and-tan,3.9,-1,Trad,5.10,1,100,34.93186,-111.73299
Endgame,"End Pinnacle > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105901424/endgame,3.7,-1,Trad,5.10a/b,5,600,31.9275,-109.9785
"The Winsloner","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106180004/the-winsloner,3.8,-1,Sport,5.11c,1,100,34.94209,-110.6632
"Original Route","The Mace > Cathedral Rock Area > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105788086/original-route,3.6,-1,Trad,5.9+,5,400,34.81836,-111.7913
"The Prow","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105795099/the-prow,3.8,-1,Trad,5.11a,1,,35.13763,-112.02421
Warpaint,"Westworld Dome > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738263/warpaint,3.8,-1,Trad,"5.10c PG13",5,680,31.93522,-109.99091
Khaleesi,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112259660/khaleesi,3.8,-1,Sport,5.11c,1,115,36.65703,-114.00822
"The Peacemaker","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080329/the-peacemaker,3.5,-1,Sport,5.10a,7,,31.87031,-109.99388
"Sedona's Scenic Cruise","Gibraltar Rock > Gibraltar Rock Area > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105789780/sedonas-scenic-cruise,3.6,-1,Trad,5.9,5,700,34.82007,-111.75046
"The Totem Pole","Totem-Proto Area > Lower Devil's Canyon > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105861164/the-totem-pole,3.6,-1,Sport,5.10c/d,2,150,33.27587,-111.02832
"Forest Lawn","Bastion Towers > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105842218/forest-lawn,3.6,-1,Trad,5.9+,3,300,31.92626,-109.97683
Tsunami,"New Wave Wall > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738515/tsunami,3.7,-1,Sport,5.12,1,70,32.36737,-110.71451
"Spite and Malice","1.The Left Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105851017/spite-and-malice,3.7,-1,Trad,5.10+,1,115,34.9318,-111.73386
"Magnolia Thunderpussy","Middle Section > Granite Mountain > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105886456/magnolia-thunderpussy,3.6,-1,Trad,5.9,3,,34.62908,-112.56665
"Mars Attacks","The Fin > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105793038/mars-attacks,3.4,-1,"Trad, Sport","5.9 PG13",4,350,34.90455,-111.80682
Mesquiter,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/108747814/mesquiter,3.6,-1,Sport,5.12a,1,110,36.65703,-114.00822
"East of Eden","The Gold Wall > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105825623/east-of-eden,3.6,-1,Trad,5.10,1,110,35.13747,-112.02579
Vertebrae,"1.The Left Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105852465/vertebrae,3.7,-1,Trad,5.11b,1,80,34.9318,-111.73386
"The Joker","The White Wall > The Pit > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105810970/the-joker,3.8,-1,Sport,5.12c,1,80,35.1292,-111.5973
"The Wasteland","The Wasteland > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105824762/the-wasteland,3.4,-1,Trad,5.8,6,600,31.94542,-109.96929
