Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Humanality,"Ladder Routes (Humanality Area) > Tonsai Beach (Freedom Bar Area) > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105895220/humanality,3.8,-1,Sport,5.10c/d,5,300,8.0171,98.8341
"Groove Tube","Fire Wall > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105901068/groove-tube,3.5,-1,Sport,5.9-,2,180,8.01837,98.8302
"Missing Snow","Tyrolean Wall > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105896088/missing-snow,3.4,-1,Sport,5.10c/d,1,,8.01585,98.83582
"Lion King","Dum's Kitchen > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105894693/lion-king,3.3,-1,Sport,5.11c,1,,8.016,98.8352
"The Best Route In Minnesota","Escher World > Phra Nang Beach > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/106062331/the-best-route-in-minnesota,3.8,-1,Sport,5.11a,1,90,8.00814,98.83647
"Babes in Thailand","Main Wall (Babes in Thailand Area) > Tonsai Beach (Freedom Bar Area) > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105925309/babes-in-thailand,3.6,-1,Sport,5.11d,1,50,8.01672,98.83442
"Monkey Love","The Thaiwand > Railay West > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105925326/monkey-love,3.4,-1,Sport,5.10c,1,80,8.00863,98.8357
"Make a way","1-2-3 Wall > Railay East > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105899454/make-a-way,3.3,-1,Sport,5.10c,1,80,8.00732,98.84209
"The Wave","Monkey World > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/106088243/the-wave,3.5,-1,Sport,5.10c,1,320,8.01833,98.83214
"Lord of the Thai's","The Thaiwand > Railay West > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105899993/lord-of-the-thais,3.7,-1,Sport,5.12b,5,400,8.00863,98.8357
"Beauty & Biest","Main Wall (Babes in Thailand Area) > Tonsai Beach (Freedom Bar Area) > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/108065770/beauty-biest,3.3,-1,Sport,5.11a,1,50,8.01672,98.83442
"Fit To Be Thai'd","The Thaiwand > Railay West > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/106124173/fit-to-be-thaid,3.4,-1,Sport,5.10a/b,1,90,8.00863,98.8357
"Muay Thai","Muay Thai > Railay East > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105899201/muay-thai,3.1,-1,Sport,5.11a,1,,8.00828,98.84071
Stalagasaurus,"Main Wall (Babes in Thailand Area) > Tonsai Beach (Freedom Bar Area) > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105897570/stalagasaurus,3.1,-1,Sport,5.11,1,45,8.01672,98.83442
