Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Kachoong,"(8) The Northern Group > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/105909747/kachoong,3.8,-1,Trad,5.10c,1,175,-36.75024,141.83502
"Watchtower Crack","The Watchtower Faces > (7) Watchtower Faces > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/105913471/watchtower-crack,3.4,-1,Trad,5.8+,4,300,-36.7518,141.83728
Scorpion,"The Bluffs > (4) Bluffs > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/106633731/scorpion,3.9,-1,Trad,5.9+,1,80,-36.7575,141.84481
"Bunny Bucket Buttress","Pierce's Pass > Blue Mountains > Australia > International",https://www.mountainproject.com/route/107500597/bunny-bucket-buttress,3.8,-1,Sport,5.8,9,900,-33.5093,150.2655
Orestes,"The Atridae > (1) Southern Crags > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/105909720/orestes,3.8,-1,Trad,"5.11d PG13",1,60,-36.76216,141.84566
"Thunder Crack","The Bluffs > (4) Bluffs > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/105909880/thunder-crack,3.7,-1,Trad,5.10c,1,100,-36.7575,141.84481
"Auto Da Fe","The Watchtower Faces > (7) Watchtower Faces > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/105910997/auto-da-fe,3.8,-1,Trad,"5.10d R",2,300,-36.7518,141.83728
"Mr Joshua","The Taipan Wall > Mount Stapylton Amphitheatre > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/113551491/mr-joshua,4.0,-1,Trad,5.12b,2,180,-36.8951,142.3844
"Sacred Site","The Moai > Fortescue Bay > Tasman Peninsula > Tasmania > Australia > International",https://www.mountainproject.com/route/105962433/sacred-site,3.7,-1,Trad,5.9+,2,110,-43.1177,147.9783
"The Free Route","The Totem Pole > Cape Hauy > Fortescue Bay > Tasman Peninsula > Tasmania > Australia > International",https://www.mountainproject.com/route/105962416/the-free-route,4.0,-1,Trad,"5.12b PG13",2,210,-43.1394,148.0058
Serpentine,"The Taipan Wall > Mount Stapylton Amphitheatre > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/105958752/serpentine,4.0,-1,"Trad, Sport",5.13b,2,250,-36.8951,142.3844
"The Eternity","Sector 4 > Mount Piddington > Blue Mountains > Australia > International",https://www.mountainproject.com/route/105925676/the-eternity,3.7,-1,Trad,5.10a,2,160,-33.59832,150.2504
Blimp,"Bundaleer > The Grampians > Australia > International",https://www.mountainproject.com/route/108210514/blimp,3.9,-1,Trad,"5.10c PG13",1,120,-37.134,142.4377
"Archimedies Principal","Camp of the Emu's Foot Road > The Grampians > Australia > International",https://www.mountainproject.com/route/106349425/archimedies-principal,4.0,-1,Trad,5.12c,2,200,-37.134,142.4377
"A Taste of Honey","(8) The Northern Group > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/105910988/a-taste-of-honey,3.6,-1,Trad,5.10d,1,100,-36.75024,141.83502
"Fisting Party","The Taipan Wall > Mount Stapylton Amphitheatre > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/113561454/fisting-party,4.0,-1,Trad,"5.12c PG13",1,200,-36.8951,142.3844
"Return to Gariwerd","Camp of the Emu's Foot Road > The Grampians > Australia > International",https://www.mountainproject.com/route/105913274/return-to-gariwerd,4.0,-1,Trad,5.11a,2,300,-37.134,142.4377
Sandinista,"Sandinista Wall > Hollow Mountain > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/105913578/sandinista,4.0,-1,Trad,5.11c,1,100,-36.8936,142.3855
"Passport to Insanity","The Passport Buttress > The Fortress > The Grampians > Australia > International",https://www.mountainproject.com/route/105910430/passport-to-insanity,4.0,-1,Trad,5.12c,3,400,-37.134,142.4377
"The Sorcerer","The Totem Pole > Cape Hauy > Fortescue Bay > Tasman Peninsula > Tasmania > Australia > International",https://www.mountainproject.com/route/114472840/the-sorcerer,4.0,-1,Trad,5.12d,3,220,-43.1394,148.0058
Halva,"Left Main Wall > Kangaroo Point Cliffs > Australia > International",https://www.mountainproject.com/route/117094202/halva,4.0,-1,Sport,5.9-,1,50,-27.47888,153.03405
"Little triggers","Main Wall (Barden's Lookout ) AKA Little Triggers Wall > Mount York > Blue Mountains > Australia > International",https://www.mountainproject.com/route/117092002/little-triggers,4.0,-1,Sport,5.10a,1,75,-33.54321,150.2297
Anaconda,"The Taipan Wall > Mount Stapylton Amphitheatre > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/113551232/anaconda,4.0,-1,Trad,5.13a,1,180,-36.8951,142.3844
"The way of all flesh","Electric blue sector > Mount York > Blue Mountains > Australia > International",https://www.mountainproject.com/route/117092104/the-way-of-all-flesh,4.0,-1,Sport,5.12b,1,80,-33.55849,150.22325
"Menstrual as Anything","Spurt > Mount Stapylton Amphitheatre > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/116656653/menstrual-as-anything,4.0,-1,Sport,5.12b,1,65,-36.89759,142.38609
"Scorpion Corner","The Bluffs > (4) Bluffs > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/106559385/scorpion-corner,3.6,-1,Trad,5.11b,1,80,-36.7575,141.84481
Beowulf,"Deepwater Zawn > Coastal Cliffs > Freycinet Peninsula > Tasmania > Australia > International",https://www.mountainproject.com/route/107177534/beowulf,4.0,-1,Trad,5.9,1,105,-42.0953,148.2865
"Interstate 31","Bells Line of Road > Blue Mountains > Australia > International",https://www.mountainproject.com/route/112516871/interstate-31,4.0,-1,Trad,5.9,1,30,-33.50269,150.22684
"Holy Leaping Shortarses, Batman","Main Wall (Barden's Lookout ) AKA Little Triggers Wall > Mount York > Blue Mountains > Australia > International",https://www.mountainproject.com/route/106755144/holy-leaping-shortarses-batman,4.0,-1,Sport,5.11c/d,1,60,-33.54321,150.2297
Cobwebs,"Pilot Error Cliffs > (1) Southern Crags > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/106025285/cobwebs,4.0,-1,"Trad, TR","5.13a PG13",1,60,-36.76389,141.84703
Tjuringa,"Kitten Wall & Tjuringa Wall > (7) Watchtower Faces > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/113583302/tjuringa,4.0,-1,Trad,"5.12 R",2,250,-36.75184,141.83576
Tsunami,"Wave Wall > Centennial Glen > Blue Mountains > Australia > International",https://www.mountainproject.com/route/116541769/tsunami,4.0,-1,Sport,5.13b/c,1,80,-33.63657,150.2738
"Super Grover","Waihoo > Australia > International",https://www.mountainproject.com/route/117097691/super-grover,4.0,-1,Sport,5.10a,1,60,-30.08541,153.05777
"97% Fat Free","Sector 3, Main Wall Center > Bowens Creek > Blue Mountains > Australia > International",https://www.mountainproject.com/route/116539812/97-fat-free,4.0,-1,Sport,5.12b,1,65,-33.7095,150.3098
Paladin,"Central Gully Left > (2) Central Left > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/113328888/paladin,4.0,-1,Trad,5.11+,1,60,-36.75957,141.84242
"The Seventh Pillar","The Taipan Wall > Mount Stapylton Amphitheatre > Mount Stapylton > The Grampians > Australia > International",https://www.mountainproject.com/route/105988987/the-seventh-pillar,4.0,-1,Trad,5.13-,4,300,-36.8951,142.3844
"Mr. Pink","Sector 2, Main Wall Left > Bowens Creek > Blue Mountains > Australia > International",https://www.mountainproject.com/route/105927053/mr-pink,4.0,-1,Sport,5.10c/d,1,50,-33.7095,150.3098
"A Streaker Named Desire","Shipley Upper > Blue Mountains > Australia > International",https://www.mountainproject.com/route/109651329/a-streaker-named-desire,4.0,-1,Sport,5.11,1,90,-33.63881,150.27123
"Walking the Plank","Alchemy Wall > Little Bluestone Bay > Coastal Cliffs > Freycinet Peninsula > Tasmania > Australia > International",https://www.mountainproject.com/route/113004005/walking-the-plank,4.0,-1,Trad,5.10a/b,1,82,-42.11364,148.34178
"These People are Sandwiches","Shipley Upper > Blue Mountains > Australia > International",https://www.mountainproject.com/route/109646101/these-people-are-sandwiches,4.0,-1,Sport,5.11a,1,50,-33.63881,150.27123
"Debutantes and Centipedes","Pilot Error Cliffs > (1) Southern Crags > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/114274579/debutantes-and-centipedes,4.0,-1,Trad,5.12a/b,1,70,-36.76389,141.84703
"Chancellor Direct","University Buttress > Organ Pipes > Tasmania > Australia > International",https://www.mountainproject.com/route/112777753/chancellor-direct,4.0,-1,Trad,5.9,2,200,-42.89816,147.24102
"Super Funky","Promenade > Z Bend > Kalbarri National Park > Western Australia > Australia > International",https://www.mountainproject.com/route/112199082/super-funky,4.0,-1,Sport,5.12a,1,50,-27.43775,114.43501
Megalomaniac,"Mari Buttress > (3) Central Right > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/111772221/megalomaniac,4.0,-1,"Trad, TR",5.8,1,80,-36.75789,141.84195
Precarious,"Flange Buttress > Organ Pipes > Tasmania > Australia > International",https://www.mountainproject.com/route/112777866/precarious,4.0,-1,Trad,"5.10 PG13",2,130,-42.89499,147.24194
Taser,"Olive Caves > Stapylton Campground > The Grampians > Australia > International",https://www.mountainproject.com/route/112190280/taser,4.0,-1,Sport,5.12c,1,80,-36.95604,142.37839
Spellbinder,"Pharos Gully > (6) Pharos Group > Mount Arapiles > Australia > International",https://www.mountainproject.com/route/111772423/spellbinder,4.0,-1,Trad,5.9+,1,75,-36.75329,141.83964
