Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Nose","Southwest Face > El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105924807/the-nose,4.0,-1,"Trad, Aid","5.9 C2",31,3000,37.73051,-119.63829
"Regular Northwest Face of Half Dome","Northwest Face > Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome,3.9,-1,"Trad, Aid","5.9 C1",23,2200,37.74686,-119.53361
"Salathe Wall","Southwest Face > El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106154042/salathe-wall,4.0,-1,"Trad, Aid","5.9 C2",35,3500,37.73051,-119.63829
Astroman,"Washington Column > Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105845493/astroman,4.0,-1,Trad,5.11c,10,1000,37.7478,-119.559
"Positive Vibrations","Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California",https://www.mountainproject.com/route/105860676/positive-vibrations,4.0,-1,"Trad, Alpine",5.11a,12,1200,38.12188,-119.41522
"Sons of Yesterday","Western Royal Arches > Royal Arches > Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862915/sons-of-yesterday,3.9,-1,Trad,5.10-,6,600,37.7486,-119.57256
"The North Face","The Rostrum > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105863822/the-north-face,4.0,-1,Trad,5.11c,8,700,37.71869,-119.70789
"Serenity Crack","Western Royal Arches > Royal Arches > Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862912/serenity-crack,3.8,-1,Trad,"5.10d PG13",3,350,37.7486,-119.57256
"The Vampire","Upper Bulge Routes > (f) West Face Bulge Routes > Tahquitz Rock > Tahquitz & Suicide Rocks > California",https://www.mountainproject.com/route/105805108/the-vampire,4.0,-1,Trad,5.11a,4,400,33.76015,-116.6846
"Mithril Dihedral","Mt. Russell > 14 - Whitney & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/105802833/mithril-dihedral,3.9,-1,"Trad, Alpine",5.9+,6,500,36.59,-118.291
"Central Pillar of Frenzy","Middle Cathedral Rock > Cathedral Spires Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862930/central-pillar-of-frenzy,3.8,-1,Trad,5.9,5,500,37.7165,-119.6363
Steck-Salathe,"Sentinel Rock > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862873/steck-salathe,3.8,-1,Trad,5.10-,15,,37.7296,-119.59381
OZ,"Drug Dome > Mariuolumne Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105862944/oz,3.9,-1,Trad,5.10d,5,600,37.86461,-119.42215
Atlantis,"The Sorcerer > The Needles > The Needles / Kern River > Southern Sierra > California",https://www.mountainproject.com/route/105834277/atlantis,3.9,-1,Trad,"5.11+ PG13",4,500,36.10745,-118.48148
Freeblast,"Southwest Face > El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105991737/freeblast,3.6,-1,Trad,5.11,10,950,37.73051,-119.63829
"Sunspot Dihedral","Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California",https://www.mountainproject.com/route/106499440/sunspot-dihedral,3.9,-1,"Trad, Alpine",5.11b,9,1200,38.12188,-119.41522
"The Nutcracker Suite (aka Nutcracker)","Manure Pile Buttress (aka Ranger Rock) > El Cap Picnic Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105833505/the-nutcracker-suite-aka-nutcracker,3.6,-1,Trad,5.8,5,500,37.7306,-119.619
"Third Pillar, Regular Route","Dana Plateau > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/105816995/third-pillar-regular-route,3.8,-1,Trad,5.10-,5,800,37.92309,-119.21264
"Regular Route","North Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105847227/regular-route,3.7,-1,Trad,5.9,12,1000,37.87279,-119.40427
