Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Beckey-Chouinard,"South Howser Tower > Howser Towers > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105872592/beckey-chouinard,3.9,-1,"Trad, Alpine",5.10,15,2000,50.7273,-116.8086
"The Grand Wall","Grand Wall Area > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105806397/the-grand-wall,3.9,-1,"Trad, Aid","5.11a A0",9,1000,49.6822,-123.148
"North East Ridge","Bugaboo Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105889511/north-east-ridge,3.9,-1,"Trad, Alpine",5.8-,10,1500,50.74546,-116.78853
Exasperator,"Grand Wall Base Area > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105806955/exasperator,4.0,-1,Trad,5.10c,2,150,49.6827,-123.1482
"Sunshine Crack","Snowpatch Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105868170/sunshine-crack,4.0,-1,"Trad, Alpine",5.11-,11,900,50.73667,-116.78162
"Crime of the Century","Penny Lane > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105842838/crime-of-the-century,3.8,-1,Trad,5.11b/c,1,40,49.7049,-123.1378
Skywalker,"Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107198282/skywalker,3.5,-1,Trad,5.8,5,300,49.66932,-123.15753
"The Great Game","Slhanay > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106228408/the-great-game,3.8,-1,Trad,5.10c/d,4,400,49.6945,-123.12158
"Angel's Crest","The Sheriff's Badge > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105847203/angels-crest,3.6,-1,Trad,5.10b,13,,49.686,-123.1415
"Sunset Strip","The Dihedrals > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108398190/sunset-strip,3.7,-1,Trad,5.10+,12,,49.6814,-123.1482
"Star Chek","Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107104796/star-chek,3.4,-1,Sport,5.8+,3,400,49.924,-123.1675
"Penny Lane","Penny Lane > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105842825/penny-lane,3.6,-1,Trad,5.9,1,100,49.7049,-123.1378
"Wicked Gravity","Outhouse Wall > The Back of The Lake > Lake Louise > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/108226533/wicked-gravity,3.8,-1,Sport,5.11a,1,88,51.4076,-116.2405
