Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Casual Route","The Diamond > Long's Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105748496/casual-route,3.8,-1,"Trad, Alpine",5.10a,7,,40.25617,-105.61384
"The Naked Edge","Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748786/the-naked-edge,3.9,-1,Trad,5.11b,6,460,39.9312,-105.28518
"The Yellow Spur","Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748657/the-yellow-spur,3.8,-1,Trad,5.9+,6,,39.93194,-105.28603
"The Scenic Cruise","North Chasm View Wall > North Rim Routes > Black Canyon of the Gunnison > Gunnison > Colorado",https://www.mountainproject.com/route/105756778/the-scenic-cruise,3.9,-1,Trad,5.10d,13,,38.582,-107.70883
"Playin' Hooky","Creek Side > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106701638/playin-hooky,3.3,-1,Sport,5.8,4,400,39.74102,-105.41042
"Pervertical Sanctuary","The Diamond > Long's Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105748939/pervertical-sanctuary,3.9,-1,"Trad, Alpine",5.11a,6,,40.25617,-105.61384
"Wunsch's Dihedral","Cynical Pinnacle > Cathedral Spires Area > South Platte > Colorado",https://www.mountainproject.com/route/105752347/wunschs-dihedral,4.0,-1,Trad,5.11,4,,39.42059,-105.25164
"South Face","Petit Grepon > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105749770/south-face,3.8,-1,"Trad, Alpine",5.8,8,,40.28029,-105.6725
"Ultrasaurus (aka Uber-Pwnage)","Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106566444/ultrasaurus-aka-uber-pwnage,3.9,-1,Sport,5.13a,1,115,39.9734,-105.2875
"Outer Space","The Bastille - N Face > The Bastille > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748612/outer-space,3.9,-1,Trad,"5.10b/c R",2,,39.9307,-105.283
"Center Route","Cynical Pinnacle > Cathedral Spires Area > South Platte > Colorado",https://www.mountainproject.com/route/105748816/center-route,3.9,-1,Trad,5.9+,3,,39.42059,-105.25164
"Death and Transfiguration","Green Mountain Pinnacle > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105750424/death-and-transfiguration,4.0,-1,Trad,5.11b,1,75,39.98359,-105.29379
"$00pr kr33m","The Slab > South > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/107177226/00pr-kr33m,3.9,-1,Sport,5.13a,1,115,39.9629,-105.287
Archangel,"Lost Angel > Upper Dream Canyon > Boulder > Colorado",https://www.mountainproject.com/route/108240564/archangel,3.9,-1,Sport,5.12c,2,100,40.0089,-105.41
D7,"The Diamond > Long's Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105749662/d7,3.9,-1,"Trad, Alpine",5.11c,6,,40.25617,-105.61384
"Milk Bone","Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106207680/milk-bone,3.9,-1,Sport,5.13a,1,100,39.9734,-105.2875
"Country Club Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748711/country-club-crack,3.9,-1,Trad,5.11c,2,,39.9787,-105.4551
"Sonic Youth","The New River Wall > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105749158/sonic-youth,3.9,-1,Sport,5.13a,1,,39.73704,-105.31624
"Whimsical Dreams","Turkey Tail > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105753136/whimsical-dreams,3.9,-1,Trad,5.11b,1,,39.11911,-105.23949
"Super Slab","Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105749728/super-slab,3.8,-1,Trad,5.10+,4,,39.93194,-105.28603
Doub-Griffith,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105753319/doub-griffith,3.9,-1,Trad,5.11c,3,,39.93194,-105.28603
Pump-O-Rama,"The Arsenal > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753574/pump-o-rama,3.9,-1,Sport,5.13a,1,,39.70756,-107.69464
Reptile,"The Brown Wall > Thunder Ridge > West Creek > South Platte > Colorado",https://www.mountainproject.com/route/106125949/reptile,3.9,-1,Trad,5.10,1,50,39.1994,-105.21801
Freeform,"Free Form Wall > Sand Gulch > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752917/freeform,3.9,-1,Sport,5.12a,1,,38.6218,-105.23101
Anarchitect,"Anarchy Wall > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105750721/anarchitect,3.9,-1,Sport,5.12d,1,,39.7407,-105.32832
"Drumstick Direct","Turkey Tail > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105750436/drumstick-direct,3.9,-1,Trad,5.10c/d,2,,39.11911,-105.23949
"Pear Buttress","J-Crack Slab Area > The Book > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748963/pear-buttress,3.6,-1,Trad,5.8,5,,40.40556,-105.53398
"Los Hermanos de la Weenie Way","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753916/los-hermanos-de-la-weenie-way,3.9,-1,Sport,5.11c,1,,37.84519,-106.28863
Ruper,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748774/ruper,3.6,-1,Trad,5.8+,6,,39.93194,-105.28603
"Willy's Hand Jive","Cabin Wall > Escalante Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/106430020/willys-hand-jive,3.8,-1,Trad,5.10,1,100,38.68073,-108.31363
O.D.K.,"Old Aid Wall aka Upper Echelon Wall > Triple Tier Area > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/106737064/odk,3.9,-1,Sport,5.12a,1,85,40.6924,-105.3755
"Rosy Crucifixion","Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748777/rosy-crucifixion,3.8,-1,Trad,"5.10a/b PG13",3,,39.9312,-105.28518
Genesis,"The Sanctuary > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/106882881/genesis,3.8,-1,Sport,5.12a,1,80,39.70784,-107.69329
"Days of Heaven","Rock Of Ages > Fern Canyon Rocks > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105749047/days-of-heaven,3.9,-1,Trad,5.10d,3,218,40.35209,-105.65432
Vertigo,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105748771/vertigo,3.8,-1,Trad,5.11b,4,,39.93194,-105.28603
"Redneck Hero","River Wall II > Longmont Reservoir Area (aka Buttonrock) > North Fork of the St. Vrain River > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105753994/redneck-hero,3.8,-1,Sport,5.12a,1,70,40.229,-105.34538
"The Shaft","Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106207686/the-shaft,3.8,-1,"Sport, TR",5.12b,1,90,39.9734,-105.2875
"Cheap Date","The Pages Wall Area > The Book > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748960/cheap-date,3.8,-1,Trad,5.10b,1,,40.40597,-105.53441
"Not My Cross To Bear","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753910/not-my-cross-to-bear,3.8,-1,Sport,5.11a/b,1,,37.84519,-106.28863
"The Barb","Spearhead > Glacier Gorge > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105750154/the-barb,3.7,-1,"Trad, Alpine",5.10,9,,40.2567,-105.63834
"Cary Granite","The Black Wall > Mt. Evans > Alpine Rock > Colorado",https://www.mountainproject.com/route/105764595/cary-granite,3.8,-1,"Trad, Alpine",5.11c,5,480,39.60338,-105.65068
"Plan B","Upper Security Risk > Security Risk Massif > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749575/plan-b,3.8,-1,Sport,5.12b,1,95,40.0048,-105.3931
"Easy Skankin'","Anti-Phil Wall > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753376/easy-skankin,3.8,-1,Sport,5.12b,1,,39.71897,-107.69163
Ricochet,"The Winchester Cave > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753373/ricochet,3.8,-1,Sport,5.12a,1,85,39.71774,-107.69191
Culp-Bossier,"Hallett Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105763911/culp-bossier,3.6,-1,"Trad, Alpine",5.8+,8,,40.3033,-105.686
"Captain Beyond","Mickey Mouse Wall > Eldorado Mountain > Boulder > Colorado",https://www.mountainproject.com/route/105751744/captain-beyond,3.8,-1,Trad,5.10+,5,,39.91977,-105.2853
"Center Route","Rincon - Center Route & R > Rincon > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105750400/center-route,3.8,-1,Trad,5.11a/b,3,,39.93423,-105.28939
Turnkorner,"Sundance Buttress > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105750163/turnkorner,3.8,-1,Trad,5.10b,7,,40.41269,-105.5516
"Reptile Tears","The Brown Wall > Thunder Ridge > West Creek > South Platte > Colorado",https://www.mountainproject.com/route/106126019/reptile-tears,3.8,-1,Trad,5.10+,1,100,39.1994,-105.21801
"The Flying Buttress","Mt. Meeker > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105756781/the-flying-buttress,3.7,-1,"Trad, Alpine",5.10,6,,40.2486,-105.604
"Animal Magnetism","Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753505/animal-magnetism,3.8,-1,Sport,5.11c,1,110,39.99846,-105.41397
"Over the Hill","Rincon - L of Center Route > Rincon > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105756796/over-the-hill,3.7,-1,Trad,5.10b,2,,39.93435,-105.28993
Tailspin,"Old Aid Wall aka Upper Echelon Wall > Triple Tier Area > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/106737083/tailspin,3.9,-1,Sport,5.12b,1,70,40.6924,-105.3755
"Tits Up","Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752335/tits-up,3.8,-1,Sport,5.12b,1,80,38.63213,-105.22238
"Lucid Dreaming","Middle > Plotinus Wall > Lower Dream Canyon > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755821/lucid-dreaming,3.7,-1,Sport,5.12c/d,1,,40.00677,-105.40642
"Zanzibar Dihedral","Weller Slab > Independence Pass > Colorado",https://www.mountainproject.com/route/105978828/zanzibar-dihedral,3.8,-1,Trad,5.8,1,125,39.12419,-106.72205
"Light My Fire","The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/114441945/light-my-fire,3.8,-1,Sport,5.12a,1,80,39.5168,-105.3962
"The Opportunist","Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/108151365/the-opportunist,3.7,-1,Sport,5.11a,1,80,39.5167,-105.3958
"The Gym Arete","The Gym > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105750031/the-gym-arete,3.8,-1,Sport,5.12a,1,,38.6329,-105.2165
"Journey Home","North Chasm View Wall > North Rim Routes > Black Canyon of the Gunnison > Gunnison > Colorado",https://www.mountainproject.com/route/105756451/journey-home,3.7,-1,Trad,5.10a/b,5,,38.582,-107.70883
"Heavy Weather","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105750028/heavy-weather,3.7,-1,Sport,5.12a/b,1,,38.6331,-105.2297
Psychatomic,"The Vestibule > The Monastery > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756049/psychatomic,4.0,-1,Sport,5.12d,1,,40.45334,-105.36914
"Royal Flush","Mount Royal (near Frisco) > 10 Mile Canyon > Colorado",https://www.mountainproject.com/route/106811713/royal-flush,3.0,-1,Sport,5.9,8,1500,39.5723,-106.111
"Unusual Weather","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105753076/unusual-weather,3.8,-1,Sport,5.11c,1,,38.6331,-105.2297
Andrology,"The Fin > Jurassic Park - Lily Lake > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756496/andrology,3.7,-1,Sport,5.12a,1,,40.3127,-105.5411
"Climb of the Ancient Mariner","The Bookend > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748966/climb-of-the-ancient-mariner,3.7,-1,"Trad, Sport",5.10a,3,,40.40681,-105.5372
Gravitations,"Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752389/gravitations,3.7,-1,Sport,5.11d,1,70,38.63213,-105.22238
"Handcracker Direct","West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105749599/handcracker-direct,3.6,-1,Trad,5.10a,5,,39.93203,-105.28849
"Gobbler's Grunt","Turkey Rock > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105752743/gobblers-grunt,3.7,-1,Trad,5.9,3,,39.11917,-105.23983
"Southwest Corner","The Saber > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105754567/southwest-corner,3.7,-1,"Trad, Alpine",5.10b,8,,40.28193,-105.67356
"Tabula Rasa","The Vestibule > The Monastery > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756052/tabula-rasa,3.6,-1,Sport,5.10d,1,,40.45334,-105.36914
Gambit,"Shirt Tail Peak > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105751960/gambit,3.6,-1,Trad,5.8,5,,39.93429,-105.28837
Undertow,"The Slab > South > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105752323/undertow,3.7,-1,Sport,5.12b,1,80,39.9629,-105.287
Mainliner,"Sundance Buttress > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105749065/mainliner,3.6,-1,Trad,5.9,5,700,40.41269,-105.5516
Genesis,"Redgarden - S Buttress > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105749248/genesis,3.7,-1,"Trad, Sport",5.12+,2,,39.93119,-105.28395
"Climb Of The Century","Rincon - L of Center Route > Rincon > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105753106/climb-of-the-century,3.7,-1,Trad,5.11,1,,39.93435,-105.28993
"The Great Escape","Wall of Justice > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748433/the-great-escape,3.7,-1,Sport,5.12,1,,39.7374,-105.3202
Silverado,"Contest Wall > Sand Gulch > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105755704/silverado,3.7,-1,Sport,5.11b,1,,38.62148,-105.23217
"Otto's Route","Independence Monument > Colorado National Monument > Grand Junction Area > Colorado",https://www.mountainproject.com/route/105758122/ottos-route,3.4,-1,Trad,5.8+,5,400,39.09581,-108.72342
"The Hurricane","Spiney Ridge > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105753577/the-hurricane,3.7,-1,Sport,5.12b,1,80,38.6307,-105.2178
"Straw Turkey","Turkey Rock > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105752734/straw-turkey,3.7,-1,Trad,5.10a,3,,39.11917,-105.23983
