Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Pegasus,"Main Walls > Cathole Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105800352/pegasus,3.6,-1,"Trad, TR",5.8,1,70,41.55964,-72.81109
"Unconquerable Crack","Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105799132/unconquerable-crack,3.5,-1,Trad,5.9+,1,80,41.6175,-72.82342
"YMC Route","Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105800455/ymc-route,3.3,-1,Trad,5.9,1,100,41.6175,-72.82342
Broadway,"Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105799509/broadway,3.1,-1,Trad,5.8,1,100,41.6175,-72.82342
"Carey Corner","Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105799429/carey-corner,3.1,-1,Trad,5.8,1,100,41.6175,-72.82342
Vector,"Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105800572/vector,3.1,-1,Trad,5.8+,1,100,41.6175,-72.82342
"Wiessner Crack","Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105800500/wiessner-crack,3.0,-1,Trad,5.8,1,40,41.6175,-72.82342
"Forearm Frenzy","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/106051786/forearm-frenzy,3.7,-1,Trad,5.11b,1,90,41.36478,-72.59364
"Zambezi Hatchet Head","Right Wing Wall > Pinnacle Rock > Central Valley > Connecticut",https://www.mountainproject.com/route/106134754/zambezi-hatchet-head,3.1,-1,Trad,5.8,1,70,41.6897,-72.8328
"Emerald City","Emerald City Slab > Pinnacle Rock > Central Valley > Connecticut",https://www.mountainproject.com/route/105920465/emerald-city,2.7,-1,Trad,5.8,1,30,41.6897,-72.8328
Subline,"Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105804982/subline,3.7,-1,Trad,5.10d,1,,41.6175,-72.82342
"Happiness Is a Warm Drill","Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/111870755/happiness-is-a-warm-drill,3.2,-1,Sport,5.9,1,100,41.33236,-72.95851
"Nickel And Dime","Ball Field Slabs > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/108375797/nickel-and-dime,3.2,-1,Sport,5.9,1,,41.3318,-72.95987
"Thor's Hammer","Merimere Face > East Peak > Central Valley > Connecticut",https://www.mountainproject.com/route/105800466/thors-hammer,3.8,-1,"Trad, TR",5.9,1,80,41.55917,-72.82938
"Cat Crack","Amphitheater > East Peak > Central Valley > Connecticut",https://www.mountainproject.com/route/106082548/cat-crack,3.5,-1,Trad,5.10,1,110,41.5569,-72.8344
"Shape Shifter","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/106708800/shape-shifter,3.7,-1,Sport,5.12c,1,55,41.36478,-72.59364
"The People's Rock","Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/109687544/the-peoples-rock,3.2,-1,Sport,5.10c/d,1,55,41.33236,-72.95851
"Slightly Removed","Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/109721207/slightly-removed,3.6,-1,Sport,5.11b/c,1,100,41.33236,-72.95851
"Noriega - AKA - Bolt or Jolt","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/106283924/noriega-aka-bolt-or-jolt,2.8,-1,TR,5.10d,1,40,41.36478,-72.59364
"Mind Bender Direct","Main Walls > Cathole Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105976976/mind-bender-direct,2.8,-1,"Trad, TR","5.10- PG13",1,80,41.55964,-72.81109
"Dol Guldur","Amphitheater > East Peak > Central Valley > Connecticut",https://www.mountainproject.com/route/106042212/dol-guldur,3.5,-1,"Trad, TR","5.11 PG13",1,80,41.5569,-72.8344
"Crackrock Corner","Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/108835195/crackrock-corner,2.7,-1,Sport,5.9,1,80,41.33236,-72.95851
"The Bloody Beetroots","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/107320972/the-bloody-beetroots,2.6,-1,Sport,5.11a,1,,41.36478,-72.59364
Psychonautics,"Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/111854073/psychonautics,2.7,-1,Sport,5.9,1,70,41.33236,-72.95851
"Tax Evasion Haven","Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/108835360/tax-evasion-haven,2.6,-1,Sport,5.9-,1,80,41.33236,-72.95851
"Jungle Face","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/107521000/jungle-face,2.6,-1,"Trad, TR","5.10a R",1,45,41.36478,-72.59364
"Modern Collective","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/107872856/modern-collective,4.0,-1,"Trad, Sport",5.13a,1,60,41.36478,-72.59364
"Reflections of Fall","Fall Wall > East Peak > Central Valley > Connecticut",https://www.mountainproject.com/route/106242261/reflections-of-fall,3.8,-1,Trad,5.9,1,90,41.5569,-72.8344
"Hollow Head Crew/Forearm Direct","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/106460429/hollow-head-crewforearm-direct,3.3,-1,"Trad, Sport",5.12-,1,55,41.36478,-72.59364
"Trapped in the Creek","Ball Field Slabs > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/116497438/trapped-in-the-creek,3.5,-1,Trad,5.8-,1,40,41.3318,-72.95987
"Devil's Lettuce","Party Wall > Ross Rocks > Eastern Highlands > Connecticut",https://www.mountainproject.com/route/109270965/devils-lettuce,3.3,-1,"Trad, TR",5.8,1,70,41.77851,-71.86603
"Mama Bear","Main Mama Wall > Mamacoke Island > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/116099584/mama-bear,4.0,-1,TR,5.10a,1,30,41.39113,-72.09875
"Its Own Spirit","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/107872912/its-own-spirit,4.0,-1,"Trad, Sport",5.12d,1,60,41.36478,-72.59364
"West Rock Crack","Ball Field Slabs > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/108375941/west-rock-crack,3.5,-1,Trad,5.11,1,50,41.3318,-72.95987
"White Fandango","Main Walls > Cathole Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105986889/white-fandango,2.5,-1,Trad,5.9,1,70,41.55964,-72.81109
"The Cold Vein","Chatfield Hollow Main Wall > Eastern Coastal Slope > Connecticut",https://www.mountainproject.com/route/107322651/the-cold-vein,3.7,-1,Sport,5.12d,1,,41.36478,-72.59364
"Kor Crack","Main Cliff > Ragged Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/105805231/kor-crack,2.6,-1,Trad,5.9,1,100,41.6175,-72.82342
"Trail Magic","Upper Ledges > St. John's Ledges > Western Highlands > Connecticut",https://www.mountainproject.com/route/107685406/trail-magic,3.2,-1,Trad,5.8+,1,100,41.75044,-73.47696
"The Entertainer","Entertainer Wall > Pinnacle Rock > Central Valley > Connecticut",https://www.mountainproject.com/route/107770414/the-entertainer,3.2,-1,"Trad, TR","5.10 R",1,60,41.6897,-72.8328
"Thunder Bolt Crack","Merimere Face > East Peak > Central Valley > Connecticut",https://www.mountainproject.com/route/111919104/thunder-bolt-crack,3.8,-1,Trad,"5.11b PG13",2,90,41.55917,-72.82938
"Saturday Night Special","Main Walls > Cathole Mountain > Central Valley > Connecticut",https://www.mountainproject.com/route/106091379/saturday-night-special,2.7,-1,"Trad, TR","5.8+ R",1,80,41.55964,-72.81109
Sunshine,"Entertainer Wall > Pinnacle Rock > Central Valley > Connecticut",https://www.mountainproject.com/route/107191688/sunshine,2.8,-1,"Trad, TR","5.9- X",1,50,41.6897,-72.8328
Yvette,"The Chin > Sleeping Giant State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/107031636/yvette,3.1,-1,Trad,5.9+,1,50,41.4259,-72.8977
