Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
DNA,"Grande Grotta > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/106804759/dna,3.8,-1,Sport,5.11d,1,80,37.00118,26.94297
"Monahiki Elia","Grande Grotta > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/106804801/monahiki-elia,3.5,-1,Sport,5.10b,1,80,37.00118,26.94297
"Remember Wadi Rum","Main Wall > Ghost Kitchen > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/106798823/remember-wadi-rum,3.6,-1,Sport,5.11a,1,82,37.03005,26.95838
Frapagalo,"Secret Garden > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/107878048/frapagalo,3.7,-1,Sport,5.11a/b,1,100,37.0535,26.968
Vestpillaren,"Presten > Lofoten > Norway > Europe > International",https://www.mountainproject.com/route/106848943/vestpillaren,4.0,-1,Trad,5.10d,12,1300,68.1815,14.21888
"Carpe Diem","Panorama > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/107263630/carpe-diem,3.2,-1,Sport,5.10c,1,45,36.9949,26.9302
Ivi,"Grande Grotta > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/106931001/ivi,3.6,-1,Sport,5.12a,1,60,37.00118,26.94297
Thetis,"Arhi > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/106674301/thetis,3.4,-1,Sport,5.10c,1,50,37.0206,26.9651
"Voie Rébuffat-Baquet","Aiguille du Midi > Midi - Tacul > Chamonix Mont Blanc > Northern Alps > France > Europe > International",https://www.mountainproject.com/route/107664177/voie-rebuffat-baquet,3.8,-1,"Trad, Alpine",5.10-,11,700,45.87865,6.88754
Dafni,"Main Wall > Ghost Kitchen > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/106798812/dafni,3.7,-1,Sport,5.11b/c,1,100,37.03005,26.95838
Ricounet,"Secret Garden > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/107878142/ricounet,3.8,-1,Sport,5.11d,1,100,37.0535,26.968
