Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Guzzler,"Lost Wall > Georgia",https://www.mountainproject.com/route/105900338/guzzler,2.8,-1,Trad,5.8,1,50,34.6669,-85.3712
"Mescaline Daydream","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898061/mescaline-daydream,3.6,-1,Trad,5.8,2,200,34.74,-83.3931
"Mikey's Mantle","Slab Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/105901450/mikeys-mantle,3.0,-1,Sport,5.10a,1,60,34.5294,-83.3759
"Booze and Broads","Lost Wall > Georgia",https://www.mountainproject.com/route/105900342/booze-and-broads,3.3,-1,Trad,5.9+,1,100,34.6669,-85.3712
"Digital Delight","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898048/digital-delight,2.9,-1,Trad,5.8,4,300,34.74,-83.3931
"Punk Wave","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105920651/punk-wave,3.9,-1,Trad,5.10a,3,,34.74,-83.3931
"Black Pig","Lost Wall > Georgia",https://www.mountainproject.com/route/106376294/black-pig,2.8,-1,Trad,5.8,1,50,34.6669,-85.3712
"Flying Frog","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898212/flying-frog,3.8,-1,Trad,5.10,1,200,34.74,-83.3931
"Primitive Paradox","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898042/primitive-paradox,3.4,-1,Trad,5.9,2,200,34.74,-83.3931
"Return of The Jodi","White Wall > Mount Yonah > Georgia",https://www.mountainproject.com/route/106109970/return-of-the-jodi,2.9,-1,"Sport, TR",5.10,1,,34.63604,-83.71671
"Lucy in the Sky with Diamonds","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/105942550/lucy-in-the-sky-with-diamonds,3.6,-1,Trad,5.10a,1,80,34.63735,-83.71498
"Stranger than Friction","Slab Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/105901457/stranger-than-friction,2.9,-1,"Trad, Sport",5.9+,1,70,34.5294,-83.3759
"No Name Crack","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106103076/no-name-crack,2.3,-1,"Trad, TR",5.9,1,30,34.5282,-83.3756
"Buzzard Breath","The Buzzard Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106083097/buzzard-breath,2.4,-1,"Trad, Sport",5.9-,1,,34.52793,-83.37525
"Highly Wired","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/107047477/highly-wired,4.0,-1,Trad,"5.10c R",2,220,34.74,-83.3931
"Power Flyer","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106090638/power-flyer,2.7,-1,"Sport, TR",5.10b,1,40,34.5282,-83.3756
"Smooth as Silk","The Buzzard Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106092516/smooth-as-silk,3.4,-1,Trad,5.11-,1,100,34.52793,-83.37525
"BT Express","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/106447303/bt-express,3.8,-1,Trad,5.11b/c,1,90,34.74,-83.3931
"Angels corner","Lost Wall > Georgia",https://www.mountainproject.com/route/107639165/angels-corner,4.0,-1,Trad,"5.8+ PG13",1,60,34.6669,-85.3712
"Future's Window","Lost Wall > Georgia",https://www.mountainproject.com/route/107897577/futures-window,4.0,-1,Sport,5.11b,1,60,34.6669,-85.3712
"Next Time","Hobbits Perch > Mount Yonah > Georgia",https://www.mountainproject.com/route/110071293/next-time,4.0,-1,"Trad, TR",5.11a/b,1,45,34.6365,-83.7157
"Try Again","Hobbits Perch > Mount Yonah > Georgia",https://www.mountainproject.com/route/110069953/try-again,4.0,-1,"Trad, TR",5.11a/b,1,45,34.6365,-83.7157
"Temporary Permanence","Super Crack Area > Mount Yonah > Georgia",https://www.mountainproject.com/route/118030714/temporary-permanence,4.0,-1,Trad,5.13a,1,60,34.63601,-83.7164
Frictionary,"Slab Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106083087/frictionary,2.9,-1,"Trad, Sport",5.9,1,80,34.5294,-83.3759
"Kid Fears","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/107569745/kid-fears,3.8,-1,Trad,"5.11a R",1,80,34.63735,-83.71498
Dreams,"Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106102947/dreams,3.5,-1,Trad,5.11c,1,40,34.5282,-83.3756
"Laurel Lie","Lost Wall > Georgia",https://www.mountainproject.com/route/106534999/laurel-lie,3.3,-1,Trad,5.10a,1,50,34.6669,-85.3712
"Jeep Streak","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106102940/jeep-streak,3.4,-1,Sport,5.12a,1,40,34.5282,-83.3756
"Maybe Not","Lost Wall > Georgia",https://www.mountainproject.com/route/106376270/maybe-not,2.6,-1,Trad,5.8,1,40,34.6669,-85.3712
