Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Spice of Life","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106453664/spice-of-life,3.2,-1,Sport,5.10b,1,80,21.57413,-158.23013
"Rainy Wish","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602156/rainy-wish,3.6,-1,Sport,5.10c,1,,21.57413,-158.23013
"Pig Tree","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106316125/pig-tree,2.7,-1,Sport,5.8+,1,50,21.57413,-158.23013
"Beat the Burn","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106639787/beat-the-burn,2.8,-1,Sport,5.9+,1,70,21.57413,-158.23013
"Dr. Hook","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602088/dr-hook,2.5,-1,Sport,"5.8 PG13",1,,21.57413,-158.23013
"Weenie Roast","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602201/weenie-roast,3.7,-1,Sport,5.12a,1,,21.57413,-158.23013
"Mission Nearly Impossible","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602147/mission-nearly-impossible,3.6,-1,Sport,5.12a,1,,21.57413,-158.23013
"Copper Dragon","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602082/copper-dragon,3.8,-1,Sport,5.11d,1,83,21.57413,-158.23013
"Route 9","Makapu'u Point > Oahu > Hawaii",https://www.mountainproject.com/route/106650164/route-9,2.5,-1,"Sport, TR",5.10a,1,,21.3091,-157.6573
Fusion,"Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602132/fusion,3.3,-1,Sport,5.11a,1,,21.57413,-158.23013
Insecticide,"Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602141/insecticide,3.7,-1,Sport,5.12c,1,,21.57413,-158.23013
"Hang'n Loose","The Backside > Maui > Hawaii",https://www.mountainproject.com/route/112239678/hangn-loose,4.0,-1,"TR, Boulder","5.10a/b V1+ PG13",1,30,20.92795,-156.69654
"Mothership Connection","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/117653065/mothership-connection,4.0,-1,Sport,5.13a,1,55,21.57413,-158.23013
"Face The Music","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602112/face-the-music,3.0,-1,Sport,5.11a,1,,21.57413,-158.23013
"Slice of Death","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602175/slice-of-death,3.5,-1,Sport,5.12b/c,1,,21.57413,-158.23013
"Best of Maui","The Backside > Maui > Hawaii",https://www.mountainproject.com/route/112239814/best-of-maui,4.0,-1,TR,5.10b/c,1,33,20.92795,-156.69654
"Mongoose vs Mountain Chicken","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/117652866/mongoose-vs-mountain-chicken,4.0,-1,Sport,"5.13a/b PG13",1,75,21.57413,-158.23013
"Zeus' Lightning","Venus Pool > Maui > Hawaii",https://www.mountainproject.com/route/112242527/zeus-lightning,4.0,-1,"TR, Boulder","5.11c V3 PG13",1,28,20.70429,-155.99478
"Follow the Veins","Palolo Valley Crag > Oahu > Hawaii",https://www.mountainproject.com/route/107481881/follow-the-veins,4.0,-1,TR,"5.11a PG13",1,24,21.3143,-157.7784
"Dragon's Breath","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602094/dragons-breath,2.7,-1,Sport,5.10c,1,,21.57413,-158.23013
"Ka'anapali Miracle","The Backside > Maui > Hawaii",https://www.mountainproject.com/route/112239815/kaanapali-miracle,3.8,-1,"TR, Boulder","5.10b V2 PG13",1,30,20.92795,-156.69654
"Torpedoed Youth","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602188/torpedoed-youth,3.2,-1,Sport,5.11d,1,,21.57413,-158.23013
"Nurse Hook","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602153/nurse-hook,2.8,-1,Sport,5.11a,1,,21.57413,-158.23013
"Dragon Slayer","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602091/dragon-slayer,3.4,-1,Sport,5.12d,1,75,21.57413,-158.23013
"Cactus Garden","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602073/cactus-garden,2.3,-1,Sport,"5.9- PG13",1,,21.57413,-158.23013
"Flower Tower","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602123/flower-tower,2.4,-1,Sport,"5.10a PG13",1,,21.57413,-158.23013
Eureka,"Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602106/eureka,2.8,-1,Trad,5.10a,1,,21.57413,-158.23013
"Route 6","Makapu'u Point > Oahu > Hawaii",https://www.mountainproject.com/route/107329416/route-6,2.5,-1,"Sport, TR",5.8-,1,35,21.3091,-157.6573
"Nesting in the Gallows","The Backside > Maui > Hawaii",https://www.mountainproject.com/route/112239871/nesting-in-the-gallows,3.5,-1,"TR, Boulder","5.9+ V0+ PG13",1,28,20.92795,-156.69654
"Deadmen Tell No Tales","Honeymooners Hole > Kauai > Hawaii",https://www.mountainproject.com/route/113185484/deadmen-tell-no-tales,3.5,-1,Sport,5.11a/b,-1,40,21.88135,-159.42502
"All Its Cracked Up to Be","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602043/all-its-cracked-up-to-be,2.6,-1,Sport,5.10b,1,,21.57413,-158.23013
"Rocky Road","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602162/rocky-road,3.0,-1,Trad,5.10a/b,1,,21.57413,-158.23013
"Dragon's Spine","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/110026162/dragons-spine,2.7,-1,Sport,5.10b/c,1,,21.57413,-158.23013
"Up for the Downsroke","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/117652939/up-for-the-downsroke,3.3,-1,Sport,"5.12c PG13",1,65,21.57413,-158.23013
"All Pigs are Created Equal","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602046/all-pigs-are-created-equal,2.8,-1,Sport,5.11c,1,,21.57413,-158.23013
"Einstein's Bike","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602103/einsteins-bike,2.9,-1,Sport,"5.12b PG13",1,,21.57413,-158.23013
"Dragon's Fire","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602097/dragons-fire,2.8,-1,Sport,5.11d,1,,21.57413,-158.23013
Smokestack,"Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602178/smokestack,2.0,-1,Trad,"5.9- PG13",1,,21.57413,-158.23013
"Blankety Blank","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602064/blankety-blank,2.7,-1,Sport,5.11c,1,,21.57413,-158.23013
"Chunky Monkey","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602076/chunky-monkey,2.3,-1,Trad,5.8,1,,21.57413,-158.23013
"Black Tower","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602061/black-tower,2.5,-1,Sport,5.12a,1,,21.57413,-158.23013
"Double Dragon","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/110017196/double-dragon,3.0,-1,Sport,"5.11c/d PG13",1,,21.57413,-158.23013
"The God Machine","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/110798267/the-god-machine,3.0,-1,TR,5.12d,1,,21.57413,-158.23013
"Ambulance Driver","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602049/ambulance-driver,2.5,-1,"Trad, Sport",5.10c,1,,21.57413,-158.23013
"New Year's Crack","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602150/new-years-crack,2.6,-1,Trad,5.10b,1,,21.57413,-158.23013
"Immortal's Path","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602138/immortals-path,3.0,-1,Sport,5.13,1,,21.57413,-158.23013
"They Will Eat Cake","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602185/they-will-eat-cake,2.8,-1,Trad,5.11a,1,,21.57413,-158.23013
"Seizing Brutus' Tide","The Backside > Maui > Hawaii",https://www.mountainproject.com/route/112239633/seizing-brutus-tide,3.0,-1,"TR, Boulder","5.10d V2+ PG13",1,30,20.92795,-156.69654
Trinity,"Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602192/trinity,3.0,-1,Sport,5.13a/b,1,,21.57413,-158.23013
"The Hokey Pokey","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/117652985/the-hokey-pokey,3.0,-1,Sport,5.12d,1,70,21.57413,-158.23013
"Stranded in Paradise","Kalalea Mountain, Kauai > Kauai > Hawaii",https://www.mountainproject.com/route/106935416/stranded-in-paradise,3.0,-1,Trad,"5.8 R",3,800,21.8986,-159.5838
"The Black Pearl","On Stranger Tides > Kauai > Hawaii",https://www.mountainproject.com/route/113189719/the-black-pearl,3.0,-1,Sport,5.10b,1,60,21.89488,-159.40594
Confusion,"Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602079/confusion,2.7,-1,Sport,5.11b,1,,21.57413,-158.23013
"Driving Me Up The Walls","Dragon's Breath & Vicinity > Dragon's Breath > Kauai > Hawaii",https://www.mountainproject.com/route/114303905/driving-me-up-the-walls,3.0,-1,TR,5.8,1,100,22.22049,-159.4257
"At Wit's End","Dragon's Breath & Vicinity > Dragon's Breath > Kauai > Hawaii",https://www.mountainproject.com/route/114376932/at-wits-end,3.0,-1,TR,5.9,1,75,22.22049,-159.4257
"Unnamed Open Project","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/112395337/unnamed-open-project,3.0,-1,TR,5.12+,1,,21.57413,-158.23013
"Wavy Gravy","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602198/wavy-gravy,2.8,-1,Sport,5.11c,1,,21.57413,-158.23013
"Cactus Arete","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/110111231/cactus-arete,2.7,-1,TR,5.10,1,,21.57413,-158.23013
"A Sicker Red Slick","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602040/a-sicker-red-slick,2.5,-1,Sport,"5.11 PG13",1,,21.57413,-158.23013
"Devil's Triangle","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106602085/devils-triangle,2.3,-1,Sport,5.11a,1,,21.57413,-158.23013
"Route 5","Makapu'u Point > Oahu > Hawaii",https://www.mountainproject.com/route/107329542/route-5,2.1,-1,"Sport, TR",5.10c,1,35,21.3091,-157.6573
